Animal_ID,Sex,Survival ,Reason
00O,1,0,died after
04N,1,0,In CS
0A4,1,0,In CS
0A9,1,0,In CS
0C6,1,0,In CS
0G5,1,0,In CS
0I5,1,0,In CS
0I6,1,0,In CS
0K2,1,0,In CS
0K7,1,0,In CS
1 E0,1,0,In CS
1A3,1,0,In CS
1H6,1,0,In CS
1J7,1,0,In CS
1K5,1,0,In CS
1L4,1,0,In CS
1L5,1,0,In CS
28G,1,0,died after
28J,1,0,died after
29Z,1,0,In CS
2A2,1,0,In CS
2A5,1,0,In CS
2A7,1,0,In CS
2A8,1,0,died after
2H3,1,0,In CS
2J2,1,0,In CS
2J8,1,0,In CS
2L5,1,0,In CS
2L8,1,0,In CS
3 E2,1,0,In CS
3 E7,1,0,died after
34Z,1,0,In CS
36Z,1,0,In CS
3C3,1,1,
40L,1,0,In CS
42L,1,0,In CS
43F,1,0,In CS
43J,1,0,In CS
4C1,1,1,
4C2,1,0,In CS
50I,1,0,In CS
52P,1,0,In CS
53E,1,0,In CS
55V,1,0,In CS
59A,1,0,In CS
5C0,1,0,In CS
5D9,1,0,In CS
5G9,1,0,In CS
5J5,1,0,In CS
5K1,1,0,In CS
5K3,1,0,In CS
5K7,1,0,In CS
61J,1,1,
63V,1,0,In CS
64P,1,0,In CS
68V,1,1,
6C0,1,0,In CS
78T,1,0,In CS
79Z,1,0,In CS
7C0,1,0,died after
7B7,1,0,In CS
7D8,1,0,In CS
7J8,1,0,In CS
8 E8,1,0,In CS
82A,1,1,
82L,1,0,In CS
8B0,1,1,
8F3,1,0,In CS
8H1,1,0,In CS
8J0,1,0,In CS
8J6,1,0,In CS
8J8,1,0,In CS
90P,1,0,In CS
98T,1,0,In CS
9A4,1,0,In CS
9D8,1,0,In CS
9G3,1,1,
9H7,1,0,In CS
9I6,1,0,In CS
04Z,2,0,In CS
07D,2,0,died after
0L1,2,0,In CS
12Z,2,0,In CS
18Z,2,0,In CS
1C2,2,0,removed
1J0,2,0,In CS
1J2,2,0,In CS
1J8,2,0,removed
2C9,2,0,In CS
2I2,2,0,In CS
2J6,2,0,In CS
3L1,2,0,In CS
3L3,2,0,In CS
42T,2,0,removed
43P,2,0,In CS
4K2,2,0,In CS
5G3,2,0,In CS
5G7,2,1,
6B8,2,0,In CS
6I9,2,0,In CS
7 E1,2,0,In CS
7D7,2,0,In CS
7G2,2,0,In CS
7I5,2,0,died after
7J6,2,0,In CS
84J,2,1,
8C0,2,0,In CS
8C2,2,0,In CS
8H0,2,0,In CS
9 E5,2,0,In CS
96B,2,0,In CS
9D1,2,0,In CS
9F5,2,0,removed
9I0,2,0,In CS
