AnimalID,Sex,Group,DOB,Age,mother_id,mother_rk,Rank_ord,mother_social,Survival,DOD,Age_Cat,Time,Age_entry,Age_event,Group_size,no_females,Maternal_social,Social_ord
2Y6,1,F,09/07/2017,0,9D8,6,1,2,0,,2,365,13,378,114,75,-1.01600349,3
I180I6-1,2,F,6/15/2017,0,0I6,17,2,2,1,3/22/2018,2,280,97,377,114,75,-1.01600349,3
7Y6,2,F,8/16/2017,0,7D8,27,2,2,0,,2,365,35,400,114,75,-1.01600349,3
1Y0,1,F,08/09/2017,0,2A7,36,2,2,0,,2,365,42,407,114,75,-1.01600349,3
I185K1,1,F,07/05/2017,0,5K1,42,3,1,1,5/24/2018,2,323,77,400,114,75,-1.513421865,3
1Y7,2,F,7/13/2017,0,1L5,52,3,2,0,,2,365,69,434,114,75,-1.01600349,3
4Y1,1,F,7/15/2017,0,2J2,55,3,2,0,,2,365,67,432,114,75,-1.01600349,3
I1828J,2,F,6/24/2017,0,28J,67,3,2,1,12/14/2017,2,173,88,261,114,75,-1.01600349,3
8X6,1,F,7/13/2017,0,1K5,72,3,1,0,,2,365,69,434,114,75,-1.513421865,3
1Y1,2,F,8/22/2017,0,90P,NA,,1,0,,2,365,29,394,114,75,-1.513421865,3
AD9,1,KK,8/28/2017,0,6K6,17,2,1,0,,2,365,23,388,106,69,-1.184448803,3
3Z7,1,KK,7/19/2017,0,3F7,19,2,1,0,,2,365,63,428,106,69,-1.184448803,3
8Z3,2,KK,07/06/2017,0,2O7,44,3,1,0,,2,365,76,441,106,69,-1.184448803,3
2Z9,1,KK,7/18/2017,0,9L9,46,3,1,0,,2,365,64,429,106,69,-1.184448803,3
6Z3,2,KK,08/09/2017,0,1O7,NA,,1,0,,2,365,42,407,106,69,-1.184448803,3
2Z8,1,KK,07/01/2017,0,0Q5,NA,,1,0,,2,365,81,446,106,69,-1.184448803,3
I183R0,1,KK,08/01/2017,0,3R0,NA,,1,1,10/31/2017,2,91,50,141,106,69,-1.184448803,3
I189C1,2,V,09/07/2017,0,9C1,8,1,1,0,11/15/2018,2,365,13,378,111,50,-1.320202082,3
AZ9,1,V,08/01/2017,0,1I7,16,2,1,0,,2,365,50,415,111,50,-1.320202082,3
AH3,1,V,7/13/2017,0,7K8,22,2,1,0,,2,365,69,434,111,50,-1.320202082,3
I181I5,2,V,9/14/2017,0,1I5,31,3,1,1,09/01/2018,2,352,6,358,111,50,-1.320202082,3
