groom_giver,groom_reciever,constrained_duration,observation_name
5R6,9T1,582,5R6 2021-03-08 13:26:58 Josue Negron
0A9,04Z,586,04Z 2021-03-08 13:38:13 Josue Negron
2L8,9D1,204,9D1 2021-03-09 12:11:48 Josue Negron
6O1,3L2,442,3L2 2021-03-09 12:38:28 Josue Negron
3S3,4M1,28,4M1 2021-03-09 13:51:56 Josue Negron
5T1,43P,134,43P 2021-03-10 07:39:02 Josue Negron
6C5,0T4,72,6C5 2021-03-10 09:23:27 Josue Negron
8P9,2H6,39,2H6 2021-03-12 11:34:10 Josue Negron
2J9,3S3,362,3S3 2021-03-12 13:21:30 Josue Negron
6O1,9M6,70,6O1 2021-03-12 13:38:56 Josue Negron
6T1,6O1,115,6O1 2021-03-12 13:38:56 Josue Negron
8N7,8P8,41,8P8 2021-03-16 09:35:30 Josue Negron
4S1,0G5,202,0G5 2021-03-16 11:34:00 Josue Negron
2H6,8P9,112,8P9 2021-03-16 11:59:21 Josue Negron
8P9,2H6,362,8P9 2021-03-16 11:59:21 Josue Negron
6C0,8C0,577,6C0 2021-03-18 13:26:08 Josue Negron
3L2,8J6,237,8J6 2021-03-19 09:19:49 Josue Negron
9D1,5C0,79,9D1 2021-03-19 09:44:41 Josue Negron
9D1,5C0,21,9D1 2021-03-19 09:44:41 Josue Negron
8C0,9D8,338,9D8 2021-03-23 09:13:58 Josue Negron
3L2,8J6,46,3L2 2021-03-23 09:37:54 Josue Negron
7E1,6C0,210,7E1 2021-03-23 12:08:26 Josue Negron
6Q2,0T5,459,6Q2 2021-03-23 12:36:26 Josue Negron
5U7,7B7,192,7B7 2021-03-24 12:53:38 Josue Negron
7P9,4K7,124,4K7 2021-03-25 07:45:32 Josue Negron
0P8,63V,74,0P8 2021-03-25 09:18:59 Josue Negron
8D8,8P3,152,8P3 2021-03-25 11:08:10 Josue Negron
8P3,8D8,226,8P3 2021-03-25 11:08:10 Josue Negron
5Q0,82L,255,5Q0 2021-03-25 12:18:38 Josue Negron
0S4,8T9,383,0S4 2021-03-25 13:19:29 Josue Negron
8P8,43P,428,43P 2021-03-29 09:30:28 Josue Negron
7U4,43P,96,43P 2021-03-29 09:30:28 Josue Negron
8P3,6C0,132,6C0 2021-04-01 10:23:40 Josue Negron
8P3,6C0,173,6C0 2021-04-01 10:23:40 Josue Negron
1J0,79Z,247,1J0 2021-04-05 10:10:06 Josue Negron
79Z,1J0,315,1J0 2021-04-05 10:10:06 Josue Negron
0T5,43P,324,0T5 2021-04-05 10:22:22 Josue Negron
6Q2,43J,42,43J 2021-04-05 13:17:53 Josue Negron
7J8,0A9,56,0A9 2021-04-07 13:36:27 Josue Negron
9E5,79Z,15,79Z 2021-04-09 09:48:49 Josue Negron
8A7,1H6,26,1H6 2021-04-09 10:54:46 Josue Negron
6C0,9D1,269,6C0 2021-04-09 12:52:51 Josue Negron
8P3,6C0,90,6C0 2021-04-09 12:52:51 Josue Negron
6C0,8N7,47,6C0 2021-04-09 12:52:51 Josue Negron
4S1,2H6,184,2H6 2021-04-09 13:18:33 Josue Negron
5Q0,82L,30,82L 2021-04-12 08:28:33 Josue Negron
0S4,9A4,356,9A4 2021-04-12 12:17:19 Josue Negron
6O1,9E5,541,6O1 2021-04-12 12:33:48 Josue Negron
0G5,0T5,152,0G5 2021-04-12 13:55:58 Josue Negron
9I6,3J8,469,9I6 2021-04-13 11:48:51 Josue Negron
98T,9E5,52,9E5 2021-04-13 12:06:55 Josue Negron
0P6,78T,224,78T 2021-04-13 12:45:18 Josue Negron
78T,0P6,14,78T 2021-04-13 12:45:18 Josue Negron
0P8,8P9,528,0P8 2021-04-14 11:42:28 Josue Negron
7E1,7D8,240,7E1 2021-04-14 13:09:21 Josue Negron
0S8,5Q8,406,5Q8 2021-04-15 11:17:33 Josue Negron
3S3,4M1,569,3S3 2021-04-15 12:29:55 Josue Negron
2L8,0G5,199,0G5 2021-04-19 12:27:40 Josue Negron
9S7,4K7,60,4K7 2021-04-20 09:28:08 Josue Negron
9D1,5C0,284,9D1 2021-04-20 11:22:12 Josue Negron
9D1,5C0,566,5C0 2021-04-21 11:17:18 Josue Negron
0I6,0L1,504,0L1 2021-04-21 11:30:17 Josue Negron
7E1,7D8,359,7D8 2021-04-21 12:06:35 Josue Negron
82L,5Q0,81,82L 2021-04-21 13:49:50 Josue Negron
3L2,8P9,417,3L2 2021-04-23 08:51:52 Josue Negron
0P8,8P9,131,8P9 2021-04-27 11:03:45 Josue Negron
8P9,2H6,320,8P9 2021-04-27 11:03:45 Josue Negron
1J3,7J8,238,7J8 2021-04-27 11:19:19 Josue Negron
6C9,5T1,273,6C9 2021-04-27 11:43:31 Josue Negron
6C0,8P3,172,8P3 2021-04-27 13:24:37 Josue Negron
3L2,4S1,34,3L2 2021-04-27 13:48:47 Josue Negron
3L2,4S1,492,3L2 2021-04-27 13:48:47 Josue Negron
1H6,2A2,163,1H6 2021-04-28 13:08:25 Josue Negron
2A2,1H6,322,1H6 2021-04-28 13:08:25 Josue Negron
8P3,6C0,128,6C0 2021-05-06 11:02:22 Josue Negron
8T0,6K2,42,6K2 2021-05-06 12:17:30 Josue Negron
98T,73V,274,73V 2021-05-11 13:27:38 Josue Negron
0G5,43P,213,0G5 2021-05-12 12:25:16 Josue Negron
6R5,9A4,43,9A4 2021-05-12 13:49:48 Josue Negron
9Q9,5Q0,163,5Q0 2021-05-13 07:48:46 Josue Negron
6O1,9M6,59,6O1 2021-05-14 07:57:53 Josue Negron
6Q5,0R8,142,0R8 2021-05-17 09:28:23 Josue Negron
5R6,5T3,94,5R6 2021-05-17 12:38:23 Josue Negron
0P8,63V,307,0P8 2021-05-17 13:02:36 Josue Negron
6Q2,0T5,585,0T5 2021-05-18 11:35:13 Josue Negron
1J0,8J6,262,1J0 2021-05-18 13:43:19 Josue Negron
17L,7B7,83,17L 2021-05-19 09:42:21 Josue Negron
55V,8U6,37,55V 2021-05-19 13:49:35 Josue Negron
8U6,55V,245,55V 2021-05-19 13:49:35 Josue Negron
2J2,43V,66,2J2 2021-05-20 10:04:10 Josue Negron
8F3,6F0,275,6F0 2021-05-20 11:26:27 Josue Negron
5C0,0G5,111,5C0 2021-05-20 12:30:02 Josue Negron
1J7,9H7,122,9H7 2021-05-20 13:19:19 Josue Negron
2J2,0A9,34,2J2 2021-05-25 12:30:22 Josue Negron
6C0,8C0,383,8C0 2021-05-26 11:34:00 Josue Negron
6Q5,29Z,457,29Z 2021-05-26 12:46:05 Josue Negron
0I5,5Q8,223,5Q8 2021-05-27 13:48:33 Josue Negron
5Q8,0I5,37,5Q8 2021-05-27 13:48:33 Josue Negron
8N1,04N,260,04N 2021-06-01 07:28:34 Josue Negron
1L5,5U7,277,1L5 2021-06-01 13:23:39 Josue Negron
36Z,4C2,104,36Z 2021-06-02 13:00:06 Josue Negron
7B7,0P8,171,7B7 2021-06-02 13:22:18 Josue Negron
0P8,7B7,250,7B7 2021-06-02 13:22:18 Josue Negron
7B7,0P8,103,7B7 2021-06-02 13:22:18 Josue Negron
6Q5,2I2,586,6Q5 2021-06-08 11:26:02 Josue Negron
5T4,5G9,87,5G9 2021-06-21 12:25:34 Josue Negron
8C0,3E2,137,3E2 2021-06-21 13:05:14 Josue Negron
3E2,8C0,108,3E2 2021-06-21 13:05:14 Josue Negron
6O1,18Z,208,18Z 2021-06-23 10:00:05 Josue Negron
0P6,2J8,58,2J8 2021-06-23 11:45:48 Josue Negron
82L,9M6,90,82L 2021-06-23 12:53:10 Josue Negron
1L5,0L1,132,1L5 2021-06-29 09:45:27 Josue Negron
9U3,79Z,331,79Z 2021-06-29 12:40:57 Josue Negron
79Z,9U3,237,79Z 2021-06-29 12:40:57 Josue Negron
0T1,0I6,60,0I6 2021-07-06 09:45:55 Emma Offenberg
2J2,3J8,427,2J2 2021-07-06 11:26:46 Emma Offenberg
0A9,36Z,401,36Z 2021-07-06 12:34:44 Emma Offenberg
43J,6Q2,230,6Q2 2021-07-07 09:47:04 Emma Offenberg
6Q2,43J,315,6Q2 2021-07-07 09:47:04 Emma Offenberg
9S7,8K1,158,8K1 2021-07-07 11:18:25 Josue Negron
4K7,52P,134,4K7 2021-07-07 11:36:49 Emma Offenberg
9K2,3J8,583,3J8 2021-07-07 12:16:59 Emma Offenberg
9U1,4S1,57,4S1 2021-07-07 13:00:54 Josue Negron
9D1,2L8,84,9D1 2021-07-08 11:21:51 Josue Negron
2L8,9D1,83,9D1 2021-07-08 11:21:51 Josue Negron
7D8,2L8,271,7D8 2021-07-13 11:44:37 Emma Offenberg
8P8,43P,56,43P 2021-07-13 11:46:27 Josue Negron
8F3,6F0,141,6F0 2021-07-13 13:26:27 Emma Offenberg
0S4,7D8,258,0S4 2021-07-13 13:52:04 Emma Offenberg
0S4,7D8,196,0S4 2021-07-13 13:52:04 Emma Offenberg
8P3,6C0,48,6C0 2021-07-14 07:35:09 Emma Offenberg
9D8,43P,510,9D8 2021-07-14 12:12:11 Josue Negron
0P6,2J8,59,2J8 2021-07-15 09:38:33 Josue Negron
7E1,8P9,383,8P9 2021-07-15 11:25:33 Emma Offenberg
9N1,0T5,233,0T5 2021-07-15 11:55:24 Josue Negron
8J6,9E5,38,8J6 2021-07-15 13:10:24 Josue Negron
5J7,0G5,327,0G5 2021-07-15 13:35:02 Josue Negron
8P9,2H6,210,2H6 2021-07-15 13:47:40 Emma Offenberg
7J8,7M3,481,7M3 2021-07-16 11:32:37 Emma Offenberg
8C0,3E2,151,3E2 2021-07-19 11:05:12 Josue Negron
3E2,8C0,223,3E2 2021-07-19 11:05:12 Josue Negron
8P3,43J,11,8P3 2021-07-19 12:06:56 Emma Offenberg
2A5,2J9,416,2J9 2021-07-19 13:01:38 Emma Offenberg
0P6,2J8,261,2J8 2021-07-19 13:28:54 Josue Negron
6R5,3S3,474,3S3 2021-07-20 11:53:12 Emma Offenberg
9A4,6P5,475,6P5 2021-07-20 12:05:38 Emma Offenberg
8U0,0S4,346,0S4 2021-07-20 13:26:52 Emma Offenberg
0S4,8U0,209,0S4 2021-07-20 13:26:52 Emma Offenberg
7B7,36Z,29,36Z 2021-07-20 13:51:44 Emma Offenberg
0U6,73V,214,73V 2021-07-21 13:29:47 Emma Offenberg
6O1,1J0,34,6O1 2021-07-21 13:26:46 Josue Negron
8N7,5C0,76,5C0 2021-07-22 11:15:36 Josue Negron
4S1,0S8,47,4S1 2021-07-22 11:42:13 Josue Negron
5Q8,0T5,187,0T5 2021-07-26 12:32:09 Emma Offenberg
8D8,9M6,352,8D8 2021-07-26 13:04:57 Emma Offenberg
6C0,8C0,113,8C0 2021-07-26 13:17:17 Emma Offenberg
5K3,8A9,588,5K3 2021-07-26 13:41:11 Emma Offenberg
8T1,36Z,492,36Z 2021-07-27 10:09:58 Emma Offenberg
8P9,9U1,361,8P9 2021-07-27 12:23:21 Emma Offenberg
1S9,50I,585,1S9 2021-07-27 12:37:57 Emma Offenberg
1L5,5T5,124,1L5 2021-07-28 10:23:37 Emma Offenberg
5T5,1L5,131,1L5 2021-07-28 10:23:37 Emma Offenberg
1L5,0L1,113,1L5 2021-07-28 10:23:37 Emma Offenberg
8P9,59A,180,59A 2021-07-28 12:16:47 Emma Offenberg
8P8,43P,467,43P 2021-07-28 12:41:33 Emma Offenberg
04N,98T,498,04N 2021-07-29 11:56:30 Emma Offenberg
2H6,8P9,98,2H6 2021-08-02 10:16:04 Emma Offenberg
18Z,6O1,325,18Z 2021-08-02 12:40:17 Josue Negron
0T0,1L5,179,1L5 2021-08-03 11:51:01 Emma Offenberg
