id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed,focalcutoff_met
5H4,F,2008,9,21V,02R,21V,KK,1,H,100,5084,1.75,Y
8L3,F,2010,7,11N,94O,11N,KK,2,H,95.833,8129,1.75,Y
24V,F,2003,14,Z51,70C,Z51,KK,3,H,93.75,2422,2,Y
62R,F,2002,15,Z51,Z46,Z51,KK,4,H,91.667,6218,1.4166666666666667,Y
2J7,F,2009,8,62R,03N,62R,KK,5,H,89.583,2107,1.9166666666666667,Y
1E2,F,2006,11,88R,84J,88R,KK,6,H,87.5,1052,1.9166666666666667,Y
2C3,F,2005,12,R75,S76,R75,KK,7,H,85.417,2033,1.6666666666666667,Y
4F1,F,2007,10,99N,09L,99N,KK,8,H,83.333,4061,1.8333333333333333,Y
76J,F,1999,18,R75,X81,R75,F,9,H,81.25,7610,1.9166666666666667,Y
4D8,F,2006,11,76J,94O,76J,KK,10,M,79.167,4048,1.9166666666666667,Y
0M6,F,2011,6,2C3,11Z,2C3,KK,11,M,77.083,136,0.9166666666666666,Y
7J7,F,2009,8,74T,94O,74T,KK,12,M,75,7107,1.9166666666666667,Y
0K8,F,2009,8,2C3,56K,2C3,KK,13,M,72.917,118,1.8333333333333333,Y
9N6,F,2011,6,0B6,17L,0B6,KK,14,M,70.833,9146,0.75,Y
86Z,F,2004,13,58H,30G,58H,KK,15,M,68.75,8626,1.8333333333333333,Y
60R,F,2001,16,58H,K14,58H,KK,16,M,66.667,6018,1.8333333333333333,Y
6K6,F,2010,7,60R,99L,60R,KK,17,M,64.583,6116,1.75,Y
6D6,F,2006,11,45F,79H,45F,KK,18,M,62.5,6046,2,Y
3F7,F,2007,10,75J,09L,75J,KK,19,M,60.417,3067,1.9166666666666667,Y
6C2,F,2005,12,75J,84J,75J,KK,20,M,58.333,6032,2,Y
7I8,F,2009,8,53E,68N,53E,KK,21,M,56.25,7098,1.8333333333333333,Y
2C4,F,2005,12,53E,57F,53E,KK,22,M,54.167,2034,1.9166666666666667,Y
6D9,F,2006,11,64R,56K,64R,KK,23,M,52.083,6049,1.9166666666666667,Y
6M7,F,2011,6,6D9,97Z,6D9,KK,24,M,50,6137,0.8333333333333334,Y
