groom_giver,groom_reciever,constrained_duration,observation_name
3U4,3D9,135,3U4 2021-03-03 11:23:19 Daniel Phillips
5B0,4J4,111,5B0 2021-03-05 07:57:34 Daniel Phillips
1K1,33T,122,1K1 2021-03-08 12:55:38 Daniel Phillips
0S5,0H8,61,0H8 2021-03-09 12:31:21 Daniel Phillips
0M1,45Z,128,45Z 2021-03-11 08:09:51 Daniel Phillips
1B1,0S6,84,1B1 2021-03-11 08:34:01 Daniel Phillips
4U1,1G4,335,4U1 2021-03-12 11:42:42 Daniel Phillips
1G4,4U1,73,4U1 2021-03-12 11:42:42 Daniel Phillips
5K8,3H0,50,5K8 2021-03-12 12:26:30 Daniel Phillips
3H0,5K8,51,5K8 2021-03-12 12:26:30 Daniel Phillips
51Z,8R5,75,51Z 2021-03-12 13:49:21 Daniel Phillips
51Z,8R5,27,51Z 2021-03-12 13:49:21 Daniel Phillips
8R5,51Z,183,51Z 2021-03-12 13:49:21 Daniel Phillips
1I6,1G4,337,1G4 2021-03-16 11:57:21 Daniel Phillips
4J4,90T,45,90T 2021-03-16 12:10:50 Daniel Phillips
4S7,5U1,166,5U1 2021-03-16 13:16:08 Daniel Phillips
5U1,4S7,288,5U1 2021-03-16 13:16:08 Daniel Phillips
6U3,6P9,57,6P9 2021-03-30 10:09:59 Daniel Phillips
6R3,4S7,157,4S7 2021-04-09 11:37:11 Daniel Phillips
4S7,6R3,14,4S7 2021-04-09 11:37:11 Daniel Phillips
5K8,4C5,40,5K8 2021-04-09 11:52:54 Daniel Phillips
5K8,2G3,51,5K8 2021-04-09 11:52:54 Daniel Phillips
9P3,9R8,32,9R8 2021-04-09 12:16:56 Daniel Phillips
9R8,2N0,305,9R8 2021-04-09 12:16:56 Daniel Phillips
5E8,33T,530,5E8 2021-04-09 13:13:07 Daniel Phillips
7K8,00V,257,7K8 2021-04-09 13:24:43 Daniel Phillips
6U0,6K5,102,6U0 2021-04-13 10:05:42 Daniel Phillips
6U0,6K5,15,6U0 2021-04-13 10:05:42 Daniel Phillips
7C4,8J3,47,8J3 2021-04-13 11:43:36 Daniel Phillips
0H8,8R7,243,8R7 2021-04-13 11:57:00 Daniel Phillips
93T,1B0,111,93T 2021-04-13 12:11:21 Daniel Phillips
1B0,93T,458,93T 2021-04-13 12:11:21 Daniel Phillips
0J4,3D9,168,0J4 2021-04-14 13:08:51 Daniel Phillips
4S7,0M1,579,0M1 2021-04-16 10:13:53 Daniel Phillips
7K8,5U5,328,5U5 2021-04-19 11:09:08 Daniel Phillips
4J4,90T,25,4J4 2021-04-19 13:33:48 Daniel Phillips
9P3,6P9,70,9P3 2021-04-20 11:33:57 Daniel Phillips
2N2,2N8,286,2N2 2021-04-20 12:59:51 Daniel Phillips
45Z,9M8,351,9M8 2021-04-21 13:46:08 Daniel Phillips
9M8,45Z,208,9M8 2021-04-21 13:46:08 Daniel Phillips
3U4,3D9,427,3U4 2021-04-22 13:30:54 Daniel Phillips
3D9,3U4,31,3U4 2021-04-22 13:30:54 Daniel Phillips
12O,1K1,138,1K1 2021-04-23 07:36:49 Daniel Phillips
12O,1K1,77,1K1 2021-04-23 07:36:49 Daniel Phillips
5U4,2G3,126,2G3 2021-04-23 08:04:27 Daniel Phillips
5U4,2G3,51,2G3 2021-04-23 08:04:27 Daniel Phillips
0H8,6U0,175,6U0 2021-04-26 11:10:17 Daniel Phillips
6U0,0H8,64,6U0 2021-04-26 11:10:17 Daniel Phillips
33T,5E8,362,33T 2021-04-26 12:30:26 Daniel Phillips
1I6,3U0,94,3U0 2021-04-28 08:40:51 Daniel Phillips
6B8,9R8,189,9R8 2021-05-06 13:02:07 Daniel Phillips
4O4,1G1,42,1G1 2021-05-10 11:32:24 Daniel Phillips
4S7,5E8,336,5E8 2021-05-11 11:38:34 Daniel Phillips
1I6,3U0,193,3U0 2021-05-11 11:50:45 Daniel Phillips
04T,9P3,212,04T 2021-05-13 13:32:25 Daniel Phillips
6U0,51Z,146,6U0 2021-05-13 13:47:50 Daniel Phillips
2N2,7M8,39,2N2 2021-05-14 09:42:23 Daniel Phillips
6E6,3D9,170,3D9 2021-05-14 10:04:47 Daniel Phillips
6E6,3D9,347,3D9 2021-05-14 10:04:47 Daniel Phillips
04T,9M8,275,9M8 2021-05-17 07:37:43 Daniel Phillips
3U0,1I6,66,3U0 2021-05-17 08:03:08 Daniel Phillips
3U0,1I6,95,3U0 2021-05-17 08:03:08 Daniel Phillips
77I,00V,55,77I 2021-05-17 08:45:44 Daniel Phillips
