agonism_winner,agonism_loser,agonism_type,winner_sex,loser_sex,date,observer,data_source,focal_individual
3E2,55V,avoid,Female,Female,2021-03-08,JN,focalfollow,agonism.winner
3E2,6O0,avoid,Female,Female,2021-03-08,JN,focalfollow,agonism.winner
7E1,1L4,avoid,Male,Female,2021-03-08,JN,focalfollow,agonism.winner
7E1,0I5,avoid,Male,Female,2021-03-08,JN,focalfollow,agonism.winner
7E1,8P3,avoid,Male,Female,2021-03-08,JN,focalfollow,agonism.winner
18Z,5H1,threat,Male,Male,2021-03-08,JN,focalfollow,agonism.winner
9H7,UNK_1,contactagg,Female,NA,2021-03-08,JN,focalfollow,agonism.winner
50I,0T0,threat,Female,Female,2021-03-08,JN,focalfollow,agonism.winner
50I,0T0,noncontactagg,Female,Female,2021-03-08,JN,focalfollow,agonism.winner
12Z,7D7,avoid,Male,Male,2021-03-08,JN,focalfollow,agonism.winner
1J3,63V,avoid,Male,Female,2021-03-08,JN,focalfollow,agonism.winner
0P8,0A9,feargrm,Male,Female,2021-03-08,JN,focalfollow,agonism.winner
64P,9H7,threat,Female,Female,2021-03-08,JN,focalfollow,agonism.winner
4S5,34Z,feargrm,Male,Female,2021-03-08,JN,focalfollow,agonism.winner
4S5,90P,submit,Male,Female,2021-03-08,JN,focalfollow,agonism.winner
5N5,0L1,displace,Male,Male,2021-03-08,JN,focalfollow,agonism.winner
5J7,2T7,noncontactagg,Male,Male,2021-03-08,JN,focalfollow,agonism.winner
8A9,50I,feargrm,Male,Female,2021-03-08,JN,focalfollow,agonism.winner
8A9,0I5,feargrm,Male,Female,2021-03-08,JN,focalfollow,agonism.winner
37N,2A7,avoid,Male,Female,2021-03-08,JN,focalfollow,agonism.winner
4M1,8P3,avoid,Male,Female,2021-03-08,JN,focalfollow,agonism.winner
6N0,0P0,avoid,Male,Male,2021-03-08,JN,focalfollow,agonism.winner
5Q8,1A3,avoid,Female,Female,2021-03-08,JN,focalfollow,agonism.winner
5Q8,1A3,avoid,Female,Female,2021-03-08,JN,focalfollow,agonism.winner
17K,6C0,feargrm,Male,Female,2021-03-08,JN,focalfollow,agonism.winner
8A9,17L,avoid,Male,Male,2021-03-11,JN,focalfollow,agonism.winner
8A9,17L,feargrm,Male,Male,2021-03-11,JN,focalfollow,agonism.winner
8A9,9T1,feargrm,Male,Female,2021-03-11,JN,focalfollow,agonism.winner
8A9,2L8,threat,Male,Female,2021-03-11,JN,focalfollow,agonism.winner
8A9,8F3,avoid,Male,Female,2021-03-11,JN,focalfollow,agonism.winner
0I5,8F3,feargrm,Female,Female,2021-03-11,JN,focalfollow,agonism.winner
9H7,8E8,submit,Female,Female,2021-03-11,JN,focalfollow,agonism.winner
9M4,2T7,noncontactagg,Female,Male,2021-03-11,JN,focalfollow,agonism.winner
9M4,5Q8,threat,Female,Female,2021-03-11,JN,focalfollow,agonism.winner
18Z,2T7,noncontactagg,Male,Male,2021-03-11,JN,focalfollow,agonism.winner
2N9,1L5,avoid,Male,Female,2021-03-11,JN,focalfollow,agonism.winner
2N9,7B7,avoid,Male,Female,2021-03-11,JN,focalfollow,agonism.winner
0A9,7J8,displace,Female,Female,2021-03-11,JN,focalfollow,agonism.winner
5Q0,00EXG,noncontactagg,Male,NA,2021-03-11,JN,focalfollow,agonism.winner
5Q0,00EXG,feargrm,Male,NA,2021-03-11,JN,focalfollow,agonism.winner
5Q0,00EXG,noncontactagg,Male,NA,2021-03-11,JN,focalfollow,agonism.winner
4M1,7G1,displace,Male,Male,2021-03-11,JN,focalfollow,agonism.winner
4M1,4K7,displace,Male,Male,2021-03-11,JN,focalfollow,agonism.winner
4M1,52P,avoid,Male,Female,2021-03-11,JN,focalfollow,agonism.winner
0I6,6C5,contactagg,Female,Female,2021-03-12,JN,focalfollow,agonism.winner
9E5,73V,avoid,Male,Male,2021-03-12,JN,focalfollow,agonism.winner
9E5,3E2,displace,Male,Female,2021-03-12,JN,focalfollow,agonism.winner
64P,6T1,noncontactagg,Female,Female,2021-03-12,JN,focalfollow,agonism.winner
2H6,5G3,threat,Male,Male,2021-03-12,JN,focalfollow,agonism.winner
2H6,4M3,feargrm,Male,Male,2021-03-12,JN,focalfollow,agonism.winner
0L1,9H7,displace,Male,Female,2021-03-12,JN,focalfollow,agonism.winner
0L1,0I6,displace,Male,Female,2021-03-12,JN,focalfollow,agonism.winner
0L1,2T7,feargrm,Male,Male,2021-03-12,JN,focalfollow,agonism.winner
8A7,4K7,avoid,Male,Male,2021-03-12,JN,focalfollow,agonism.winner
8A7,4K7,avoid,Male,Male,2021-03-12,JN,focalfollow,agonism.winner
8A7,1K5,feargrm,Male,Female,2021-03-12,JN,focalfollow,agonism.winner
3S3,9A4,threat,Female,Female,2021-03-12,JN,focalfollow,agonism.winner
0S4,8P8,noncontactagg,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
0S4,8P8,displace,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
0S4,50I,feargrm,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
8K1,50I,submit,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
8D8,9S6,displace,Male,Male,2021-03-16,JN,focalfollow,agonism.winner
8D8,8P8,avoid,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
8D8,59A,avoid,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
7D7,4S1,avoid,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
7D7,0T5,submit,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
8H0,6C0,feargrm,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
8H0,3E2,feargrm,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
8H0,6C0,feargrm,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
8H0,6C0,feargrm,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
8H0,3E2,feargrm,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
8H0,6C0,avoid,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
8H0,98T,feargrm,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
0T5,7U3,submit,Female,Female,2021-03-16,JN,focalfollow,agonism.winner
8P8,1J7,avoid,Female,Female,2021-03-16,JN,focalfollow,agonism.winner
2J9,5C0,feargrm,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
2J9,1H6,avoid,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
4M3,00EXG,threat,Male,NA,2021-03-16,JN,focalfollow,agonism.winner
4M3,00EXG,avoid,Male,NA,2021-03-16,JN,focalfollow,agonism.winner
4M3,1H6,avoid,Male,Female,2021-03-16,JN,focalfollow,agonism.winner
2K4,00EXG,displace,Male,NA,2021-03-16,JN,focalfollow,agonism.winner
5E1,5H1,avoid,Male,Male,2021-03-17,JN,focalfollow,agonism.winner
17L,0S4,displace,Male,Male,2021-03-17,JN,focalfollow,agonism.winner
17L,90P,submit,Male,Female,2021-03-17,JN,focalfollow,agonism.winner
17L,7D8,displace,Male,Female,2021-03-17,JN,focalfollow,agonism.winner
17L,5T1,displace,Male,Female,2021-03-17,JN,focalfollow,agonism.winner
17L,1J7,avoid,Male,Female,2021-03-17,JN,focalfollow,agonism.winner
2N9,1L5,noncontactagg,Male,Female,2021-03-18,JN,focalfollow,agonism.winner
9K2,7B7,threat,Male,Female,2021-03-18,JN,focalfollow,agonism.winner
5E1,8P9,threat,Male,Female,2021-03-18,JN,focalfollow,agonism.winner
5R6,04Z,avoid,Male,Male,2021-03-19,JN,focalfollow,agonism.winner
