groom_giver,groom_reciever,constrained_duration,observation_name
7D7,9D8,211,7D7 2022-02-21 10:08:07 Josue Negron
9D8,7D7,85,7D7 2022-02-21 10:08:07 Josue Negron
7D7,9D8,46,7D7 2022-02-21 10:08:07 Josue Negron
9D8,7D7,149,7D7 2022-02-21 10:08:07 Josue Negron
8H0,6O0,341,8H0 2022-02-21 12:37:53 Josue Negron
8Q4,0U6,502,8Q4 2022-02-21 13:26:00 Josue Negron
0P0,5T0,418,0P0 2022-02-22 09:21:01 Josue Negron
8P3,8D8,185,8D8 2022-02-23 12:22:09 Josue Negron
9T6,2N9,186,2N9 2022-02-23 12:52:05 Josue Negron
7U4,1J0,252,1J0 2022-02-24 11:10:04 Josue Negron
6C0,1J0,68,1J0 2022-02-24 11:10:04 Josue Negron
0V7,4S1,426,4S1 2022-02-24 11:37:57 Josue Negron
6T9,5C0,143,5C0 2022-02-24 11:53:28 Josue Negron
0T5,9D1,535,9D1 2022-02-24 13:17:33 Josue Negron
5Q0,5T3,127,5Q0 2022-02-25 07:35:51 Josue Negron
5T3,5Q0,203,5Q0 2022-02-25 07:35:51 Josue Negron
8D8,5C0,178,8D8 2022-02-28 09:34:51 Josue Negron
2J2,8A7,247,2J2 2022-02-28 12:41:16 Josue Negron
4C2,8A7,431,4C2 2022-02-28 13:27:10 Josue Negron
8A7,4C2,30,4C2 2022-02-28 13:27:10 Josue Negron
9H7,50I,143,50I 2022-03-02 07:46:57 Josue Negron
50I,9H7,37,50I 2022-03-02 07:46:57 Josue Negron
3W4,5Q0,27,5Q0 2022-03-02 10:56:14 Josue Negron
2X2,7E1,404,7E1 2022-03-02 11:20:12 Josue Negron
7U4,8A9,173,8A9 2022-03-03 11:36:01 Josue Negron
8J6,7V3,116,8J6 2022-03-03 12:02:17 Josue Negron
8J6,7V3,8,8J6 2022-03-03 12:02:17 Josue Negron
5R6,8P9,40,5R6 2022-03-08 10:55:57 Josue Negron
8P9,5R6,238,5R6 2022-03-08 10:55:57 Josue Negron
55V,7V7,115,55V 2022-03-08 11:36:45 Josue Negron
0P0,5T0,53,0P0 2022-03-08 12:11:27 Josue Negron
5T0,0P0,199,0P0 2022-03-08 12:11:27 Josue Negron
6Q2,43J,209,6Q2 2022-03-08 13:27:33 Josue Negron
9E5,0G5,98,0G5 2022-03-14 09:20:09 Josue Negron
8P3,7U4,46,8P3 2022-03-16 10:59:53 Josue Negron
8P3,1J0,90,8P3 2022-03-16 10:59:53 Josue Negron
4C2,5J7,270,4C2 2022-03-16 12:02:40 Josue Negron
0I6,0L1,542,0I6 2022-03-17 13:31:17 Josue Negron
7W2,43P,310,43P 2022-03-23 11:48:53 Josue Negron
5T3,5Q0,53,5Q0 2022-03-23 12:09:12 Josue Negron
0K7,8A9,31,8A9 2022-03-23 13:25:24 Josue Negron
5K3,2X5,237,5K3 2022-03-25 11:13:22 Josue Negron
7V3,8J6,579,8J6 2022-03-25 11:50:01 Josue Negron
1J0,8N7,291,1J0 2022-03-25 12:16:20 Josue Negron
