id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominated,idcode,no.scans,hrs.focalfollowed,focalcutoff_met
0T5,F,2014,8,43F,07D,43F,F,1,H,100,NA,"NA",3.8333333333333335,Y
7W2,F,2015,7,43F,9D1,43F,F,2,H,98.05825243,NA,"NA",0,N
0G5,F,2007,15,43F,75H,43F,F,3,H,97.08737864,75,"NA",3.8333333333333335,Y
5C0,F,2005,17,43F,08N,43F,F,4,H,96.11650485,5030,"NA",3.8333333333333335,Y
8P8,F,2012,10,5C0,6A8,5C0,F,5,H,95.14563107,NA,"NA",3.8333333333333335,Y
8N7,F,2011,11,0E7,9A1,0E7,F,6,H,94.17475728,NA,"NA",0,N
43J,F,1998,24,H74,O23,H74,F,7,H,93.2038835,4310,"NA",3.8333333333333335,Y
6Q2,F,2013,9,43J,7B2,43J,F,8,H,92.23300971,NA,"NA",3.8333333333333335,Y
9D8,F,2006,16,85S,84E,85S,F,9,H,91.26213592,9048,"NA",3.8333333333333335,Y
8W1,F,2015,7,9D8,6E6,9D8,F,10,H,90.29126214,NA,"NA",0,N
7W1,F,2015,7,82A,9D1,82A,F,11,H,89.32038835,NA,"NA",0,N
7U4,F,2014,8,82A,96B,82A,F,12,H,88.34951456,NA,"NA",0,N
6C0,F,2006,16,82A,08N,82A,F,13,H,87.37864078,6030,"NA",3.8333333333333335,Y
2X7,F,2015,7,6C0,8C3,6C0,F,14,H,86.40776699,NA,"NA",0,N
8P3,F,2012,10,6C0,0B8,6C0,F,15,H,85.4368932,NA,"NA",3.8333333333333335,Y
98T,F,2004,18,R65,30C,R65,F,16,H,84.46601942,9820,"NA",4,Y
2L8,F,2010,12,17C,07D,17C,F,17,H,83.49514563,2128,"NA",3.8333333333333335,Y
04N,F,2000,22,17C,Z06,17C,F,18,H,82.52427184,414,"NA",3.8333333333333335,Y
9N1,F,2011,11,04N,12Z,04N,F,19,H,81.55339806,NA,"NA",0,N
3E2,F,2006,16,04N,48L,04N,F,20,H,80.58252427,3052,"NA",3.6666666666666665,Y
1X4,F,2015,7,3E2,0B8,3E2,F,21,M,79.61165049,NA,"NA",0,N
8J6,F,2009,13,60P,91O,60P,F,22,M,78.6407767,8106,"NA",3.8333333333333335,Y
0I6,F,2009,13,92D,36S,92D,F,23,M,77.66990291,96,"NA",3.8333333333333335,Y
7V2,F,2015,7,0I6,6J2,0I6,F,24,M,76.69902913,NA,"NA",0,N
64P,F,2000,22,39B,85B,39B,F,25,M,75.72815534,6416,"NA",3.8333333333333335,Y
9N3,F,2011,11,64P,6A8,64P,F,26,M,74.75728155,NA,"NA",0,N
5K3,F,2010,12,0A4,56K,0A4,F,27,M,73.78640777,5113,"NA",3.8333333333333335,Y
59A,F,1992,30,NA,658,J97,F,28,M,72.81553398,5901,"NA",3.3333333333333335,Y
8P9,F,2012,10,59A,96B,59A,F,29,M,71.84466019,NA,"NA",3.8333333333333335,Y
8J8,F,2009,13,59A,36S,59A,F,30,M,70.87378641,8108,"NA",0,N
9M4,F,2011,11,88I,25L,88I,F,31,M,69.90291262,NA,"NA",3.8333333333333335,Y
0S8,F,2013,9,56E,42T,56E,F,32,M,68.93203883,NA,"NA",0,N
9U4,F,2014,8,56E,1H9,56E,F,33,M,67.96116505,NA,"NA",0,N
5Q8,F,2013,9,6F2,56K,6F2,F,34,M,66.99029126,NA,"NA",3.8333333333333335,Y
6O0,F,2012,10,73B,12Z,73B,F,35,M,66.01941748,NA,"NA",0,N
5K7,F,2010,12,73B,36S,73B,F,36,M,65.04854369,5117,"NA",0,N
9U7,F,2015,7,5K7,6E6,5K7,F,37,M,64.0776699,NA,"NA",0,N
3S3,F,2013,9,68V,6B2,68V,MM,38,M,63.10679612,NA,"NA",3.8333333333333335,Y
9A4,F,2004,18,35N,85B,35N,F,39,M,62.13592233,9014,"NA",3.8333333333333335,Y
0X8,F,2015,7,9A4,4G6,9A4,F,40,M,61.16504854,NA,"NA",0,N
5T0,F,2014,8,9A4,34P,9A4,F,41,M,60.19417476,NA,"NA",0,N
8F3,F,2007,15,V37,07D,V37,F,42,M,59.22330097,8063,"NA",0,N
0T1,F,2014,8,8F3,2I4,8F3,F,43,M,58.25242718,NA,"NA",0,N
9W1,F,2015,7,1K0,4G6,1K0,F,44,M,57.2815534,NA,"NA",0,N
0T0,F,2014,8,28J,3B9,28J,F,45,M,56.31067961,NA,"NA",0,N
1H6,F,2008,14,67G,27J,67G,F,46,M,55.33980583,1086,"NA",3.8333333333333335,Y
3W4,F,2015,7,1H6,6E6,1H6,F,47,M,54.36893204,NA,"NA",0,N
2X3,F,2015,7,78T,6E6,78T,F,48,M,53.39805825,NA,"NA",0,N
6V7,F,2015,7,3E7,5E1,3E7,F,49,M,52.42718447,NA,"NA",0,N
9M6,F,2011,11,50S,49Z,50S,F,50,M,51.45631068,NA,"NA",0,N
6O1,F,2012,10,50S,49Z,50S,F,51,M,50.48543689,NA,"NA",0,N
7U7,F,2014,8,0I5,42T,0I5,F,52,L,49.51456311,NA,"NA",0,N
8T2,F,2014,8,50S,42T,50S,F,53,L,48.54368932,NA,"NA",0,N
6T1,F,2014,8,8B0,42T,8B0,F,54,L,47.57281553,NA,"NA",0,N
6Q4,F,2013,9,2A8,8A7,2A8,F,55,L,46.60194175,NA,"NA",0,N
8N1,F,2011,11,1C0,49Z,1C0,F,56,L,45.63106796,NA,"NA",0,N
7D8,F,2006,16,47L,09K,47L,F,57,L,44.66019417,7048,"NA",4,Y
5T1,F,2014,8,7D8,1F2,7D8,F,58,L,43.68932039,NA,"NA",0,N
82L,F,2000,22,NA,56C,27C,F,59,L,42.7184466,8212,"NA",3.3333333333333335,Y
6T9,F,2014,8,82L,0B8,82L,F,60,L,41.74757282,NA,"NA",0,N
79Z,F,2004,18,64A,79H,64A,F,61,L,40.77669903,7926,"NA",3.8333333333333335,Y
0K7,F,2009,13,79Z,05I,79Z,F,62,L,39.80582524,117,"NA",0,N
5T5,F,2014,8,0K7,88V,0K7,F,63,L,38.83495146,NA,"NA",0,N
9U3,F,2014,8,79Z,8C3,79Z,F,64,L,37.86407767,NA,"NA",0,N
7U6,F,2014,8,40L,7G1,40L,F,65,L,36.89320388,NA,"NA",0,N
1L4,F,2010,12,40L,43P,40L,F,66,L,35.9223301,1124,"NA",0,N
2A7,F,2004,18,40L,79H,40L,F,67,L,34.95145631,2017,"NA",3.8333333333333335,Y
50I,F,1997,25,64A,S56,64A,F,68,L,33.98058252,5009,"NA",3.8333333333333335,Y
1S9,F,2013,9,50I,0B8,50I,F,69,L,33.00970874,NA,"NA",0.5,Y
9H7,F,2008,14,50I,43P,50I,F,70,L,32.03883495,9087,"NA",3.8333333333333335,Y
2X2,F,2015,7,9H7,8D3,9H7,F,71,L,31.06796117,NA,"NA",0,N
55V,F,2003,19,J92,90B,J92,F,72,L,30.09708738,5522,"NA",3.8333333333333335,Y
8U6,F,2014,8,55V,0B8,55V,F,73,L,29.12621359,NA,"NA",0,N
1A3,F,2004,18,34N,86D,34N,F,74,L,28.15533981,1013,"NA",3.6666666666666665,Y
8T8,F,2014,8,1A3,4G6,1A3,F,75,L,27.18446602,NA,"NA",0,N
7U5,F,2014,8,3C3,5B0,3C3,F,76,L,26.21359223,NA,"NA",0,N
0K2,F,2009,13,3C3,16N,3C3,F,77,L,25.24271845,112,"NA",0,N
8E8,F,2007,15,43I,25L,43I,F,78,L,24.27184466,8058,"NA",3.8333333333333335,Y
1J7,F,2010,12,X97,64K,X97,F,79,L,23.30097087,1107,"NA",0,N
7U3,F,2014,8,1J7,43P,1J7,F,80,L,22.33009709,NA,"NA",0,N
8W3,F,2015,7,2H3,9F5,2H3,F,81,L,21.3592233,NA,"NA",0,N
9T1,F,2014,8,2H3,42T,2H3,F,82,L,20.38834951,NA,"NA",0,N
0V1,F,2015,7,57H,0B8,57H,F,83,L,19.41747573,NA,"NA",0,N
5T4,F,2014,8,57H,0B8,57H,F,84,L,18.44660194,NA,"NA",0,N
1X1,F,2015,7,28G,1F2,28G,MM,85,L,17.47572816,NA,"NA",0,N
34Z,F,2004,18,28G,65F,28G,F,86,L,16.50485437,NA,"NA",0,N
90P,F,2001,21,28G,Z19,28G,F,87,L,15.53398058,NA,"NA",0,N
2X0,F,2015,7,90P,6B2,90P,MM,88,L,14.5631068,NA,"NA",0,N
8T9,F,2014,8,90P,8C2,90P,MM,89,L,13.59223301,NA,"NA",0,N
8J0,F,2009,13,90P,88V,90P,HH,90,L,12.62135922,NA,"NA",0,N
0U6,F,2014,8,8J0,8C2,8J0,MM,91,L,11.65048544,NA,"NA",0,N
7B7,F,2005,17,89C,65F,89C,F,92,L,10.67961165,7027,"NA",0.5,Y
4S1,F,2013,9,20F,43P,20F,F,93,L,9.708737864,NA,"NA",3.8333333333333335,Y
4C2,F,2005,17,00J,15N,00J,F,94,L,8.737864078,4032,"NA",1.1666666666666667,Y
8T1,F,2014,8,36Z,3B9,36Z,F,95,L,7.766990291,NA,"NA",0,N
1L5,F,2010,12,62V,8A7,62V,F,96,L,6.796116505,1125,"NA",3.8333333333333335,Y
7V6,F,2015,7,1L5,2F8,1L5,F,97,L,5.825242718,NA,"NA",0,N
0A9,F,2004,18,29B,08N,29B,F,98,L,4.854368932,19,"NA",0.5,Y
9W8,F,2015,7,0A9,0B8,0A9,F,99,L,3.883495146,NA,"NA",0,N
7J8,F,2009,13,0A9,25L,0A9,F,100,L,2.912621359,7108,"NA",0.5,Y
2J2,F,2009,13,29B,49L,29B,F,101,L,1.941747573,2102,"NA",0.6666666666666666,Y
9I6,F,2009,13,7B5,07T,7B5,F,102,L,0.970873786,9096,"NA",3.6666666666666665,Y
5T3,F,2014,8,9I6,9E5,9I6,F,103,L,0,NA,"NA",0,N
9D1,M,2006,16,82L,08N,82L,F,1,H,100,9042,"NA",3.8333333333333335,Y
43P,M,2001,21,H74,K32,H74,F,2,H,98.29059829,4316,"NA",3.8333333333333335,Y
8A9,M,2004,18,13A,96B,13A,HH,3,H,97.43589744,8019,"NA",3.8333333333333335,Y
9E5,M,2007,15,16S,02R,16S,HH,4,H,96.58119658,9055,"NA",3.8333333333333335,Y
1J0,M,2009,13,7A6,11Z,7A6,R,5,H,95.72649573,1230,"NA",3.8333333333333335,Y
8C0,M,2006,16,93O,94H,37D,KK,6,H,94.87179487,8030,"NA",3.8333333333333335,Y
7V7,M,2015,7,8F3,7I5,8F3,F,7,H,94.01709402,NA,"NA",0,N
7E1,M,2007,15,12T,68N,12T,HH,8,H,93.16239316,7051,"NA",3.6666666666666665,Y
8D8,M,2006,16,60R,20J,60R,KK,9,H,92.30769231,8048,"NA",4,Y
2H6,M,2008,14,68C,43R,68C,R,10,H,91.45299145,2086,"NA",3.8333333333333335,Y
8H0,M,2008,14,21C,43H,21C,HH,11,H,90.5982906,8080,"NA",3.8333333333333335,Y
3L2,M,2010,12,21H,27N,21H,KK,12,H,89.74358974,NA,"NA",0,N
0L1,M,2010,12,89K,17K,89K,R,13,H,88.88888889,121,"NA",3.8333333333333335,Y
2T7,M,2014,8,0K2,1F2,0K2,F,14,H,88.03418803,NA,"NA",0,N
5N5,M,2011,11,5E8,70C,5E8,V,15,H,87.17948718,NA,"NA",3.6666666666666665,Y
6E6,M,2007,15,42V,02R,42V,HH,16,H,86.32478632,6056,"NA",0,N
7V3,M,2015,7,55V,6E6,55V,F,17,H,85.47008547,NA,"NA",0,N
2X5,M,2015,7,5K3,2J4,5K3,F,18,H,84.61538462,NA,"NA",0,N
5G3,M,2008,14,34Z,93R,34Z,HH,19,H,83.76068376,5073,"NA",3.8333333333333335,Y
3L7,M,2010,12,5B4,46Z,5B4,HH,20,H,82.90598291,NA,"NA",0,N
7U2,M,2014,8,1L5,1J8,1L5,F,21,H,82.05128205,NA,"NA",0,N
0W5,M,2015,7,1E6,4H2,1E6,R,22,H,81.1965812,NA,"NA",0,N
17K,M,1998,24,Z15,T16,Z15,F,23,H,80.34188034,1711,"NA",3.1666666666666665,Y
5R2,M,2013,9,0E1,80T,0E1,R,24,M,79.48717949,NA,"NA",0,N
2I0,M,2009,13,30J,98K,30J,V,25,M,78.63247863,2100,"NA",0,N
6B8,M,2005,17,96G,80B,96G,R,26,M,77.77777778,6028,"NA",3.8333333333333335,Y
8U5,M,2014,8,7K6,77I,7K6,V,27,M,76.92307692,NA,"NA",0,N
5J7,M,2009,13,64D,31I,64D,F,28,M,76.06837607,NA,"NA",4,Y
5Q0,M,2013,9,4F8,8D8,4F8,R,29,M,75.21367521,NA,"NA",3.8333333333333335,Y
