id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,numObs,propObs,hrs.focalfollowed,focalcutoff_met
5H4,F,2008,10,21V,02R,21V,KK,1,H,100,865,0.021622838,2.68082265,Y
8L3,F,2010,8,11N,94O,11N,KK,2,H,95.45454545,785,0.019623038,2.430601536,Y
24V,F,2003,15,Z51,70C,Z51,KK,3,H,93.18181818,733,0.018323168,2.267957813,Y
2J7,F,2009,9,62R,03N,62R,KK,4,H,90.90909091,797,0.019923008,2.468134703,Y
1E2,F,2006,12,88R,84J,88R,KK,5,H,88.63636364,710,0.017748225,2.196019243,Y
9N6,F,2011,7,0B6,17L,0B6,KK,6,H,86.36363636,707,0.017673233,2.186635951,Y
4F1,F,2007,11,99N,09L,99N,KK,7,H,84.09090909,795,0.019873013,2.461879175,Y
76J,F,1999,19,R75,X81,R75,F,8,H,81.81818181,781,0.019523048,2.418090481,Y
4D8,F,2006,12,76J,94O,76J,KK,9,M,79.54545455,785,0.019623038,2.430601536,Y
2C3,F,2005,13,R75,S76,R75,KK,10,M,77.27272727,707,0.017673233,2.186635951,Y
0M6,F,2011,7,2C3,11Z,2C3,KK,11,M,75,525,0.013123688,1.617382918,Y
0K8,F,2009,9,2C3,56K,2C3,KK,12,M,72.72727273,609,0.015223478,1.880115087,Y
7J7,F,2009,9,74T,94O,74T,KK,13,M,70.45454545,631,0.015773423,1.948925893,Y
86Z,F,2004,14,58H,30G,58H,KK,14,M,68.18181818,739,0.018473153,2.286724396,Y
60R,F,2001,17,58H,K14,58H,KK,15,M,65.90909091,640,0.0159984,1.977075768,Y
6K6,F,2010,8,60R,99L,60R,KK,16,M,63.63636364,613,0.015323468,1.892626143,Y
6D6,F,2006,12,45F,79H,45F,KK,17,M,61.36363636,670,0.016748325,2.070908686,Y
3F7,F,2007,11,75J,09L,75J,KK,18,M,59.09090909,659,0.016473353,2.036503283,Y
6C2,F,2005,13,75J,84J,75J,KK,19,M,56.81818182,640,0.0159984,1.977075768,Y
