focal_id,focal_sex,behaviour,activity,focalfollow_starttime,complete_duration,constrained_duration,partner_id,partner_sex,observation_name,date,obs_start,obs_stop,timeblock,observer,data_type,groom_notes,food_type,aggression_type,voc_type,redirected,winner,direction,initiator,ejaculation/inf_mom,within_2m,within_3_5m,proxscan,numbjuvs_males,numb_juvs_females,numbjuvs_unknown
0A9,Female,Travel,NA,2022-02-22T09:56:16Z,11,NA,NA,NA,0A9 2022-02-22 09:56:16 Josue Negron,2022-02-22,2022-02-22T09:56:22Z,2022-02-22T09:56:33Z,3,JN,focal,NA,,NA,,,,NA,,,,,NA,NA,NA,NA
0A9,Female,Vigilnce,NA,2022-02-22T09:56:16Z,0,NA,NA,NA,0A9 2022-02-22 09:56:16 Josue Negron,2022-02-22,2022-02-22T09:56:28Z,NA,3,JN,focal,NA,,NA,,,,NA,,,,,NA,NA,NA,NA
0A9,Female,Vigilnce,NA,2022-02-22T09:56:16Z,0,NA,NA,NA,0A9 2022-02-22 09:56:16 Josue Negron,2022-02-22,2022-02-22T09:56:32Z,NA,3,JN,focal,NA,,NA,,,,NA,,,,,NA,NA,NA,NA
0A9,Female,Rest,NA,2022-02-22T09:56:16Z,41,NA,NA,NA,0A9 2022-02-22 09:56:16 Josue Negron,2022-02-22,2022-02-22T09:56:33Z,2022-02-22T09:57:14Z,3,JN,focal,NA,,NA,,,,NA,,,,,NA,NA,NA,NA
0A9,Female,Vigilnce,NA,2022-02-22T09:56:16Z,0,NA,NA,NA,0A9 2022-02-22 09:56:16 Josue Negron,2022-02-22,2022-02-22T09:56:43Z,NA,3,JN,focal,NA,,NA,,,,NA,,,,,NA,NA,NA,NA
0A9,Female,SelfGrm,NA,2022-02-22T09:56:16Z,0,NA,NA,NA,0A9 2022-02-22 09:56:16 Josue Negron,2022-02-22,2022-02-22T09:57:00Z,NA,3,JN,focal,NA,,NA,,,,NA,,,,,NA,NA,NA,NA
0A9,Female,Feed,NA,2022-02-22T09:56:16Z,36,NA,NA,NA,0A9 2022-02-22 09:56:16 Josue Negron,2022-02-22,2022-02-22T09:57:14Z,2022-02-22T09:57:50Z,3,JN,focal,NA,Plants,NA,,,,NA,,,,,NA,NA,NA,NA
0A9,Female,Vigilnce,NA,2022-02-22T09:56:16Z,0,NA,NA,NA,0A9 2022-02-22 09:56:16 Josue Negron,2022-02-22,2022-02-22T09:57:22Z,NA,3,JN,focal,NA,,NA,,,,NA,,,,,NA,NA,NA,NA
0A9,Female,Vigilnce,NA,2022-02-22T09:56:16Z,0,NA,NA,NA,0A9 2022-02-22 09:56:16 Josue Negron,2022-02-22,2022-02-22T09:57:26Z,NA,3,JN,focal,NA,,NA,,,,NA,,,,,NA,NA,NA,NA
0A9,Female,Vigilnce,NA,2022-02-22T09:56:16Z,0,NA,NA,NA,0A9 2022-02-22 09:56:16 Josue Negron,2022-02-22,2022-02-22T09:57:33Z,NA,3,JN,focal,NA,,NA,,,,NA,,,,,NA,NA,NA,NA
0A9,Female,Rest,NA,2022-02-22T09:56:16Z,15,NA,NA,NA,0A9 2022-02-22 09:56:16 Josue Negron,2022-02-22,2022-02-22T09:57:50Z,2022-02-22T09:58:05Z,3,JN,focal,NA,,NA,,,,NA,,,,,NA,NA,NA,NA
0A9,Female,SelfGrm,NA,2022-02-22T09:56:16Z,0,NA,NA,NA,0A9 2022-02-22 09:56:16 Josue Negron,2022-02-22,2022-02-22T09:57:51Z,NA,3,JN,focal,NA,,NA,,,,NA,,,,,NA,NA,NA,NA
0A9,Female,Vigilnce,NA,2022-02-22T09:56:16Z,0,NA,NA,NA,0A9 2022-02-22 09:56:16 Josue Negron,2022-02-22,2022-02-22T09:57:57Z,NA,3,JN,focal,NA,,NA,,,,NA,,,,,NA,NA,NA,NA
0A9,Female,Travel,NA,2022-02-22T09:56:16Z,14,NA,NA,NA,0A9 2022-02-22 09:56:16 Josue Negron,2022-02-22,2022-02-22T09:58:05Z,2022-02-22T09:58:19Z,3,JN,focal,NA,,NA,,,,NA,,,,,NA,NA,NA,NA
0A9,Female,Vigilnce,NA,2022-02-22T09:56:16Z,0,NA,NA,NA,0A9 2022-02-22 09:56:16 Josue Negron,2022-02-22,2022-02-22T09:58:08Z,NA,3,JN,focal,NA,,NA,,,,NA,,,,,NA,NA,NA,NA
0A9,Female,Scratch,NA,2022-02-22T09:56:16Z,0,NA,NA,NA,0A9 2022-02-22 09:56:16 Josue Negron,2022-02-22,2022-02-22T09:58:12Z,NA,3,JN,focal,NA,,NA,,,,NA,,,,,NA,NA,NA,NA
