date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
2022-02-23,04Z 2022-02-23 13:46:44 Josue Negron,1,04Z,04Z,Feed,NA,2022-02-23T13:46:44Z
2022-02-23,04Z 2022-02-23 13:46:44 Josue Negron,2,04Z,"04Z, 7V6",Feed,Rest,2022-02-23T13:51:44Z
2022-02-23,04Z 2022-02-23 13:46:44 Josue Negron,3,04Z,04Z,Feed,NA,2022-02-23T13:56:44Z
2022-03-02,04Z 2022-03-02 09:46:13 Josue Negron,1,04Z,"04Z, 0A9",Feed,Feed,2022-03-02T09:46:13Z
2022-03-02,04Z 2022-03-02 09:46:13 Josue Negron,2,04Z,"04Z, 0A9",Feed,Feed,2022-03-02T09:51:13Z
2022-03-02,04Z 2022-03-02 09:46:13 Josue Negron,3,04Z,"04Z, 0A9, 9W6",Feed,"Feed, Feed",2022-03-02T09:56:13Z
2022-03-09,04Z 2022-03-09 12:46:31 Josue Negron,1,04Z,04Z,Rest,NA,2022-03-09T12:46:31Z
2022-03-09,04Z 2022-03-09 12:46:31 Josue Negron,2,04Z,04Z,Rest,NA,2022-03-09T12:51:32Z
2022-03-09,04Z 2022-03-09 12:46:31 Josue Negron,3,04Z,04Z,Rest,NA,2022-03-09T12:56:32Z
2022-03-23,04Z 2022-03-23 08:26:26 Josue Negron,1,04Z,04Z,Feed,NA,2022-03-23T08:26:26Z
2022-03-23,04Z 2022-03-23 08:26:26 Josue Negron,2,04Z,04Z,Feed,NA,2022-03-23T08:31:26Z
2022-03-23,04Z 2022-03-23 08:26:26 Josue Negron,3,04Z,04Z,Feed,NA,2022-03-23T08:36:26Z
2022-03-31,04Z 2022-03-31 08:48:51 Josue Negron,1,04Z,"04Z, 0X9",Feed,Feed,2022-03-31T08:48:51Z
2022-03-31,04Z 2022-03-31 08:48:51 Josue Negron,2,04Z,04Z,Feed,NA,2022-03-31T08:53:52Z
2022-03-31,04Z 2022-03-31 08:48:51 Josue Negron,3,04Z,04Z,Feed,NA,2022-03-31T08:58:52Z
2022-04-13,04Z 2022-04-13 13:26:29 Josue Negron,1,04Z,04Z,Travel,NA,2022-04-13T13:26:29Z
2022-04-13,04Z 2022-04-13 13:26:29 Josue Negron,2,04Z,04Z,Rest,NA,2022-04-13T13:31:30Z
2022-04-13,04Z 2022-04-13 13:26:29 Josue Negron,3,04Z,04Z,Rest,NA,2022-04-13T13:36:30Z
2022-05-10,04Z 2022-05-10 07:49:57 Josue Negron,1,04Z,04Z,Rest,NA,2022-05-10T07:49:57Z
