"id","sex","year.of.birth","age","mother","father","behavioral.mother","group.at.birth","rank","ordinal.rank","percofsex.dominanted","numObs","propObs","hrs.focalfollowed"
"14E","F",1994,24,"L49","G20","L49","V",1,"H",100,609,0.0149125814192664,5.94266369557765
"0M4","F",2010,8,"14E","72O","14E","V",2,"H",95.65217391,586,0.0143493804789657,5.71822812086782
"0M3","F",2010,8,"1B3","61R","1B3","V",3,"H",93.47826087,474,0.0116068367696753,4.62532445271561
"0F0","F",2007,11,"31L","61B","31L","V",4,"H",91.30434783,76,0.00186101180273275,0.741613203389
"1K1","F",2009,9,"31L","98K","31L","V",5,"H",89.13043478,566,0.0138596405308781,5.52306675155492
"5C6","F",2005,13,"31L","Z46","31L","V",6,"H",86.95652174,226,0.00553406141338949,2.20532347323571
"2E4","F",2006,12,"29J","54F","29J","V",7,"H",84.7826087,0,0,0
"9C1","F",2006,12,"67F","54F","67F","V",8,"H",82.60869565,635,0.0155492433517802,6.19637347568441
"00V","F",2003,15,"30J","51A","30J","V",9,"H",80.43478261,580,0.0142024584945394,5.65967971007395
"2G4","F",2008,10,"00V","30S","00V","V",10,"M",78.26086957,637,0.015598217346589,6.2158896126157
"53Z","F",2004,14,"30J","51A","30J","V",11,"M",76.08695652,522,0.0127822126450855,5.09371173906656
"1G1","F",2008,10,"48S","61B","48S","V",12,"M",73.91304348,492,0.0120476027229541,4.80096968509721
"0K0","F",2009,9,"15E","12E","15E","V",13,"M",71.73913043,131,0.00320779665997355,1.27830696899946
"13H","F",1997,21,"J41","S76","J41","V",14,"M",69.56521739,24,0.000587687937705079,0.234193643175474
"1I7","F",2009,9,"13H","12E","13H","V",15,"M",67.39130435,541,0.0132474655957686,5.27911503991381
"7K8","F",2010,8,"13B","97V","13B","V",17,"M",63.04347826,532,0.0130270826191292,5.191292423723
"7C4","F",2005,13,"13B","17L","13B","V",18,"M",60.86956522,513,0.0125618296684461,5.00588912287575
"4J4","F",2009,9,"90T","72O","90T","V",19,"M",58.69565217,436,0.0106763308683089,4.25451785102111
"52Z","F",2004,14,"78I","01K","78I","V",20,"M",56.52173913,394,0.00964787697732504,3.84467897546403
"1G6","F",2008,10,"52Z","30S","52Z","V",22,"M",52.17391304,334,0.00817865713306234,3.25919486752534
"93T","F",2003,15,"L66","51A","L66","V",23,"M",50,443,0.0108477398501396,4.32282433028062
"90T","F",2003,15,"79I","72H","79I","V",24,"L",47.82608696,441,0.0107987658553308,4.30330819334933
"1K2","F",2009,9,"99J","60L","99J","V",25,"L",45.65217391,487,0.0119251677359322,4.75217934276899
"5L7","F",2010,8,"81E","60L","81E","V",26,"L",43.47826087,398,0.00974582496694255,3.88371124932661
"8N3","F",2011,7,"15E","12E","15E","V",27,"L",41.30434783,435,0.0106518438709045,4.24475978255546
"2I3","F",2009,9,"52Z","51A","52Z","V",28,"L",39.13043478,517,0.0126597776580636,5.04492139673833
"2G2","F",2008,10,"81E","61B","81E","V",29,"L",36.95652174,514,0.0125863166658504,5.0156471913414
"1G0","F",2008,10,"25N","41N","25N","V",30,"L",34.7826087,452,0.011068122826779,4.41064694647142
"1I5","F",2009,9,"01R","72O","01R","V",31,"L",32.60869565,493,0.0120720897203585,4.81072775356286
"2G3","F",2008,10,"47Z",NA,"47Z","V",33,"L",28.26086957,441,0.0107987658553308,4.30330819334933
"4C9","F",2005,13,"20C","44E","20C","V",34,"L",26.08695652,534,0.013076056613938,5.21080856065429
"45Z","F",2004,14,"20C","51J","20C","V",35,"L",23.91304348,486,0.0119006807385278,4.74242127430334
"1B0","F",2004,14,"99J","12E","99J","V",37,"L",19.56521739,499,0.0122190117047848,4.86927616435673
"3H0","F",2008,10,"1B0",NA,"1B0","V",38,"L",17.39130435,557,0.0136392575542387,5.43524413536412
"4C5","F",2005,13,"T03","51A","T03","V",39,"L",15.2173913,402,0.00984377295656007,3.92274352318919
"5L8","F",2010,8,"4C5","10R","4C5","V",40,"L",13.04347826,486,0.0119006807385278,4.74242127430334
"3D9","F",2007,11,"T03","51A","T03","V",41,"L",10.86956522,408,0.00999069494098634,3.98129193398306
"2K1","F",2010,8,"98J","46Z","98J","V",42,"L",8.695652174,418,0.0102355649150301,4.0788726186395
"85T","F",2003,15,"98J","51A","98J","V",43,"L",6.52173913,502,0.0122924726969979,4.89855036975366
"1G4","F",2008,10,"85T","30S","85T","V",44,"L",4.347826087,439,0.0107497918605221,4.28379205641804
"51Z","F",2004,14,"97J","61B","97J","V",45,"L",2.173913043,544,0.0133209265879818,5.30838924531074
"1I6","F",2009,9,"51Z","60L","51Z","V",46,"L",0,439,0.0107497918605221,4.28379205641804
"61R","M",2001,17,"07A","45A","07A","KK",1,"H",100,687,0.0168225672168079,6.70379303589794
"2K4","M",2010,8,"2E4","12O","2E4","V",2,"H",96.61016949,69,0.0016896028209021,0.673306724129487
