id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominated,idcode,no.scans,hrs.focalfollowed,focalcutoff_met
0M4,F,2010,12,14E,72O,14E,V,1,H,100,134,"NA",3,Y
3X8,F,2015,7,14E,8A7,14E,V,2,H,96.42857143,NA,"NA",3,Y
0S5,F,2013,9,40Z,73V,40Z,V,3,H,94.64285714,NA,"NA",3,Y
2E4,F,2006,16,29J,54F,29J,V,4,H,92.85714286,2054,"NA",3,Y
5O0,F,2012,10,31L,61R,31L,V,5,H,91.07142857,NA,"NA",3,Y
1K1,F,2009,13,31L,98K,31L,V,6,H,89.28571429,1111,"NA",3.1666666666666665,Y
6U1,F,2014,8,1K1,1C2,1K1,V,7,H,87.5,NA,"NA",3.1666666666666665,Y
4U8,F,2014,8,0F0,8A7,0F0,V,8,H,85.71428571,NA,"NA",3,Y
3X9,F,2015,7,0F0,51A,0F0,V,9,H,83.92857143,NA,"NA",3,Y
6W2,F,2015,7,5C6,4C3,5C6,V,10,H,82.14285714,NA,"NA",3,Y
6W1,F,2015,7,9C1,18I,9C1,V,11,H,80.35714286,NA,"NA",3.1666666666666665,Y
00V,F,2003,19,30J,51A,30J,V,12,M,78.57142857,22,"NA",2,N
1G1,F,2008,14,48S,61B,48S,V,13,M,76.78571429,1071,"NA",3,Y
4O4,F,2012,10,1G1,4C3,1G1,V,14,M,75,NA,"NA",3.1666666666666665,Y
8N3,F,2011,11,15E,12E,15E,V,15,M,73.21428571,NA,"NA",3.1666666666666665,Y
0X1,F,2015,7,0K0,1F9,0K0,V,16,M,71.42857143,NA,"NA",3,Y
7K8,F,2010,12,13B,97V,13B,V,17,M,69.64285714,7118,"NA",3.1666666666666665,Y
5U5,F,2014,8,7K8,1I4,7K8,V,18,M,67.85714286,NA,"NA",3.1666666666666665,Y
7C4,F,2005,17,13B,17L,13B,V,19,M,66.07142857,7034,"NA",3,Y
5E8,F,2008,14,78I,60L,78I,V,20,M,64.28571429,5058,"NA",3,Y
8R7,F,2013,9,5E8,2F9,5E8,V,21,M,62.5,NA,"NA",3,Y
52Z,F,2004,18,78I,01K,78I,V,22,M,60.71428571,5226,"NA",2.6666666666666665,Y
4S7,F,2013,9,1G6,61R,1G6,V,23,M,58.92857143,NA,"NA",3,Y
2I3,F,2009,13,52Z,51A,52Z,V,24,M,57.14285714,2093,"NA",3.1666666666666665,Y
