date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
2022-02-24,00V 2022-02-24 12:57:43 Daniel Phillips,1,00V,"33T, 4U8, 00V",Rest,"Rest, Rest",2022-02-24T12:57:43Z
2022-02-24,00V 2022-02-24 12:57:43 Daniel Phillips,2,00V,00V,Travel,NA,2022-02-24T13:02:43Z
2022-02-24,00V 2022-02-24 12:57:43 Daniel Phillips,3,00V,00V,Rest,NA,2022-02-24T13:07:43Z
2022-02-28,00V 2022-02-28 10:00:38 Daniel Phillips,1,00V,00V,Travel,NA,2022-02-28T10:00:38Z
2022-02-28,00V 2022-02-28 10:00:38 Daniel Phillips,2,00V,00V,Feed,NA,2022-02-28T10:05:39Z
2022-02-28,00V 2022-02-28 10:00:38 Daniel Phillips,3,00V,00V,Feed,NA,2022-02-28T10:10:39Z
2022-03-15,00V 2022-03-15 13:26:31 Daniel Phillips,1,00V,"00V, 33T",Rest,Rest,2022-03-15T13:26:31Z
2022-03-15,00V 2022-03-15 13:26:31 Daniel Phillips,2,00V,00V,Rest,NA,2022-03-15T13:31:31Z
2022-03-15,00V 2022-03-15 13:26:31 Daniel Phillips,3,00V,00V,Rest,NA,2022-03-15T13:36:31Z
2022-03-21,00V 2022-03-21 07:49:09 Daniel Phillips,1,00V,00V,Feed,NA,2022-03-21T07:49:09Z
2022-03-21,00V 2022-03-21 07:49:09 Daniel Phillips,2,00V,00V,Feed,NA,2022-03-21T07:54:09Z
2022-03-21,00V 2022-03-21 07:49:09 Daniel Phillips,3,00V,00V,Feed,NA,2022-03-21T07:59:09Z
2022-03-31,00V 2022-03-31 12:56:05 Daniel Phillips,1,00V,00V,Rest,NA,2022-03-31T12:56:05Z
2022-03-31,00V 2022-03-31 12:56:05 Daniel Phillips,2,00V,00V,Rest,NA,2022-03-31T13:01:05Z
2022-03-31,00V 2022-03-31 12:56:05 Daniel Phillips,3,00V,00V,Rest,NA,2022-03-31T13:06:05Z
2022-04-05,00V 2022-04-05 10:01:38 Daniel Phillips,1,00V,00V,Feed,NA,2022-04-05T10:01:38Z
2022-04-05,00V 2022-04-05 10:01:38 Daniel Phillips,2,00V,00V,Rest,NA,2022-04-05T10:06:38Z
2022-04-05,00V 2022-04-05 10:01:38 Daniel Phillips,3,00V,00V,Feed,NA,2022-04-05T10:11:38Z
2022-05-18,00V 2022-05-18 13:22:38 Daniel Phillips,1,00V,00V,Rest,NA,2022-05-18T13:22:38Z
2022-05-18,00V 2022-05-18 13:22:38 Daniel Phillips,2,00V,00V,Rest,NA,2022-05-18T13:27:38Z
2022-05-18,00V 2022-05-18 13:22:38 Daniel Phillips,3,00V,00V,Rest,NA,2022-05-18T13:32:38Z
2022-05-31,00V 2022-05-31 07:43:22 Daniel Phillips,1,00V,00V,Rest,NA,2022-05-31T07:43:22Z
2022-05-31,00V 2022-05-31 07:43:22 Daniel Phillips,2,00V,00V,Feed,NA,2022-05-31T07:48:22Z
2022-05-31,00V 2022-05-31 07:43:22 Daniel Phillips,3,00V,00V,Feed,NA,2022-05-31T07:53:22Z
2022-06-08,00V 2022-06-08 11:02:23 Daniel Phillips,1,00V,00V,Feed,NA,2022-06-08T11:02:23Z
2022-06-08,00V 2022-06-08 11:02:23 Daniel Phillips,2,00V,00V,Travel,NA,2022-06-08T11:07:24Z
2022-06-08,00V 2022-06-08 11:02:23 Daniel Phillips,3,00V,00V,Feed,NA,2022-06-08T11:12:24Z
2022-06-22,00V 2022-06-22 08:49:18 Daniel Phillips,1,00V,00V,Feed,NA,2022-06-22T08:49:18Z
2022-06-22,00V 2022-06-22 08:49:18 Daniel Phillips,2,00V,00V,Feed,NA,2022-06-22T08:54:18Z
2022-06-22,00V 2022-06-22 08:49:18 Daniel Phillips,3,00V,00V,Feed,NA,2022-06-22T08:59:18Z
2022-07-01,00V 2022-07-01 11:08:48 Daniel Phillips,1,00V,00V,Feed,NA,2022-07-01T11:08:48Z
2022-07-01,00V 2022-07-01 11:08:48 Daniel Phillips,2,00V,00V,Feed,NA,2022-07-01T11:13:48Z
2022-07-01,00V 2022-07-01 11:08:48 Daniel Phillips,3,00V,00V,Feed,NA,2022-07-01T11:18:48Z
2022-07-12,00V 2022-07-12 08:28:03 Daniel Phillips,1,00V,00V,Rest,NA,2022-07-12T08:28:03Z
2022-07-12,00V 2022-07-12 08:28:03 Daniel Phillips,2,00V,00V,Travel,NA,2022-07-12T08:33:03Z
2022-07-12,00V 2022-07-12 08:28:03 Daniel Phillips,3,00V,00V,Feed,NA,2022-07-12T08:38:03Z
2022-02-22,04T 2022-02-22 13:43:37 Daniel Phillips,1,04T,04T,Travel,NA,2022-02-22T13:43:37Z
2022-02-22,04T 2022-02-22 13:43:37 Daniel Phillips,2,04T,04T,Travel,NA,2022-02-22T13:48:38Z
2022-02-22,04T 2022-02-22 13:43:37 Daniel Phillips,3,04T,04T,Travel,NA,2022-02-22T13:53:38Z
2022-03-01,04T 2022-03-01 10:12:29 Daniel Phillips,1,04T,04T,Rest,NA,2022-03-01T10:12:29Z
2022-03-01,04T 2022-03-01 10:12:29 Daniel Phillips,2,04T,"04T, 1K1",Rest,Rest,2022-03-01T10:17:29Z
2022-03-01,04T 2022-03-01 10:12:29 Daniel Phillips,3,04T,04T,Rest,NA,2022-03-01T10:22:29Z
2022-03-16,04T 2022-03-16 13:47:30 Daniel Phillips,1,04T,04T,Rest,NA,2022-03-16T13:47:30Z
2022-03-16,04T 2022-03-16 13:47:30 Daniel Phillips,2,04T,04T,Travel,NA,2022-03-16T13:52:30Z
2022-03-16,04T 2022-03-16 13:47:30 Daniel Phillips,3,04T,"04T, 1K1",Rest,Rest,2022-03-16T13:57:30Z
2022-03-25,04T 2022-03-25 09:35:07 Daniel Phillips,1,04T,04T,Rest,NA,2022-03-25T09:35:07Z
2022-03-25,04T 2022-03-25 09:35:07 Daniel Phillips,2,04T,"04T, 1G4",Feed,Feed,2022-03-25T09:40:07Z
2022-03-25,04T 2022-03-25 09:35:07 Daniel Phillips,3,04T,04T,Feed,NA,2022-03-25T09:45:07Z
2022-04-04,04T 2022-04-04 11:56:53 Daniel Phillips,1,04T,04T,Rest,NA,2022-04-04T11:56:53Z
2022-04-04,04T 2022-04-04 11:56:53 Daniel Phillips,2,04T,04T,Rest,NA,2022-04-04T12:01:53Z
2022-04-04,04T 2022-04-04 11:56:53 Daniel Phillips,3,04T,"04T, 8M1",Rest,Rest,2022-04-04T12:06:53Z
