1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4E00000041935F21
Is Mission Active?  true
Mission Start:  Thu Apr 04 15:25:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1331
Total Samples:  1342
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
4/4/19 3:25:00 PM,C,48.5
4/4/19 3:55:00 PM,C,43
4/4/19 4:25:00 PM,C,43.5
4/4/19 4:55:00 PM,C,39
4/4/19 5:25:00 PM,C,31.5
4/4/19 5:55:00 PM,C,26.5
4/4/19 6:25:00 PM,C,25.5
4/4/19 6:55:00 PM,C,25
4/4/19 7:25:00 PM,C,23.5
4/4/19 7:55:00 PM,C,22.5
4/4/19 8:25:00 PM,C,22
4/4/19 8:55:00 PM,C,22
4/4/19 9:25:00 PM,C,22
4/4/19 9:55:00 PM,C,23
4/4/19 10:25:00 PM,C,22.5
4/4/19 10:55:00 PM,C,23
4/4/19 11:25:00 PM,C,22
4/4/19 11:55:00 PM,C,23.5
4/5/19 12:25:00 AM,C,23.5
4/5/19 12:55:00 AM,C,23
4/5/19 1:25:00 AM,C,23
4/5/19 1:55:00 AM,C,22.5
4/5/19 2:25:00 AM,C,22.5
4/5/19 2:55:00 AM,C,23
4/5/19 3:25:00 AM,C,23
4/5/19 3:55:00 AM,C,22.5
4/5/19 4:25:00 AM,C,22.5
4/5/19 4:55:00 AM,C,21.5
4/5/19 5:25:00 AM,C,21.5
4/5/19 5:55:00 AM,C,22
4/5/19 6:25:00 AM,C,22
4/5/19 6:55:00 AM,C,24.5
4/5/19 7:25:00 AM,C,27
4/5/19 7:55:00 AM,C,29.5
4/5/19 8:25:00 AM,C,30
4/5/19 8:55:00 AM,C,38
4/5/19 9:25:00 AM,C,42.5
4/5/19 9:55:00 AM,C,45
4/5/19 10:25:00 AM,C,49
4/5/19 10:55:00 AM,C,52
4/5/19 11:25:00 AM,C,54
4/5/19 11:55:00 AM,C,54
4/5/19 12:25:00 PM,C,58.5
4/5/19 12:55:00 PM,C,56.5
4/5/19 1:25:00 PM,C,57
4/5/19 1:55:00 PM,C,54
4/5/19 2:25:00 PM,C,42.5
4/5/19 2:55:00 PM,C,44.5
4/5/19 3:25:00 PM,C,50
4/5/19 3:55:00 PM,C,48.5
4/5/19 4:25:00 PM,C,45.5
4/5/19 4:55:00 PM,C,41
4/5/19 5:25:00 PM,C,37
4/5/19 5:55:00 PM,C,31.5
4/5/19 6:25:00 PM,C,29.5
4/5/19 6:55:00 PM,C,27
4/5/19 7:25:00 PM,C,26
4/5/19 7:55:00 PM,C,25.5
4/5/19 8:25:00 PM,C,25.5
4/5/19 8:55:00 PM,C,25.5
4/5/19 9:25:00 PM,C,25.5
4/5/19 9:55:00 PM,C,25.5
4/5/19 10:25:00 PM,C,26
4/5/19 10:55:00 PM,C,25.5
4/5/19 11:25:00 PM,C,23.5
4/5/19 11:55:00 PM,C,23.5
4/6/19 12:25:00 AM,C,24
4/6/19 12:55:00 AM,C,23.5
4/6/19 1:25:00 AM,C,23.5
4/6/19 1:55:00 AM,C,23.5
4/6/19 2:25:00 AM,C,23.5
4/6/19 2:55:00 AM,C,23.5
4/6/19 3:25:00 AM,C,23.5
4/6/19 3:55:00 AM,C,23.5
4/6/19 4:25:00 AM,C,23.5
4/6/19 4:55:00 AM,C,24
4/6/19 5:25:00 AM,C,24
4/6/19 5:55:00 AM,C,24
4/6/19 6:25:00 AM,C,24.5
4/6/19 6:55:00 AM,C,25
4/6/19 7:25:00 AM,C,26
4/6/19 7:55:00 AM,C,30.5
4/6/19 8:25:00 AM,C,32.5
4/6/19 8:55:00 AM,C,39.5
4/6/19 9:25:00 AM,C,36.5
4/6/19 9:55:00 AM,C,45
4/6/19 10:25:00 AM,C,41.5
4/6/19 10:55:00 AM,C,45
4/6/19 11:25:00 AM,C,48.5
4/6/19 11:55:00 AM,C,46.5
4/6/19 12:25:00 PM,C,43
4/6/19 12:55:00 PM,C,42.5
4/6/19 1:25:00 PM,C,47
4/6/19 1:55:00 PM,C,51
4/6/19 2:25:00 PM,C,47.5
4/6/19 2:55:00 PM,C,44.5
4/6/19 3:25:00 PM,C,50
4/6/19 3:55:00 PM,C,46.5
4/6/19 4:25:00 PM,C,41
4/6/19 4:55:00 PM,C,40.5
4/6/19 5:25:00 PM,C,37
4/6/19 5:55:00 PM,C,30
4/6/19 6:25:00 PM,C,27.5
4/6/19 6:55:00 PM,C,26
4/6/19 7:25:00 PM,C,25.5
4/6/19 7:55:00 PM,C,25
4/6/19 8:25:00 PM,C,25
4/6/19 8:55:00 PM,C,24.5
4/6/19 9:25:00 PM,C,24.5
4/6/19 9:55:00 PM,C,24.5
4/6/19 10:25:00 PM,C,24
4/6/19 10:55:00 PM,C,24
4/6/19 11:25:00 PM,C,24
4/6/19 11:55:00 PM,C,24
4/7/19 12:25:00 AM,C,24
4/7/19 12:55:00 AM,C,24.5
4/7/19 1:25:00 AM,C,24
4/7/19 1:55:00 AM,C,24.5
4/7/19 2:25:00 AM,C,24
4/7/19 2:55:00 AM,C,24
4/7/19 3:25:00 AM,C,23.5
4/7/19 3:55:00 AM,C,24
4/7/19 4:25:00 AM,C,23.5
4/7/19 4:55:00 AM,C,24
4/7/19 5:25:00 AM,C,23.5
4/7/19 5:55:00 AM,C,23.5
4/7/19 6:25:00 AM,C,23.5
4/7/19 6:55:00 AM,C,25
4/7/19 7:25:00 AM,C,28.5
4/7/19 7:55:00 AM,C,29.5
4/7/19 8:25:00 AM,C,36.5
4/7/19 8:55:00 AM,C,41
4/7/19 9:25:00 AM,C,43.5
4/7/19 9:55:00 AM,C,48
4/7/19 10:25:00 AM,C,52
4/7/19 10:55:00 AM,C,52.5
4/7/19 11:25:00 AM,C,55.5
4/7/19 11:55:00 AM,C,54
4/7/19 12:25:00 PM,C,57
4/7/19 12:55:00 PM,C,57.5
4/7/19 1:25:00 PM,C,61
4/7/19 1:55:00 PM,C,56
4/7/19 2:25:00 PM,C,58.5
4/7/19 2:55:00 PM,C,52.5
4/7/19 3:25:00 PM,C,48.5
4/7/19 3:55:00 PM,C,43.5
4/7/19 4:25:00 PM,C,37.5
4/7/19 4:55:00 PM,C,35
4/7/19 5:25:00 PM,C,32.5
4/7/19 5:55:00 PM,C,31
4/7/19 6:25:00 PM,C,28
4/7/19 6:55:00 PM,C,26.5
4/7/19 7:25:00 PM,C,25.5
4/7/19 7:55:00 PM,C,25
4/7/19 8:25:00 PM,C,25
4/7/19 8:55:00 PM,C,24.5
4/7/19 9:25:00 PM,C,24.5
4/7/19 9:55:00 PM,C,25
4/7/19 10:25:00 PM,C,24.5
4/7/19 10:55:00 PM,C,25
4/7/19 11:25:00 PM,C,25
4/7/19 11:55:00 PM,C,24.5
4/8/19 12:25:00 AM,C,24.5
4/8/19 12:55:00 AM,C,24.5
4/8/19 1:25:00 AM,C,24.5
4/8/19 1:55:00 AM,C,24.5
4/8/19 2:25:00 AM,C,22
4/8/19 2:55:00 AM,C,21.5
4/8/19 3:25:00 AM,C,22.5
4/8/19 3:55:00 AM,C,22.5
4/8/19 4:25:00 AM,C,23
4/8/19 4:55:00 AM,C,23
4/8/19 5:25:00 AM,C,22.5
4/8/19 5:55:00 AM,C,23
4/8/19 6:25:00 AM,C,23
4/8/19 6:55:00 AM,C,24
4/8/19 7:25:00 AM,C,28
4/8/19 7:55:00 AM,C,31.5
4/8/19 8:25:00 AM,C,35
4/8/19 8:55:00 AM,C,41.5
4/8/19 9:25:00 AM,C,46.5
4/8/19 9:55:00 AM,C,52.5
4/8/19 10:25:00 AM,C,58
4/8/19 10:55:00 AM,C,52.5
4/8/19 11:25:00 AM,C,44.5
4/8/19 11:55:00 AM,C,56.5
4/8/19 12:25:00 PM,C,46
4/8/19 12:55:00 PM,C,51.5
4/8/19 1:25:00 PM,C,56
4/8/19 1:55:00 PM,C,52.5
4/8/19 2:25:00 PM,C,47
4/8/19 2:55:00 PM,C,42.5
4/8/19 3:25:00 PM,C,45.5
4/8/19 3:55:00 PM,C,47.5
4/8/19 4:25:00 PM,C,43
4/8/19 4:55:00 PM,C,38
4/8/19 5:25:00 PM,C,37.5
4/8/19 5:55:00 PM,C,31.5
4/8/19 6:25:00 PM,C,27.5
4/8/19 6:55:00 PM,C,26
4/8/19 7:25:00 PM,C,25.5
4/8/19 7:55:00 PM,C,25
4/8/19 8:25:00 PM,C,24.5
4/8/19 8:55:00 PM,C,24.5
4/8/19 9:25:00 PM,C,24
4/8/19 9:55:00 PM,C,24.5
4/8/19 10:25:00 PM,C,24
4/8/19 10:55:00 PM,C,24
4/8/19 11:25:00 PM,C,23.5
4/8/19 11:55:00 PM,C,23.5
4/9/19 12:25:00 AM,C,24
4/9/19 12:55:00 AM,C,23.5
4/9/19 1:25:00 AM,C,23.5
4/9/19 1:55:00 AM,C,23.5
4/9/19 2:25:00 AM,C,23.5
4/9/19 2:55:00 AM,C,23.5
4/9/19 3:25:00 AM,C,23
4/9/19 3:55:00 AM,C,23
4/9/19 4:25:00 AM,C,23
4/9/19 4:55:00 AM,C,23
4/9/19 5:25:00 AM,C,23
4/9/19 5:55:00 AM,C,23.5
4/9/19 6:25:00 AM,C,23.5
4/9/19 6:55:00 AM,C,25
4/9/19 7:25:00 AM,C,28.5
4/9/19 7:55:00 AM,C,31.5
4/9/19 8:25:00 AM,C,36
4/9/19 8:55:00 AM,C,42
4/9/19 9:25:00 AM,C,46.5
4/9/19 9:55:00 AM,C,50
4/9/19 10:25:00 AM,C,54
4/9/19 10:55:00 AM,C,58.5
4/9/19 11:25:00 AM,C,60
4/9/19 11:55:00 AM,C,60
4/9/19 12:25:00 PM,C,59
4/9/19 12:55:00 PM,C,58.5
4/9/19 1:25:00 PM,C,58.5
4/9/19 1:55:00 PM,C,60
4/9/19 2:25:00 PM,C,55
4/9/19 2:55:00 PM,C,48
4/9/19 3:25:00 PM,C,47
4/9/19 3:55:00 PM,C,44.5
4/9/19 4:25:00 PM,C,41
4/9/19 4:55:00 PM,C,32.5
4/9/19 5:25:00 PM,C,30.5
4/9/19 5:55:00 PM,C,30.5
4/9/19 6:25:00 PM,C,28
4/9/19 6:55:00 PM,C,23.5
4/9/19 7:25:00 PM,C,23
4/9/19 7:55:00 PM,C,23.5
4/9/19 8:25:00 PM,C,24
4/9/19 8:55:00 PM,C,23.5
4/9/19 9:25:00 PM,C,24
4/9/19 9:55:00 PM,C,23.5
4/9/19 10:25:00 PM,C,23.5
4/9/19 10:55:00 PM,C,23
4/9/19 11:25:00 PM,C,23.5
4/9/19 11:55:00 PM,C,23.5
4/10/19 12:25:00 AM,C,23.5
4/10/19 12:55:00 AM,C,23
4/10/19 1:25:00 AM,C,23
4/10/19 1:55:00 AM,C,22.5
4/10/19 2:25:00 AM,C,23.5
4/10/19 2:55:00 AM,C,23.5
4/10/19 3:25:00 AM,C,24
4/10/19 3:55:00 AM,C,23.5
4/10/19 4:25:00 AM,C,23.5
4/10/19 4:55:00 AM,C,23
4/10/19 5:25:00 AM,C,23
4/10/19 5:55:00 AM,C,23
4/10/19 6:25:00 AM,C,23.5
4/10/19 6:55:00 AM,C,24.5
4/10/19 7:25:00 AM,C,28.5
4/10/19 7:55:00 AM,C,32
4/10/19 8:25:00 AM,C,34
4/10/19 8:55:00 AM,C,32.5
4/10/19 9:25:00 AM,C,38
4/10/19 9:55:00 AM,C,42
4/10/19 10:25:00 AM,C,41.5
4/10/19 10:55:00 AM,C,39
4/10/19 11:25:00 AM,C,45.5
4/10/19 11:55:00 AM,C,42.5
4/10/19 12:25:00 PM,C,41.5
4/10/19 12:55:00 PM,C,48.5
4/10/19 1:25:00 PM,C,46.5
4/10/19 1:55:00 PM,C,53
4/10/19 2:25:00 PM,C,47.5
4/10/19 2:55:00 PM,C,46
4/10/19 3:25:00 PM,C,48.5
4/10/19 3:55:00 PM,C,47.5
4/10/19 4:25:00 PM,C,40
4/10/19 4:55:00 PM,C,36
4/10/19 5:25:00 PM,C,34
4/10/19 5:55:00 PM,C,29
4/10/19 6:25:00 PM,C,27.5
4/10/19 6:55:00 PM,C,26.5
4/10/19 7:25:00 PM,C,26
4/10/19 7:55:00 PM,C,26
4/10/19 8:25:00 PM,C,26
4/10/19 8:55:00 PM,C,26
4/10/19 9:25:00 PM,C,26
4/10/19 9:55:00 PM,C,24
4/10/19 10:25:00 PM,C,24.5
4/10/19 10:55:00 PM,C,25
4/10/19 11:25:00 PM,C,24.5
4/10/19 11:55:00 PM,C,24.5
4/11/19 12:25:00 AM,C,24.5
4/11/19 12:55:00 AM,C,24
4/11/19 1:25:00 AM,C,24
4/11/19 1:55:00 AM,C,24
4/11/19 2:25:00 AM,C,24
4/11/19 2:55:00 AM,C,24
4/11/19 3:25:00 AM,C,24
4/11/19 3:55:00 AM,C,24
4/11/19 4:25:00 AM,C,22.5
4/11/19 4:55:00 AM,C,24
4/11/19 5:25:00 AM,C,23
4/11/19 5:55:00 AM,C,22.5
4/11/19 6:25:00 AM,C,23.5
4/11/19 6:55:00 AM,C,24.5
4/11/19 7:25:00 AM,C,28.5
4/11/19 7:55:00 AM,C,30.5
4/11/19 8:25:00 AM,C,31
4/11/19 8:55:00 AM,C,25.5
4/11/19 9:25:00 AM,C,30.5
4/11/19 9:55:00 AM,C,33
4/11/19 10:25:00 AM,C,43
4/11/19 10:55:00 AM,C,40.5
