1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: C900000041AC4E21
Is Mission Active?  true
Mission Start:  Thu Apr 04 15:27:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1331
Total Samples:  1342
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
4/4/19 3:27:00 PM,C,47
4/4/19 3:57:00 PM,C,37
4/4/19 4:27:00 PM,C,42.5
4/4/19 4:57:00 PM,C,35.5
4/4/19 5:27:00 PM,C,27
4/4/19 5:57:00 PM,C,24.5
4/4/19 6:27:00 PM,C,24
4/4/19 6:57:00 PM,C,23.5
4/4/19 7:27:00 PM,C,23.5
4/4/19 7:57:00 PM,C,22.5
4/4/19 8:27:00 PM,C,22
4/4/19 8:57:00 PM,C,22.5
4/4/19 9:27:00 PM,C,22
4/4/19 9:57:00 PM,C,23
4/4/19 10:27:00 PM,C,22.5
4/4/19 10:57:00 PM,C,23
4/4/19 11:27:00 PM,C,22.5
4/4/19 11:57:00 PM,C,22.5
4/5/19 12:27:00 AM,C,22.5
4/5/19 12:57:00 AM,C,23
4/5/19 1:27:00 AM,C,23
4/5/19 1:57:00 AM,C,23
4/5/19 2:27:00 AM,C,23
4/5/19 2:57:00 AM,C,23
4/5/19 3:27:00 AM,C,23.5
4/5/19 3:57:00 AM,C,22.5
4/5/19 4:27:00 AM,C,23
4/5/19 4:57:00 AM,C,22
4/5/19 5:27:00 AM,C,22
4/5/19 5:57:00 AM,C,22.5
4/5/19 6:27:00 AM,C,22.5
4/5/19 6:57:00 AM,C,24
4/5/19 7:27:00 AM,C,27
4/5/19 7:57:00 AM,C,27.5
4/5/19 8:27:00 AM,C,28.5
4/5/19 8:57:00 AM,C,35
4/5/19 9:27:00 AM,C,39.5
4/5/19 9:57:00 AM,C,42
4/5/19 10:27:00 AM,C,44.5
4/5/19 10:57:00 AM,C,47
