1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7B00000041505C21
Is Mission Active?  true
Mission Start:  Fri Aug 02 10:09:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1340
Total Samples:  7102
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/2/19 10:09:00 AM,C,34.5
8/2/19 10:39:00 AM,C,35.5
8/2/19 11:09:00 AM,C,35.5
8/2/19 11:39:00 AM,C,36
8/2/19 12:09:00 PM,C,36.5
8/2/19 12:39:00 PM,C,37.5
8/2/19 1:09:00 PM,C,36
8/2/19 1:39:00 PM,C,36
8/2/19 2:09:00 PM,C,35.5
8/2/19 2:39:00 PM,C,34.5
8/2/19 3:09:00 PM,C,35.5
8/2/19 3:39:00 PM,C,34.5
8/2/19 4:09:00 PM,C,34.5
8/2/19 4:39:00 PM,C,29.5
8/2/19 5:09:00 PM,C,30.5
8/2/19 5:39:00 PM,C,31
8/2/19 6:09:00 PM,C,28.5
8/2/19 6:39:00 PM,C,28
8/2/19 7:09:00 PM,C,28
8/2/19 7:39:00 PM,C,28
8/2/19 8:09:00 PM,C,27.5
8/2/19 8:39:00 PM,C,27.5
8/2/19 9:09:00 PM,C,28
8/2/19 9:39:00 PM,C,28
8/2/19 10:09:00 PM,C,28
8/2/19 10:39:00 PM,C,28
8/2/19 11:09:00 PM,C,28
8/2/19 11:39:00 PM,C,28
8/3/19 12:09:00 AM,C,28
8/3/19 12:39:00 AM,C,28.5
8/3/19 1:09:00 AM,C,28.5
8/3/19 1:39:00 AM,C,28
8/3/19 2:09:00 AM,C,28
8/3/19 2:39:00 AM,C,28
8/3/19 3:09:00 AM,C,28
8/3/19 3:39:00 AM,C,27.5
8/3/19 4:09:00 AM,C,27.5
8/3/19 4:39:00 AM,C,27.5
8/3/19 5:09:00 AM,C,28
8/3/19 5:39:00 AM,C,28
8/3/19 6:09:00 AM,C,27.5
8/3/19 6:39:00 AM,C,28
8/3/19 7:09:00 AM,C,29
8/3/19 7:39:00 AM,C,30
8/3/19 8:09:00 AM,C,31
8/3/19 8:39:00 AM,C,32.5
8/3/19 9:09:00 AM,C,34
8/3/19 9:39:00 AM,C,34.5
8/3/19 10:09:00 AM,C,35.5
8/3/19 10:39:00 AM,C,36
8/3/19 11:09:00 AM,C,37
8/3/19 11:39:00 AM,C,38
8/3/19 12:09:00 PM,C,38
8/3/19 12:39:00 PM,C,39.5
8/3/19 1:09:00 PM,C,39.5
8/3/19 1:39:00 PM,C,39
8/3/19 2:09:00 PM,C,38.5
8/3/19 2:39:00 PM,C,38
8/3/19 3:09:00 PM,C,37
8/3/19 3:39:00 PM,C,36.5
8/3/19 4:09:00 PM,C,36
8/3/19 4:39:00 PM,C,35.5
8/3/19 5:09:00 PM,C,34
8/3/19 5:39:00 PM,C,33
8/3/19 6:09:00 PM,C,31
8/3/19 6:39:00 PM,C,29.5
8/3/19 7:09:00 PM,C,29
8/3/19 7:39:00 PM,C,29
8/3/19 8:09:00 PM,C,28.5
8/3/19 8:39:00 PM,C,28.5
8/3/19 9:09:00 PM,C,28.5
8/3/19 9:39:00 PM,C,28.5
8/3/19 10:09:00 PM,C,25
8/3/19 10:39:00 PM,C,26
8/3/19 11:09:00 PM,C,27
8/3/19 11:39:00 PM,C,27.5
8/4/19 12:09:00 AM,C,27.5
8/4/19 12:39:00 AM,C,27.5
8/4/19 1:09:00 AM,C,27.5
8/4/19 1:39:00 AM,C,27.5
8/4/19 2:09:00 AM,C,27.5
8/4/19 2:39:00 AM,C,28
8/4/19 3:09:00 AM,C,27.5
8/4/19 3:39:00 AM,C,27.5
8/4/19 4:09:00 AM,C,28
8/4/19 4:39:00 AM,C,28
8/4/19 5:09:00 AM,C,27.5
8/4/19 5:39:00 AM,C,27.5
8/4/19 6:09:00 AM,C,27.5
8/4/19 6:39:00 AM,C,28
8/4/19 7:09:00 AM,C,29
8/4/19 7:39:00 AM,C,29
8/4/19 8:09:00 AM,C,31
8/4/19 8:39:00 AM,C,30.5
8/4/19 9:09:00 AM,C,32
8/4/19 9:39:00 AM,C,33
8/4/19 10:09:00 AM,C,34
8/4/19 10:39:00 AM,C,35
8/4/19 11:09:00 AM,C,37
8/4/19 11:39:00 AM,C,38
8/4/19 12:09:00 PM,C,39
8/4/19 12:39:00 PM,C,39.5
8/4/19 1:09:00 PM,C,38
8/4/19 1:39:00 PM,C,36.5
8/4/19 2:09:00 PM,C,35.5
8/4/19 2:39:00 PM,C,36
8/4/19 3:09:00 PM,C,35
8/4/19 3:39:00 PM,C,35
8/4/19 4:09:00 PM,C,33.5
8/4/19 4:39:00 PM,C,33.5
8/4/19 5:09:00 PM,C,32.5
8/4/19 5:39:00 PM,C,32.5
8/4/19 6:09:00 PM,C,31
8/4/19 6:39:00 PM,C,30
8/4/19 7:09:00 PM,C,29.5
8/4/19 7:39:00 PM,C,29
8/4/19 8:09:00 PM,C,29
8/4/19 8:39:00 PM,C,29
8/4/19 9:09:00 PM,C,28.5
8/4/19 9:39:00 PM,C,28.5
8/4/19 10:09:00 PM,C,28.5
8/4/19 10:39:00 PM,C,28.5
8/4/19 11:09:00 PM,C,28.5
8/4/19 11:39:00 PM,C,28.5
8/5/19 12:09:00 AM,C,28.5
8/5/19 12:39:00 AM,C,28.5
8/5/19 1:09:00 AM,C,28
8/5/19 1:39:00 AM,C,28
8/5/19 2:09:00 AM,C,28
8/5/19 2:39:00 AM,C,28
8/5/19 3:09:00 AM,C,27.5
8/5/19 3:39:00 AM,C,27.5
8/5/19 4:09:00 AM,C,27.5
8/5/19 4:39:00 AM,C,27.5
8/5/19 5:09:00 AM,C,27
8/5/19 5:39:00 AM,C,27.5
8/5/19 6:09:00 AM,C,27.5
8/5/19 6:39:00 AM,C,27.5
8/5/19 7:09:00 AM,C,28.5
8/5/19 7:39:00 AM,C,29.5
8/5/19 8:09:00 AM,C,30.5
8/5/19 8:39:00 AM,C,31.5
8/5/19 9:09:00 AM,C,32.5
8/5/19 9:39:00 AM,C,33.5
8/5/19 10:09:00 AM,C,34.5
8/5/19 10:39:00 AM,C,35.5
8/5/19 11:09:00 AM,C,37
8/5/19 11:39:00 AM,C,37.5
8/5/19 12:09:00 PM,C,38
8/5/19 12:39:00 PM,C,37.5
8/5/19 1:09:00 PM,C,37
8/5/19 1:39:00 PM,C,37.5
8/5/19 2:09:00 PM,C,38
8/5/19 2:39:00 PM,C,37
8/5/19 3:09:00 PM,C,37.5
8/5/19 3:39:00 PM,C,36.5
8/5/19 4:09:00 PM,C,35.5
8/5/19 4:39:00 PM,C,35
8/5/19 5:09:00 PM,C,34
8/5/19 5:39:00 PM,C,33
