1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: C900000041AC4E21
Is Mission Active?  true
Mission Start:  Fri Aug 02 09:49:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1341
Total Samples:  7103
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/2/19 9:49:00 AM,C,35.5
8/2/19 10:19:00 AM,C,48.5
8/2/19 10:49:00 AM,C,52.5
8/2/19 11:19:00 AM,C,43.5
8/2/19 11:49:00 AM,C,54.5
8/2/19 12:19:00 PM,C,56
8/2/19 12:49:00 PM,C,56
8/2/19 1:19:00 PM,C,52.5
8/2/19 1:49:00 PM,C,45.5
8/2/19 2:19:00 PM,C,47.5
8/2/19 2:49:00 PM,C,43.5
8/2/19 3:19:00 PM,C,50.5
8/2/19 3:49:00 PM,C,41.5
8/2/19 4:19:00 PM,C,28.5
8/2/19 4:49:00 PM,C,33
8/2/19 5:19:00 PM,C,34.5
8/2/19 5:49:00 PM,C,28.5
8/2/19 6:19:00 PM,C,28
8/2/19 6:49:00 PM,C,27
8/2/19 7:19:00 PM,C,27
8/2/19 7:49:00 PM,C,26.5
8/2/19 8:19:00 PM,C,26
8/2/19 8:49:00 PM,C,26.5
8/2/19 9:19:00 PM,C,26
8/2/19 9:49:00 PM,C,26
8/2/19 10:19:00 PM,C,26
8/2/19 10:49:00 PM,C,25.5
8/2/19 11:19:00 PM,C,25.5
8/2/19 11:49:00 PM,C,25.5
8/3/19 12:19:00 AM,C,26
8/3/19 12:49:00 AM,C,26.5
8/3/19 1:19:00 AM,C,26.5
8/3/19 1:49:00 AM,C,26.5
8/3/19 2:19:00 AM,C,26
8/3/19 2:49:00 AM,C,26.5
8/3/19 3:19:00 AM,C,26
8/3/19 3:49:00 AM,C,25.5
8/3/19 4:19:00 AM,C,25.5
8/3/19 4:49:00 AM,C,25.5
8/3/19 5:19:00 AM,C,26
8/3/19 5:49:00 AM,C,26
8/3/19 6:19:00 AM,C,26
8/3/19 6:49:00 AM,C,27.5
8/3/19 7:19:00 AM,C,30
8/3/19 7:49:00 AM,C,34
8/3/19 8:19:00 AM,C,37.5
8/3/19 8:49:00 AM,C,42
8/3/19 9:19:00 AM,C,42
8/3/19 9:49:00 AM,C,47.5
8/3/19 10:19:00 AM,C,48.5
8/3/19 10:49:00 AM,C,50.5
8/3/19 11:19:00 AM,C,54
8/3/19 11:49:00 AM,C,54
8/3/19 12:19:00 PM,C,53.5
8/3/19 12:49:00 PM,C,57
8/3/19 1:19:00 PM,C,57
8/3/19 1:49:00 PM,C,59
8/3/19 2:19:00 PM,C,55.5
8/3/19 2:49:00 PM,C,54.5
8/3/19 3:19:00 PM,C,52
8/3/19 3:49:00 PM,C,49.5
8/3/19 4:19:00 PM,C,47
8/3/19 4:49:00 PM,C,45
8/3/19 5:19:00 PM,C,39.5
8/3/19 5:49:00 PM,C,35.5
8/3/19 6:19:00 PM,C,30.5
8/3/19 6:49:00 PM,C,29.5
8/3/19 7:19:00 PM,C,28.5
8/3/19 7:49:00 PM,C,28
8/3/19 8:19:00 PM,C,27.5
8/3/19 8:49:00 PM,C,27.5
8/3/19 9:19:00 PM,C,27.5
8/3/19 9:49:00 PM,C,27.5
8/3/19 10:19:00 PM,C,25
8/3/19 10:49:00 PM,C,25.5
8/3/19 11:19:00 PM,C,26.5
8/3/19 11:49:00 PM,C,26
8/4/19 12:19:00 AM,C,25.5
8/4/19 12:49:00 AM,C,25.5
8/4/19 1:19:00 AM,C,25.5
8/4/19 1:49:00 AM,C,25.5
8/4/19 2:19:00 AM,C,25.5
8/4/19 2:49:00 AM,C,26
8/4/19 3:19:00 AM,C,26
8/4/19 3:49:00 AM,C,26
8/4/19 4:19:00 AM,C,26
8/4/19 4:49:00 AM,C,25.5
8/4/19 5:19:00 AM,C,27
8/4/19 5:49:00 AM,C,27
8/4/19 6:19:00 AM,C,27
8/4/19 6:49:00 AM,C,27.5
8/4/19 7:19:00 AM,C,30
8/4/19 7:49:00 AM,C,32
8/4/19 8:19:00 AM,C,36
8/4/19 8:49:00 AM,C,36.5
8/4/19 9:19:00 AM,C,39.5
8/4/19 9:49:00 AM,C,47.5
8/4/19 10:19:00 AM,C,49.5
8/4/19 10:49:00 AM,C,52.5
8/4/19 11:19:00 AM,C,58
8/4/19 11:49:00 AM,C,58
8/4/19 12:19:00 PM,C,58
8/4/19 12:49:00 PM,C,56.5
8/4/19 1:19:00 PM,C,56
8/4/19 1:49:00 PM,C,54.5
8/4/19 2:19:00 PM,C,40.5
8/4/19 2:49:00 PM,C,52.5
8/4/19 3:19:00 PM,C,50
8/4/19 3:49:00 PM,C,45.5
8/4/19 4:19:00 PM,C,40.5
8/4/19 4:49:00 PM,C,40
8/4/19 5:19:00 PM,C,39
8/4/19 5:49:00 PM,C,37
8/4/19 6:19:00 PM,C,31
8/4/19 6:49:00 PM,C,29.5
8/4/19 7:19:00 PM,C,27.5
8/4/19 7:49:00 PM,C,28
8/4/19 8:19:00 PM,C,27.5
8/4/19 8:49:00 PM,C,27.5
8/4/19 9:19:00 PM,C,27.5
8/4/19 9:49:00 PM,C,27.5
8/4/19 10:19:00 PM,C,27.5
8/4/19 10:49:00 PM,C,27.5
8/4/19 11:19:00 PM,C,27.5
8/4/19 11:49:00 PM,C,27
8/5/19 12:19:00 AM,C,27
8/5/19 12:49:00 AM,C,27.5
8/5/19 1:19:00 AM,C,27
8/5/19 1:49:00 AM,C,27
8/5/19 2:19:00 AM,C,26.5
8/5/19 2:49:00 AM,C,26.5
8/5/19 3:19:00 AM,C,26.5
8/5/19 3:49:00 AM,C,27
8/5/19 4:19:00 AM,C,27
8/5/19 4:49:00 AM,C,27
8/5/19 5:19:00 AM,C,25.5
8/5/19 5:49:00 AM,C,25.5
8/5/19 6:19:00 AM,C,26
8/5/19 6:49:00 AM,C,27.5
8/5/19 7:19:00 AM,C,29.5
8/5/19 7:49:00 AM,C,33
8/5/19 8:19:00 AM,C,36.5
8/5/19 8:49:00 AM,C,39.5
8/5/19 9:19:00 AM,C,38.5
8/5/19 9:49:00 AM,C,47
8/5/19 10:19:00 AM,C,51
8/5/19 10:49:00 AM,C,54
8/5/19 11:19:00 AM,C,56
8/5/19 11:49:00 AM,C,58.5
8/5/19 12:19:00 PM,C,57
8/5/19 12:49:00 PM,C,57
8/5/19 1:19:00 PM,C,56
8/5/19 1:49:00 PM,C,52.5
8/5/19 2:19:00 PM,C,53.5
8/5/19 2:49:00 PM,C,55
8/5/19 3:19:00 PM,C,54.5
8/5/19 3:49:00 PM,C,49.5
8/5/19 4:19:00 PM,C,48
8/5/19 4:49:00 PM,C,43.5
8/5/19 5:19:00 PM,C,39.5
8/5/19 5:49:00 PM,C,35
8/5/19 6:19:00 PM,C,32.5
8/5/19 6:49:00 PM,C,30
8/5/19 7:19:00 PM,C,29
8/5/19 7:49:00 PM,C,28.5
8/5/19 8:19:00 PM,C,28
8/5/19 8:49:00 PM,C,28
8/5/19 9:19:00 PM,C,28
8/5/19 9:49:00 PM,C,28
8/5/19 10:19:00 PM,C,28
8/5/19 10:49:00 PM,C,28
8/5/19 11:19:00 PM,C,28
8/5/19 11:49:00 PM,C,28
8/6/19 12:19:00 AM,C,28
8/6/19 12:49:00 AM,C,28
8/6/19 1:19:00 AM,C,28
8/6/19 1:49:00 AM,C,27.5
8/6/19 2:19:00 AM,C,27.5
8/6/19 2:49:00 AM,C,26
8/6/19 3:19:00 AM,C,26.5
8/6/19 3:49:00 AM,C,26
8/6/19 4:19:00 AM,C,26
8/6/19 4:49:00 AM,C,26
8/6/19 5:19:00 AM,C,26.5
8/6/19 5:49:00 AM,C,26.5
8/6/19 6:19:00 AM,C,27
8/6/19 6:49:00 AM,C,27.5
8/6/19 7:19:00 AM,C,29
8/6/19 7:49:00 AM,C,32.5
