1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 80000000419A0121
Is Mission Active?  true
Mission Start:  Fri Aug 02 08:26:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1345
Total Samples:  7093
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/2/19 8:26:00 AM,C,31
8/2/19 8:56:00 AM,C,30.5
8/2/19 9:26:00 AM,C,36
8/2/19 9:56:00 AM,C,38.5
8/2/19 10:26:00 AM,C,41.5
8/2/19 10:56:00 AM,C,40
8/2/19 11:26:00 AM,C,43
8/2/19 11:56:00 AM,C,45
8/2/19 12:26:00 PM,C,46
8/2/19 12:56:00 PM,C,49
8/2/19 1:26:00 PM,C,43.5
8/2/19 1:56:00 PM,C,42
8/2/19 2:26:00 PM,C,41
8/2/19 2:56:00 PM,C,45
8/2/19 3:26:00 PM,C,44
8/2/19 3:56:00 PM,C,42.5
8/2/19 4:26:00 PM,C,28
8/2/19 4:56:00 PM,C,34
8/2/19 5:26:00 PM,C,33
8/2/19 5:56:00 PM,C,28
8/2/19 6:26:00 PM,C,27.5
8/2/19 6:56:00 PM,C,27
8/2/19 7:26:00 PM,C,27
8/2/19 7:56:00 PM,C,26.5
8/2/19 8:26:00 PM,C,26.5
8/2/19 8:56:00 PM,C,26.5
8/2/19 9:26:00 PM,C,26.5
8/2/19 9:56:00 PM,C,26.5
8/2/19 10:26:00 PM,C,26
8/2/19 10:56:00 PM,C,26
8/2/19 11:26:00 PM,C,26
8/2/19 11:56:00 PM,C,26.5
8/3/19 12:26:00 AM,C,27
8/3/19 12:56:00 AM,C,27
8/3/19 1:26:00 AM,C,27
8/3/19 1:56:00 AM,C,27
8/3/19 2:26:00 AM,C,26.5
8/3/19 2:56:00 AM,C,27
8/3/19 3:26:00 AM,C,26.5
8/3/19 3:56:00 AM,C,26
8/3/19 4:26:00 AM,C,26.5
8/3/19 4:56:00 AM,C,26.5
8/3/19 5:26:00 AM,C,27
