1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: C900000041AC4E21
Is Mission Active?  true
Mission Start:  Thu Nov 21 08:15:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1344
Total Samples:  12433
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
11/21/19 8:15:00 AM,C,30.5
11/21/19 8:45:00 AM,C,34
11/21/19 9:15:00 AM,C,38.5
11/21/19 9:45:00 AM,C,45.5
11/21/19 10:15:00 AM,C,49
11/21/19 10:45:00 AM,C,54.5
11/21/19 11:15:00 AM,C,43
11/21/19 11:45:00 AM,C,56
11/21/19 12:15:00 PM,C,52.5
11/21/19 12:45:00 PM,C,33.5
11/21/19 1:15:00 PM,C,45
11/21/19 1:45:00 PM,C,29
11/21/19 2:15:00 PM,C,29
11/21/19 2:45:00 PM,C,33.5
11/21/19 3:15:00 PM,C,34
11/21/19 3:45:00 PM,C,37.5
11/21/19 4:15:00 PM,C,38.5
11/21/19 4:45:00 PM,C,33
11/21/19 5:15:00 PM,C,28.5
11/21/19 5:45:00 PM,C,26.5
11/21/19 6:15:00 PM,C,25.5
11/21/19 6:45:00 PM,C,25.5
11/21/19 7:15:00 PM,C,24.5
11/21/19 7:45:00 PM,C,25.5
11/21/19 8:15:00 PM,C,24.5
11/21/19 8:45:00 PM,C,24
11/21/19 9:15:00 PM,C,24.5
11/21/19 9:45:00 PM,C,24.5
11/21/19 10:15:00 PM,C,24.5
11/21/19 10:45:00 PM,C,24
11/21/19 11:15:00 PM,C,24
11/21/19 11:45:00 PM,C,24
11/22/19 12:15:00 AM,C,23.5
11/22/19 12:45:00 AM,C,24
11/22/19 1:15:00 AM,C,23.5
11/22/19 1:45:00 AM,C,23.5
11/22/19 2:15:00 AM,C,23.5
11/22/19 2:45:00 AM,C,23.5
11/22/19 3:15:00 AM,C,23.5
11/22/19 3:45:00 AM,C,23.5
11/22/19 4:15:00 AM,C,23
11/22/19 4:45:00 AM,C,22.5
11/22/19 5:15:00 AM,C,22.5
11/22/19 5:45:00 AM,C,22.5
11/22/19 6:15:00 AM,C,22.5
11/22/19 6:45:00 AM,C,22
11/22/19 7:15:00 AM,C,23
11/22/19 7:45:00 AM,C,25.5
11/22/19 8:15:00 AM,C,28
11/22/19 8:45:00 AM,C,28
11/22/19 9:15:00 AM,C,32
11/22/19 9:45:00 AM,C,34
11/22/19 10:15:00 AM,C,33
11/22/19 10:45:00 AM,C,33.5
11/22/19 11:15:00 AM,C,30.5
11/22/19 11:45:00 AM,C,32
11/22/19 12:15:00 PM,C,39
11/22/19 12:45:00 PM,C,31.5
11/22/19 1:15:00 PM,C,31.5
11/22/19 1:45:00 PM,C,35
11/22/19 2:15:00 PM,C,25.5
11/22/19 2:45:00 PM,C,29.5
11/22/19 3:15:00 PM,C,30.5
11/22/19 3:45:00 PM,C,29
11/22/19 4:15:00 PM,C,27
11/22/19 4:45:00 PM,C,26.5
11/22/19 5:15:00 PM,C,26.5
11/22/19 5:45:00 PM,C,25.5
11/22/19 6:15:00 PM,C,25
11/22/19 6:45:00 PM,C,25.5
11/22/19 7:15:00 PM,C,25.5
11/22/19 7:45:00 PM,C,25.5
11/22/19 8:15:00 PM,C,25
11/22/19 8:45:00 PM,C,25.5
11/22/19 9:15:00 PM,C,25.5
11/22/19 9:45:00 PM,C,25.5
11/22/19 10:15:00 PM,C,24
11/22/19 10:45:00 PM,C,24
11/22/19 11:15:00 PM,C,23
11/22/19 11:45:00 PM,C,23
11/23/19 12:15:00 AM,C,22.5
11/23/19 12:45:00 AM,C,22.5
11/23/19 1:15:00 AM,C,24
11/23/19 1:45:00 AM,C,23
11/23/19 2:15:00 AM,C,22.5
11/23/19 2:45:00 AM,C,23
