1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 54000000416CA721
Is Mission Active?  true
Mission Start:  Thu Nov 21 09:01:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1344
Total Samples:  12424
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
11/21/19 9:01:00 AM,C,35
11/21/19 9:31:00 AM,C,44.5
11/21/19 10:01:00 AM,C,47
11/21/19 10:31:00 AM,C,44
11/21/19 11:01:00 AM,C,38.5
11/21/19 11:31:00 AM,C,40
11/21/19 12:01:00 PM,C,37
11/21/19 12:31:00 PM,C,27.5
11/21/19 1:01:00 PM,C,33.5
11/21/19 1:31:00 PM,C,32
11/21/19 2:01:00 PM,C,26
11/21/19 2:31:00 PM,C,27.5
11/21/19 3:01:00 PM,C,28.5
11/21/19 3:31:00 PM,C,31
11/21/19 4:01:00 PM,C,31
11/21/19 4:31:00 PM,C,31
11/21/19 5:01:00 PM,C,29.5
11/21/19 5:31:00 PM,C,27.5
11/21/19 6:01:00 PM,C,26.5
11/21/19 6:31:00 PM,C,26
11/21/19 7:01:00 PM,C,26
11/21/19 7:31:00 PM,C,26
11/21/19 8:01:00 PM,C,26
11/21/19 8:31:00 PM,C,25.5
11/21/19 9:01:00 PM,C,25
11/21/19 9:31:00 PM,C,25
11/21/19 10:01:00 PM,C,24.5
11/21/19 10:31:00 PM,C,24.5
11/21/19 11:01:00 PM,C,24.5
11/21/19 11:31:00 PM,C,24.5
11/22/19 12:01:00 AM,C,22.5
11/22/19 12:31:00 AM,C,22.5
11/22/19 1:01:00 AM,C,23
11/22/19 1:31:00 AM,C,23
11/22/19 2:01:00 AM,C,23
11/22/19 2:31:00 AM,C,23
11/22/19 3:01:00 AM,C,23.5
11/22/19 3:31:00 AM,C,23.5
11/22/19 4:01:00 AM,C,23.5
11/22/19 4:31:00 AM,C,23
11/22/19 5:01:00 AM,C,23
11/22/19 5:31:00 AM,C,23
11/22/19 6:01:00 AM,C,23
11/22/19 6:31:00 AM,C,23.5
11/22/19 7:01:00 AM,C,23.5
11/22/19 7:31:00 AM,C,25
11/22/19 8:01:00 AM,C,31.5
11/22/19 8:31:00 AM,C,29.5
11/22/19 9:01:00 AM,C,33.5
11/22/19 9:31:00 AM,C,36
11/22/19 10:01:00 AM,C,30.5
11/22/19 10:31:00 AM,C,32
11/22/19 11:01:00 AM,C,34
11/22/19 11:31:00 AM,C,28.5
11/22/19 12:01:00 PM,C,30
11/22/19 12:31:00 PM,C,32.5
11/22/19 1:01:00 PM,C,24.5
11/22/19 1:31:00 PM,C,29
11/22/19 2:01:00 PM,C,28.5
11/22/19 2:31:00 PM,C,26
11/22/19 3:01:00 PM,C,27
11/22/19 3:31:00 PM,C,26.5
11/22/19 4:01:00 PM,C,26
11/22/19 4:31:00 PM,C,26
11/22/19 5:01:00 PM,C,26
11/22/19 5:31:00 PM,C,25
11/22/19 6:01:00 PM,C,25
11/22/19 6:31:00 PM,C,25
11/22/19 7:01:00 PM,C,25
11/22/19 7:31:00 PM,C,25
11/22/19 8:01:00 PM,C,25
11/22/19 8:31:00 PM,C,25
11/22/19 9:01:00 PM,C,24.5
11/22/19 9:31:00 PM,C,24.5
11/22/19 10:01:00 PM,C,24.5
11/22/19 10:31:00 PM,C,24.5
11/22/19 11:01:00 PM,C,23.5
11/22/19 11:31:00 PM,C,23.5
11/23/19 12:01:00 AM,C,23.5
11/23/19 12:31:00 AM,C,23.5
11/23/19 1:01:00 AM,C,24
11/23/19 1:31:00 AM,C,23.5
11/23/19 2:01:00 AM,C,22.5
11/23/19 2:31:00 AM,C,23
11/23/19 3:01:00 AM,C,23
11/23/19 3:31:00 AM,C,22.5
11/23/19 4:01:00 AM,C,22.5
11/23/19 4:31:00 AM,C,22
11/23/19 5:01:00 AM,C,23
11/23/19 5:31:00 AM,C,23
11/23/19 6:01:00 AM,C,23
11/23/19 6:31:00 AM,C,22.5
11/23/19 7:01:00 AM,C,22.5
11/23/19 7:31:00 AM,C,23.5
11/23/19 8:01:00 AM,C,37.5
11/23/19 8:31:00 AM,C,40
11/23/19 9:01:00 AM,C,40
11/23/19 9:31:00 AM,C,38.5
11/23/19 10:01:00 AM,C,34.5
11/23/19 10:31:00 AM,C,37
11/23/19 11:01:00 AM,C,31.5
11/23/19 11:31:00 AM,C,33
11/23/19 12:01:00 PM,C,33
11/23/19 12:31:00 PM,C,33.5
11/23/19 1:01:00 PM,C,31.5
11/23/19 1:31:00 PM,C,32
11/23/19 2:01:00 PM,C,32
11/23/19 2:31:00 PM,C,32
11/23/19 3:01:00 PM,C,31.5
11/23/19 3:31:00 PM,C,29
11/23/19 4:01:00 PM,C,30
11/23/19 4:31:00 PM,C,29
11/23/19 5:01:00 PM,C,28.5
11/23/19 5:31:00 PM,C,26
11/23/19 6:01:00 PM,C,25.5
11/23/19 6:31:00 PM,C,25
11/23/19 7:01:00 PM,C,25
11/23/19 7:31:00 PM,C,24
11/23/19 8:01:00 PM,C,24
11/23/19 8:31:00 PM,C,24
11/23/19 9:01:00 PM,C,24
11/23/19 9:31:00 PM,C,24
11/23/19 10:01:00 PM,C,24.5
11/23/19 10:31:00 PM,C,23.5
11/23/19 11:01:00 PM,C,23.5
11/23/19 11:31:00 PM,C,23.5
11/24/19 12:01:00 AM,C,23.5
11/24/19 12:31:00 AM,C,23
11/24/19 1:01:00 AM,C,23.5
11/24/19 1:31:00 AM,C,23.5
11/24/19 2:01:00 AM,C,23
11/24/19 2:31:00 AM,C,22.5
11/24/19 3:01:00 AM,C,22
11/24/19 3:31:00 AM,C,22
11/24/19 4:01:00 AM,C,22
11/24/19 4:31:00 AM,C,22
11/24/19 5:01:00 AM,C,22
11/24/19 5:31:00 AM,C,22
11/24/19 6:01:00 AM,C,23
11/24/19 6:31:00 AM,C,22
11/24/19 7:01:00 AM,C,22
11/24/19 7:31:00 AM,C,23
11/24/19 8:01:00 AM,C,39.5
11/24/19 8:31:00 AM,C,44
11/24/19 9:01:00 AM,C,45
11/24/19 9:31:00 AM,C,43.5
11/24/19 10:01:00 AM,C,40
11/24/19 10:31:00 AM,C,39.5
11/24/19 11:01:00 AM,C,37
11/24/19 11:31:00 AM,C,35
11/24/19 12:01:00 PM,C,34
11/24/19 12:31:00 PM,C,33
11/24/19 1:01:00 PM,C,32
11/24/19 1:31:00 PM,C,32.5
11/24/19 2:01:00 PM,C,32
11/24/19 2:31:00 PM,C,32
11/24/19 3:01:00 PM,C,32
11/24/19 3:31:00 PM,C,31.5
11/24/19 4:01:00 PM,C,31
11/24/19 4:31:00 PM,C,31
11/24/19 5:01:00 PM,C,30
11/24/19 5:31:00 PM,C,28.5
11/24/19 6:01:00 PM,C,26.5
11/24/19 6:31:00 PM,C,26
11/24/19 7:01:00 PM,C,25.5
11/24/19 7:31:00 PM,C,26
11/24/19 8:01:00 PM,C,25
11/24/19 8:31:00 PM,C,24.5
11/24/19 9:01:00 PM,C,23.5
11/24/19 9:31:00 PM,C,23.5
11/24/19 10:01:00 PM,C,23.5
11/24/19 10:31:00 PM,C,23.5
11/24/19 11:01:00 PM,C,23
11/24/19 11:31:00 PM,C,23
11/25/19 12:01:00 AM,C,23
11/25/19 12:31:00 AM,C,23
11/25/19 1:01:00 AM,C,23
11/25/19 1:31:00 AM,C,23
11/25/19 2:01:00 AM,C,23
11/25/19 2:31:00 AM,C,22.5
11/25/19 3:01:00 AM,C,22.5
11/25/19 3:31:00 AM,C,22.5
11/25/19 4:01:00 AM,C,22.5
11/25/19 4:31:00 AM,C,23
11/25/19 5:01:00 AM,C,23.5
11/25/19 5:31:00 AM,C,23
11/25/19 6:01:00 AM,C,23
11/25/19 6:31:00 AM,C,23
11/25/19 7:01:00 AM,C,23.5
11/25/19 7:31:00 AM,C,24
11/25/19 8:01:00 AM,C,25
11/25/19 8:31:00 AM,C,41
11/25/19 9:01:00 AM,C,36
11/25/19 9:31:00 AM,C,37.5
11/25/19 10:01:00 AM,C,39
11/25/19 10:31:00 AM,C,41
11/25/19 11:01:00 AM,C,39
11/25/19 11:31:00 AM,C,37.5
11/25/19 12:01:00 PM,C,36
11/25/19 12:31:00 PM,C,35.5
11/25/19 1:01:00 PM,C,35
11/25/19 1:31:00 PM,C,34.5
11/25/19 2:01:00 PM,C,34
11/25/19 2:31:00 PM,C,33
11/25/19 3:01:00 PM,C,32
11/25/19 3:31:00 PM,C,31.5
11/25/19 4:01:00 PM,C,30
11/25/19 4:31:00 PM,C,30.5
11/25/19 5:01:00 PM,C,29.5
11/25/19 5:31:00 PM,C,28.5
11/25/19 6:01:00 PM,C,27.5
11/25/19 6:31:00 PM,C,27.5
11/25/19 7:01:00 PM,C,27
11/25/19 7:31:00 PM,C,27
11/25/19 8:01:00 PM,C,27
11/25/19 8:31:00 PM,C,27
11/25/19 9:01:00 PM,C,26.5
11/25/19 9:31:00 PM,C,26.5
11/25/19 10:01:00 PM,C,26.5
11/25/19 10:31:00 PM,C,26.5
11/25/19 11:01:00 PM,C,26.5
11/25/19 11:31:00 PM,C,25.5
11/26/19 12:01:00 AM,C,25.5
11/26/19 12:31:00 AM,C,25
11/26/19 1:01:00 AM,C,25
11/26/19 1:31:00 AM,C,25
11/26/19 2:01:00 AM,C,25
11/26/19 2:31:00 AM,C,25
11/26/19 3:01:00 AM,C,25.5
11/26/19 3:31:00 AM,C,25
11/26/19 4:01:00 AM,C,25.5
11/26/19 4:31:00 AM,C,25
11/26/19 5:01:00 AM,C,25
11/26/19 5:31:00 AM,C,25.5
11/26/19 6:01:00 AM,C,25.5
11/26/19 6:31:00 AM,C,25.5
11/26/19 7:01:00 AM,C,27
11/26/19 7:31:00 AM,C,29
11/26/19 8:01:00 AM,C,33.5
11/26/19 8:31:00 AM,C,41.5
11/26/19 9:01:00 AM,C,38
11/26/19 9:31:00 AM,C,37
11/26/19 10:01:00 AM,C,38.5
11/26/19 10:31:00 AM,C,36
11/26/19 11:01:00 AM,C,36
11/26/19 11:31:00 AM,C,36.5
11/26/19 12:01:00 PM,C,34.5
11/26/19 12:31:00 PM,C,35
11/26/19 1:01:00 PM,C,33
11/26/19 1:31:00 PM,C,32
11/26/19 2:01:00 PM,C,31.5
11/26/19 2:31:00 PM,C,32.5
11/26/19 3:01:00 PM,C,32.5
11/26/19 3:31:00 PM,C,33
11/26/19 4:01:00 PM,C,31.5
11/26/19 4:31:00 PM,C,29.5
11/26/19 5:01:00 PM,C,28.5
11/26/19 5:31:00 PM,C,28
11/26/19 6:01:00 PM,C,27.5
11/26/19 6:31:00 PM,C,27.5
11/26/19 7:01:00 PM,C,27.5
11/26/19 7:31:00 PM,C,27.5
11/26/19 8:01:00 PM,C,27
11/26/19 8:31:00 PM,C,27
11/26/19 9:01:00 PM,C,26.5
11/26/19 9:31:00 PM,C,26
11/26/19 10:01:00 PM,C,27
11/26/19 10:31:00 PM,C,26.5
11/26/19 11:01:00 PM,C,27
11/26/19 11:31:00 PM,C,26
11/27/19 12:01:00 AM,C,26.5
11/27/19 12:31:00 AM,C,26
11/27/19 1:01:00 AM,C,25.5
11/27/19 1:31:00 AM,C,25.5
11/27/19 2:01:00 AM,C,25.5
11/27/19 2:31:00 AM,C,25.5
11/27/19 3:01:00 AM,C,25.5
11/27/19 3:31:00 AM,C,25.5
11/27/19 4:01:00 AM,C,25
11/27/19 4:31:00 AM,C,25
11/27/19 5:01:00 AM,C,25
11/27/19 5:31:00 AM,C,24.5
11/27/19 6:01:00 AM,C,24.5
11/27/19 6:31:00 AM,C,24.5
11/27/19 7:01:00 AM,C,25
11/27/19 7:31:00 AM,C,25.5
11/27/19 8:01:00 AM,C,33.5
11/27/19 8:31:00 AM,C,41
11/27/19 9:01:00 AM,C,42.5
11/27/19 9:31:00 AM,C,41.5
11/27/19 10:01:00 AM,C,42
11/27/19 10:31:00 AM,C,41
11/27/19 11:01:00 AM,C,40
11/27/19 11:31:00 AM,C,38.5
11/27/19 12:01:00 PM,C,38
11/27/19 12:31:00 PM,C,36
11/27/19 1:01:00 PM,C,35
11/27/19 1:31:00 PM,C,35
11/27/19 2:01:00 PM,C,35
11/27/19 2:31:00 PM,C,34.5
11/27/19 3:01:00 PM,C,33.5
11/27/19 3:31:00 PM,C,33
11/27/19 4:01:00 PM,C,32
11/27/19 4:31:00 PM,C,31
11/27/19 5:01:00 PM,C,30
11/27/19 5:31:00 PM,C,28.5
11/27/19 6:01:00 PM,C,27.5
11/27/19 6:31:00 PM,C,27
11/27/19 7:01:00 PM,C,27
11/27/19 7:31:00 PM,C,26.5
11/27/19 8:01:00 PM,C,26.5
11/27/19 8:31:00 PM,C,26.5
11/27/19 9:01:00 PM,C,26
11/27/19 9:31:00 PM,C,26
11/27/19 10:01:00 PM,C,26
11/27/19 10:31:00 PM,C,25
11/27/19 11:01:00 PM,C,25.5
11/27/19 11:31:00 PM,C,25
11/28/19 12:01:00 AM,C,25
11/28/19 12:31:00 AM,C,25
11/28/19 1:01:00 AM,C,24.5
11/28/19 1:31:00 AM,C,24.5
11/28/19 2:01:00 AM,C,24
11/28/19 2:31:00 AM,C,24
11/28/19 3:01:00 AM,C,23.5
11/28/19 3:31:00 AM,C,23.5
11/28/19 4:01:00 AM,C,24
11/28/19 4:31:00 AM,C,23.5
11/28/19 5:01:00 AM,C,24
11/28/19 5:31:00 AM,C,23.5
11/28/19 6:01:00 AM,C,23.5
11/28/19 6:31:00 AM,C,24
11/28/19 7:01:00 AM,C,24.5
11/28/19 7:31:00 AM,C,25
11/28/19 8:01:00 AM,C,26.5
11/28/19 8:31:00 AM,C,40.5
11/28/19 9:01:00 AM,C,37
11/28/19 9:31:00 AM,C,38
11/28/19 10:01:00 AM,C,41
11/28/19 10:31:00 AM,C,41.5
11/28/19 11:01:00 AM,C,39
11/28/19 11:31:00 AM,C,35
11/28/19 12:01:00 PM,C,34.5
11/28/19 12:31:00 PM,C,34.5
11/28/19 1:01:00 PM,C,34.5
11/28/19 1:31:00 PM,C,35
11/28/19 2:01:00 PM,C,34
