1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9C000000416D0421
Is Mission Active?  true
Mission Start:  Fri Jun 28 07:50:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1685
Total Samples:  5867
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/28/19 7:50:00 AM,C,34
6/28/19 8:20:00 AM,C,36.5
6/28/19 8:50:00 AM,C,40
6/28/19 9:20:00 AM,C,43
6/28/19 9:50:00 AM,C,43.5
6/28/19 10:20:00 AM,C,48
6/28/19 10:50:00 AM,C,50.5
6/28/19 11:20:00 AM,C,47.5
6/28/19 11:50:00 AM,C,46
6/28/19 12:20:00 PM,C,44.5
6/28/19 12:50:00 PM,C,43
6/28/19 1:20:00 PM,C,49.5
6/28/19 1:50:00 PM,C,48.5
6/28/19 2:20:00 PM,C,50
6/28/19 2:50:00 PM,C,44
6/28/19 3:20:00 PM,C,38.5
6/28/19 3:50:00 PM,C,43
6/28/19 4:20:00 PM,C,41
6/28/19 4:50:00 PM,C,38
6/28/19 5:20:00 PM,C,28.5
6/28/19 5:50:00 PM,C,29
6/28/19 6:20:00 PM,C,28
6/28/19 6:50:00 PM,C,27.5
6/28/19 7:20:00 PM,C,27.5
6/28/19 7:50:00 PM,C,27.5
6/28/19 8:20:00 PM,C,27.5
6/28/19 8:50:00 PM,C,27
6/28/19 9:20:00 PM,C,27
6/28/19 9:50:00 PM,C,27
6/28/19 10:20:00 PM,C,27
6/28/19 10:50:00 PM,C,27
6/28/19 11:20:00 PM,C,26.5
6/28/19 11:50:00 PM,C,27
6/29/19 12:20:00 AM,C,26.5
6/29/19 12:50:00 AM,C,26.5
6/29/19 1:20:00 AM,C,26.5
6/29/19 1:50:00 AM,C,26.5
6/29/19 2:20:00 AM,C,26.5
6/29/19 2:50:00 AM,C,26
6/29/19 3:20:00 AM,C,26
6/29/19 3:50:00 AM,C,26
6/29/19 4:20:00 AM,C,26
6/29/19 4:50:00 AM,C,26
6/29/19 5:20:00 AM,C,26
6/29/19 5:50:00 AM,C,26.5
6/29/19 6:20:00 AM,C,27.5
6/29/19 6:50:00 AM,C,27
6/29/19 7:20:00 AM,C,31
6/29/19 7:50:00 AM,C,32
6/29/19 8:20:00 AM,C,36
6/29/19 8:50:00 AM,C,39
6/29/19 9:20:00 AM,C,41
6/29/19 9:50:00 AM,C,42
6/29/19 10:20:00 AM,C,43.5
6/29/19 10:50:00 AM,C,48.5
6/29/19 11:20:00 AM,C,43
6/29/19 11:50:00 AM,C,43
6/29/19 12:20:00 PM,C,47.5
6/29/19 12:50:00 PM,C,49
6/29/19 1:20:00 PM,C,48.5
6/29/19 1:50:00 PM,C,47.5
