1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 1A00000041387721
Is Mission Active?  true
Mission Start:  Fri Jun 28 09:21:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1680
Total Samples:  5749
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/28/19 9:21:00 AM,C,36.5
6/28/19 9:51:00 AM,C,41
6/28/19 10:21:00 AM,C,44.5
6/28/19 10:51:00 AM,C,45
6/28/19 11:21:00 AM,C,45.5
6/28/19 11:51:00 AM,C,45
6/28/19 12:21:00 PM,C,40.5
6/28/19 12:51:00 PM,C,38.5
6/28/19 1:21:00 PM,C,48.5
6/28/19 1:51:00 PM,C,46
6/28/19 2:21:00 PM,C,45
6/28/19 2:51:00 PM,C,41.5
6/28/19 3:21:00 PM,C,41
6/28/19 3:51:00 PM,C,41.5
6/28/19 4:21:00 PM,C,37
6/28/19 4:51:00 PM,C,38.5
6/28/19 5:21:00 PM,C,28
6/28/19 5:51:00 PM,C,28
6/28/19 6:21:00 PM,C,27.5
6/28/19 6:51:00 PM,C,27
6/28/19 7:21:00 PM,C,27
6/28/19 7:51:00 PM,C,27
6/28/19 8:21:00 PM,C,26.5
6/28/19 8:51:00 PM,C,26.5
6/28/19 9:21:00 PM,C,26.5
6/28/19 9:51:00 PM,C,26
6/28/19 10:21:00 PM,C,26.5
6/28/19 10:51:00 PM,C,26.5
6/28/19 11:21:00 PM,C,26
6/28/19 11:51:00 PM,C,26.5
6/29/19 12:21:00 AM,C,26
6/29/19 12:51:00 AM,C,26
6/29/19 1:21:00 AM,C,26
6/29/19 1:51:00 AM,C,26
6/29/19 2:21:00 AM,C,26.5
6/29/19 2:51:00 AM,C,26
6/29/19 3:21:00 AM,C,26
6/29/19 3:51:00 AM,C,26
6/29/19 4:21:00 AM,C,26
6/29/19 4:51:00 AM,C,26
6/29/19 5:21:00 AM,C,26
6/29/19 5:51:00 AM,C,26.5
6/29/19 6:21:00 AM,C,27.5
6/29/19 6:51:00 AM,C,27.5
6/29/19 7:21:00 AM,C,29.5
6/29/19 7:51:00 AM,C,30.5
6/29/19 8:21:00 AM,C,33.5
6/29/19 8:51:00 AM,C,36
6/29/19 9:21:00 AM,C,38.5
