1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 54000000416CA721
Is Mission Active?  true
Mission Start:  Fri Jun 28 09:27:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1680
Total Samples:  5749
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/28/19 9:27:00 AM,C,37.5
6/28/19 9:57:00 AM,C,41
6/28/19 10:27:00 AM,C,40
6/28/19 10:57:00 AM,C,37
6/28/19 11:27:00 AM,C,36
6/28/19 11:57:00 AM,C,37
6/28/19 12:27:00 PM,C,33
6/28/19 12:57:00 PM,C,33.5
6/28/19 1:27:00 PM,C,33.5
6/28/19 1:57:00 PM,C,34
6/28/19 2:27:00 PM,C,31.5
6/28/19 2:57:00 PM,C,31.5
6/28/19 3:27:00 PM,C,30.5
6/28/19 3:57:00 PM,C,31
6/28/19 4:27:00 PM,C,30.5
6/28/19 4:57:00 PM,C,27
6/28/19 5:27:00 PM,C,28
6/28/19 5:57:00 PM,C,27.5
6/28/19 6:27:00 PM,C,27.5
6/28/19 6:57:00 PM,C,27.5
6/28/19 7:27:00 PM,C,27.5
6/28/19 7:57:00 PM,C,27.5
6/28/19 8:27:00 PM,C,27.5
6/28/19 8:57:00 PM,C,27
6/28/19 9:27:00 PM,C,27
6/28/19 9:57:00 PM,C,27
6/28/19 10:27:00 PM,C,27
6/28/19 10:57:00 PM,C,27
6/28/19 11:27:00 PM,C,27
6/28/19 11:57:00 PM,C,27
6/29/19 12:27:00 AM,C,27
6/29/19 12:57:00 AM,C,27
6/29/19 1:27:00 AM,C,26.5
6/29/19 1:57:00 AM,C,27
6/29/19 2:27:00 AM,C,27
6/29/19 2:57:00 AM,C,26.5
6/29/19 3:27:00 AM,C,26.5
6/29/19 3:57:00 AM,C,26.5
6/29/19 4:27:00 AM,C,26.5
6/29/19 4:57:00 AM,C,26.5
6/29/19 5:27:00 AM,C,27
6/29/19 5:57:00 AM,C,27
6/29/19 6:27:00 AM,C,27.5
6/29/19 6:57:00 AM,C,31.5
6/29/19 7:27:00 AM,C,35
6/29/19 7:57:00 AM,C,37
6/29/19 8:27:00 AM,C,36
6/29/19 8:57:00 AM,C,37
6/29/19 9:27:00 AM,C,39.5
6/29/19 9:57:00 AM,C,44
6/29/19 10:27:00 AM,C,39.5
6/29/19 10:57:00 AM,C,35.5
6/29/19 11:27:00 AM,C,37.5
6/29/19 11:57:00 AM,C,37
6/29/19 12:27:00 PM,C,36.5
6/29/19 12:57:00 PM,C,35.5
6/29/19 1:27:00 PM,C,36
6/29/19 1:57:00 PM,C,36.5
6/29/19 2:27:00 PM,C,33.5
6/29/19 2:57:00 PM,C,33.5
6/29/19 3:27:00 PM,C,33.5
6/29/19 3:57:00 PM,C,33.5
6/29/19 4:27:00 PM,C,33
6/29/19 4:57:00 PM,C,32.5
6/29/19 5:27:00 PM,C,32
6/29/19 5:57:00 PM,C,29.5
6/29/19 6:27:00 PM,C,29.5
6/29/19 6:57:00 PM,C,29
6/29/19 7:27:00 PM,C,28.5
6/29/19 7:57:00 PM,C,28
6/29/19 8:27:00 PM,C,28
6/29/19 8:57:00 PM,C,28
6/29/19 9:27:00 PM,C,27.5
6/29/19 9:57:00 PM,C,27.5
6/29/19 10:27:00 PM,C,27.5
6/29/19 10:57:00 PM,C,27.5
6/29/19 11:27:00 PM,C,27.5
6/29/19 11:57:00 PM,C,27.5
6/30/19 12:27:00 AM,C,27
6/30/19 12:57:00 AM,C,27
6/30/19 1:27:00 AM,C,27
6/30/19 1:57:00 AM,C,27
6/30/19 2:27:00 AM,C,26.5
6/30/19 2:57:00 AM,C,26
6/30/19 3:27:00 AM,C,26
6/30/19 3:57:00 AM,C,26
6/30/19 4:27:00 AM,C,26
6/30/19 4:57:00 AM,C,26
6/30/19 5:27:00 AM,C,26
6/30/19 5:57:00 AM,C,27
6/30/19 6:27:00 AM,C,27.5
6/30/19 6:57:00 AM,C,30
6/30/19 7:27:00 AM,C,32.5
6/30/19 7:57:00 AM,C,32.5
6/30/19 8:27:00 AM,C,36.5
6/30/19 8:57:00 AM,C,37.5
6/30/19 9:27:00 AM,C,42
6/30/19 9:57:00 AM,C,38.5
6/30/19 10:27:00 AM,C,38.5
6/30/19 10:57:00 AM,C,40
6/30/19 11:27:00 AM,C,40
6/30/19 11:57:00 AM,C,39
6/30/19 12:27:00 PM,C,36
6/30/19 12:57:00 PM,C,36.5
6/30/19 1:27:00 PM,C,34.5
6/30/19 1:57:00 PM,C,34
6/30/19 2:27:00 PM,C,34
6/30/19 2:57:00 PM,C,32.5
6/30/19 3:27:00 PM,C,33
6/30/19 3:57:00 PM,C,33.5
6/30/19 4:27:00 PM,C,33
6/30/19 4:57:00 PM,C,31.5
6/30/19 5:27:00 PM,C,30.5
6/30/19 5:57:00 PM,C,30
6/30/19 6:27:00 PM,C,29
6/30/19 6:57:00 PM,C,28.5
6/30/19 7:27:00 PM,C,28
6/30/19 7:57:00 PM,C,28
6/30/19 8:27:00 PM,C,27.5
6/30/19 8:57:00 PM,C,27.5
6/30/19 9:27:00 PM,C,27.5
6/30/19 9:57:00 PM,C,27
6/30/19 10:27:00 PM,C,27
6/30/19 10:57:00 PM,C,27
6/30/19 11:27:00 PM,C,26.5
6/30/19 11:57:00 PM,C,26.5
7/1/19 12:27:00 AM,C,27
7/1/19 12:57:00 AM,C,26.5
7/1/19 1:27:00 AM,C,26.5
7/1/19 1:57:00 AM,C,26.5
7/1/19 2:27:00 AM,C,26.5
7/1/19 2:57:00 AM,C,26.5
7/1/19 3:27:00 AM,C,26.5
7/1/19 3:57:00 AM,C,26.5
7/1/19 4:27:00 AM,C,26.5
7/1/19 4:57:00 AM,C,26.5
7/1/19 5:27:00 AM,C,26.5
7/1/19 5:57:00 AM,C,26.5
7/1/19 6:27:00 AM,C,27
7/1/19 6:57:00 AM,C,32
7/1/19 7:27:00 AM,C,37
7/1/19 7:57:00 AM,C,43
7/1/19 8:27:00 AM,C,45
7/1/19 8:57:00 AM,C,44
7/1/19 9:27:00 AM,C,44
7/1/19 9:57:00 AM,C,44.5
7/1/19 10:27:00 AM,C,45
7/1/19 10:57:00 AM,C,40.5
7/1/19 11:27:00 AM,C,40
7/1/19 11:57:00 AM,C,39
7/1/19 12:27:00 PM,C,38
7/1/19 12:57:00 PM,C,38
7/1/19 1:27:00 PM,C,36
7/1/19 1:57:00 PM,C,34.5
7/1/19 2:27:00 PM,C,34
7/1/19 2:57:00 PM,C,34
7/1/19 3:27:00 PM,C,33
7/1/19 3:57:00 PM,C,34
