1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F800000041AE4821
Is Mission Active?  true
Mission Start:  Fri May 31 08:56:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1344
Total Samples:  4067
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/31/19 8:56:00 AM,C,32.5
5/31/19 9:26:00 AM,C,34
5/31/19 9:56:00 AM,C,34
5/31/19 10:26:00 AM,C,33.5
5/31/19 10:56:00 AM,C,34
5/31/19 11:26:00 AM,C,35
5/31/19 11:56:00 AM,C,36
5/31/19 12:26:00 PM,C,35.5
5/31/19 12:56:00 PM,C,32
5/31/19 1:26:00 PM,C,31
5/31/19 1:56:00 PM,C,30
5/31/19 2:26:00 PM,C,32.5
5/31/19 2:56:00 PM,C,30.5
5/31/19 3:26:00 PM,C,25.5
5/31/19 3:56:00 PM,C,27.5
5/31/19 4:26:00 PM,C,28
5/31/19 4:56:00 PM,C,27.5
5/31/19 5:26:00 PM,C,27.5
5/31/19 5:56:00 PM,C,27.5
5/31/19 6:26:00 PM,C,26.5
5/31/19 6:56:00 PM,C,26
5/31/19 7:26:00 PM,C,26
5/31/19 7:56:00 PM,C,26
5/31/19 8:26:00 PM,C,25.5
5/31/19 8:56:00 PM,C,25.5
5/31/19 9:26:00 PM,C,25.5
5/31/19 9:56:00 PM,C,25.5
5/31/19 10:26:00 PM,C,26
5/31/19 10:56:00 PM,C,24.5
5/31/19 11:26:00 PM,C,25.5
5/31/19 11:56:00 PM,C,25
6/1/19 12:26:00 AM,C,25
6/1/19 12:56:00 AM,C,25
6/1/19 1:26:00 AM,C,25
6/1/19 1:56:00 AM,C,25
6/1/19 2:26:00 AM,C,25
6/1/19 2:56:00 AM,C,25
6/1/19 3:26:00 AM,C,25
6/1/19 3:56:00 AM,C,25
6/1/19 4:26:00 AM,C,25
6/1/19 4:56:00 AM,C,25
6/1/19 5:26:00 AM,C,25
6/1/19 5:56:00 AM,C,25
6/1/19 6:26:00 AM,C,28
6/1/19 6:56:00 AM,C,31
6/1/19 7:26:00 AM,C,33.5
6/1/19 7:56:00 AM,C,34.5
6/1/19 8:26:00 AM,C,35.5
6/1/19 8:56:00 AM,C,37
6/1/19 9:26:00 AM,C,36.5
6/1/19 9:56:00 AM,C,37.5
6/1/19 10:26:00 AM,C,39
6/1/19 10:56:00 AM,C,38.5
6/1/19 11:26:00 AM,C,30.5
6/1/19 11:56:00 AM,C,25
6/1/19 12:26:00 PM,C,32.5
6/1/19 12:56:00 PM,C,31.5
6/1/19 1:26:00 PM,C,33.5
6/1/19 1:56:00 PM,C,33
6/1/19 2:26:00 PM,C,32.5
6/1/19 2:56:00 PM,C,32
6/1/19 3:26:00 PM,C,31
6/1/19 3:56:00 PM,C,30.5
6/1/19 4:26:00 PM,C,29
6/1/19 4:56:00 PM,C,29.5
6/1/19 5:26:00 PM,C,29
6/1/19 5:56:00 PM,C,28
6/1/19 6:26:00 PM,C,27
6/1/19 6:56:00 PM,C,26.5
6/1/19 7:26:00 PM,C,26.5
6/1/19 7:56:00 PM,C,26
6/1/19 8:26:00 PM,C,26
6/1/19 8:56:00 PM,C,26
6/1/19 9:26:00 PM,C,26
6/1/19 9:56:00 PM,C,26
6/1/19 10:26:00 PM,C,26
6/1/19 10:56:00 PM,C,26
6/1/19 11:26:00 PM,C,26
6/1/19 11:56:00 PM,C,23
6/2/19 12:26:00 AM,C,23.5
6/2/19 12:56:00 AM,C,23
6/2/19 1:26:00 AM,C,23.5
6/2/19 1:56:00 AM,C,24
6/2/19 2:26:00 AM,C,24
6/2/19 2:56:00 AM,C,24
6/2/19 3:26:00 AM,C,24
6/2/19 3:56:00 AM,C,24
6/2/19 4:26:00 AM,C,24
6/2/19 4:56:00 AM,C,24
6/2/19 5:26:00 AM,C,24.5
6/2/19 5:56:00 AM,C,24.5
6/2/19 6:26:00 AM,C,27.5
6/2/19 6:56:00 AM,C,31.5
6/2/19 7:26:00 AM,C,28
6/2/19 7:56:00 AM,C,35
6/2/19 8:26:00 AM,C,36
6/2/19 8:56:00 AM,C,26.5
6/2/19 9:26:00 AM,C,27.5
6/2/19 9:56:00 AM,C,29
6/2/19 10:26:00 AM,C,28.5
6/2/19 10:56:00 AM,C,33.5
6/2/19 11:26:00 AM,C,36.5
6/2/19 11:56:00 AM,C,26
6/2/19 12:26:00 PM,C,27
6/2/19 12:56:00 PM,C,25.5
6/2/19 1:26:00 PM,C,26
6/2/19 1:56:00 PM,C,27.5
6/2/19 2:26:00 PM,C,29
6/2/19 2:56:00 PM,C,28.5
6/2/19 3:26:00 PM,C,30
6/2/19 3:56:00 PM,C,28.5
6/2/19 4:26:00 PM,C,28.5
6/2/19 4:56:00 PM,C,28.5
6/2/19 5:26:00 PM,C,27.5
6/2/19 5:56:00 PM,C,27
6/2/19 6:26:00 PM,C,27
6/2/19 6:56:00 PM,C,26.5
6/2/19 7:26:00 PM,C,26.5
6/2/19 7:56:00 PM,C,26.5
6/2/19 8:26:00 PM,C,26
6/2/19 8:56:00 PM,C,26
6/2/19 9:26:00 PM,C,26
6/2/19 9:56:00 PM,C,25.5
6/2/19 10:26:00 PM,C,24.5
6/2/19 10:56:00 PM,C,24.5
6/2/19 11:26:00 PM,C,24
6/2/19 11:56:00 PM,C,24
6/3/19 12:26:00 AM,C,24
6/3/19 12:56:00 AM,C,24
6/3/19 1:26:00 AM,C,23.5
6/3/19 1:56:00 AM,C,23.5
6/3/19 2:26:00 AM,C,23.5
6/3/19 2:56:00 AM,C,23
6/3/19 3:26:00 AM,C,23
6/3/19 3:56:00 AM,C,23
6/3/19 4:26:00 AM,C,23
6/3/19 4:56:00 AM,C,23
6/3/19 5:26:00 AM,C,22.5
6/3/19 5:56:00 AM,C,22.5
6/3/19 6:26:00 AM,C,27.5
6/3/19 6:56:00 AM,C,36
6/3/19 7:26:00 AM,C,38.5
6/3/19 7:56:00 AM,C,40.5
6/3/19 8:26:00 AM,C,38.5
6/3/19 8:56:00 AM,C,42
6/3/19 9:26:00 AM,C,44.5
6/3/19 9:56:00 AM,C,32.5
6/3/19 10:26:00 AM,C,40.5
6/3/19 10:56:00 AM,C,40.5
6/3/19 11:26:00 AM,C,41
6/3/19 11:56:00 AM,C,46
6/3/19 12:26:00 PM,C,43.5
6/3/19 12:56:00 PM,C,43.5
6/3/19 1:26:00 PM,C,40.5
6/3/19 1:56:00 PM,C,41
6/3/19 2:26:00 PM,C,38.5
6/3/19 2:56:00 PM,C,37
6/3/19 3:26:00 PM,C,34
6/3/19 3:56:00 PM,C,32
6/3/19 4:26:00 PM,C,32
6/3/19 4:56:00 PM,C,31.5
6/3/19 5:26:00 PM,C,31
6/3/19 5:56:00 PM,C,30
6/3/19 6:26:00 PM,C,29
6/3/19 6:56:00 PM,C,28.5
6/3/19 7:26:00 PM,C,28
6/3/19 7:56:00 PM,C,28
6/3/19 8:26:00 PM,C,28
6/3/19 8:56:00 PM,C,27.5
6/3/19 9:26:00 PM,C,27.5
6/3/19 9:56:00 PM,C,27
6/3/19 10:26:00 PM,C,26.5
6/3/19 10:56:00 PM,C,26.5
6/3/19 11:26:00 PM,C,26.5
6/3/19 11:56:00 PM,C,26
6/4/19 12:26:00 AM,C,26
6/4/19 12:56:00 AM,C,25.5
6/4/19 1:26:00 AM,C,26
6/4/19 1:56:00 AM,C,25.5
6/4/19 2:26:00 AM,C,25
6/4/19 2:56:00 AM,C,25
6/4/19 3:26:00 AM,C,24.5
6/4/19 3:56:00 AM,C,24.5
6/4/19 4:26:00 AM,C,24.5
6/4/19 4:56:00 AM,C,24
6/4/19 5:26:00 AM,C,24
6/4/19 5:56:00 AM,C,24
6/4/19 6:26:00 AM,C,29.5
6/4/19 6:56:00 AM,C,30
6/4/19 7:26:00 AM,C,40
6/4/19 7:56:00 AM,C,43
6/4/19 8:26:00 AM,C,42.5
6/4/19 8:56:00 AM,C,42.5
6/4/19 9:26:00 AM,C,40
6/4/19 9:56:00 AM,C,49
6/4/19 10:26:00 AM,C,47
6/4/19 10:56:00 AM,C,47
6/4/19 11:26:00 AM,C,45
6/4/19 11:56:00 AM,C,46
6/4/19 12:26:00 PM,C,45
6/4/19 12:56:00 PM,C,44
6/4/19 1:26:00 PM,C,41
6/4/19 1:56:00 PM,C,42
6/4/19 2:26:00 PM,C,35.5
6/4/19 2:56:00 PM,C,34.5
6/4/19 3:26:00 PM,C,33.5
6/4/19 3:56:00 PM,C,32.5
6/4/19 4:26:00 PM,C,32.5
6/4/19 4:56:00 PM,C,31
6/4/19 5:26:00 PM,C,32.5
6/4/19 5:56:00 PM,C,30.5
6/4/19 6:26:00 PM,C,29.5
6/4/19 6:56:00 PM,C,29
6/4/19 7:26:00 PM,C,24.5
6/4/19 7:56:00 PM,C,24.5
6/4/19 8:26:00 PM,C,25.5
6/4/19 8:56:00 PM,C,26
6/4/19 9:26:00 PM,C,26.5
6/4/19 9:56:00 PM,C,26.5
6/4/19 10:26:00 PM,C,26.5
6/4/19 10:56:00 PM,C,26.5
6/4/19 11:26:00 PM,C,26.5
6/4/19 11:56:00 PM,C,26.5
6/5/19 12:26:00 AM,C,26.5
6/5/19 12:56:00 AM,C,26.5
6/5/19 1:26:00 AM,C,26.5
6/5/19 1:56:00 AM,C,26.5
6/5/19 2:26:00 AM,C,26.5
6/5/19 2:56:00 AM,C,26
6/5/19 3:26:00 AM,C,26
6/5/19 3:56:00 AM,C,26
6/5/19 4:26:00 AM,C,25.5
6/5/19 4:56:00 AM,C,25.5
6/5/19 5:26:00 AM,C,24
6/5/19 5:56:00 AM,C,24.5
6/5/19 6:26:00 AM,C,25.5
6/5/19 6:56:00 AM,C,27
6/5/19 7:26:00 AM,C,29
6/5/19 7:56:00 AM,C,31
6/5/19 8:26:00 AM,C,39
6/5/19 8:56:00 AM,C,38
6/5/19 9:26:00 AM,C,42
6/5/19 9:56:00 AM,C,42
6/5/19 10:26:00 AM,C,41
6/5/19 10:56:00 AM,C,42
6/5/19 11:26:00 AM,C,40
6/5/19 11:56:00 AM,C,44.5
6/5/19 12:26:00 PM,C,42.5
6/5/19 12:56:00 PM,C,43
6/5/19 1:26:00 PM,C,40
6/5/19 1:56:00 PM,C,41
6/5/19 2:26:00 PM,C,36
6/5/19 2:56:00 PM,C,35
6/5/19 3:26:00 PM,C,33
6/5/19 3:56:00 PM,C,32.5
6/5/19 4:26:00 PM,C,33
6/5/19 4:56:00 PM,C,32.5
6/5/19 5:26:00 PM,C,28.5
6/5/19 5:56:00 PM,C,29
6/5/19 6:26:00 PM,C,29
6/5/19 6:56:00 PM,C,29
6/5/19 7:26:00 PM,C,28
6/5/19 7:56:00 PM,C,28
6/5/19 8:26:00 PM,C,28
6/5/19 8:56:00 PM,C,27.5
6/5/19 9:26:00 PM,C,27.5
6/5/19 9:56:00 PM,C,27.5
6/5/19 10:26:00 PM,C,27
6/5/19 10:56:00 PM,C,27
