1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0900000041421721
Is Mission Active?  true
Mission Start:  Fri May 31 08:41:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1344
Total Samples:  4079
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/31/19 8:41:00 AM,C,32
5/31/19 9:11:00 AM,C,37
5/31/19 9:41:00 AM,C,44
5/31/19 10:11:00 AM,C,39.5
5/31/19 10:41:00 AM,C,42.5
5/31/19 11:11:00 AM,C,41.5
5/31/19 11:41:00 AM,C,43.5
5/31/19 12:11:00 PM,C,53
5/31/19 12:41:00 PM,C,48.5
5/31/19 1:11:00 PM,C,29
5/31/19 1:41:00 PM,C,48.5
5/31/19 2:11:00 PM,C,51
5/31/19 2:41:00 PM,C,42.5
5/31/19 3:11:00 PM,C,33
5/31/19 3:41:00 PM,C,28.5
5/31/19 4:11:00 PM,C,32.5
5/31/19 4:41:00 PM,C,33
5/31/19 5:11:00 PM,C,29.5
5/31/19 5:41:00 PM,C,28.5
5/31/19 6:11:00 PM,C,28
5/31/19 6:41:00 PM,C,26
5/31/19 7:11:00 PM,C,24
5/31/19 7:41:00 PM,C,24
5/31/19 8:11:00 PM,C,23.5
5/31/19 8:41:00 PM,C,23.5
5/31/19 9:11:00 PM,C,23.5
5/31/19 9:41:00 PM,C,23.5
5/31/19 10:11:00 PM,C,24
5/31/19 10:41:00 PM,C,24
5/31/19 11:11:00 PM,C,23
5/31/19 11:41:00 PM,C,24
6/1/19 12:11:00 AM,C,23.5
6/1/19 12:41:00 AM,C,24
6/1/19 1:11:00 AM,C,23
6/1/19 1:41:00 AM,C,23
6/1/19 2:11:00 AM,C,22.5
6/1/19 2:41:00 AM,C,23
6/1/19 3:11:00 AM,C,23
6/1/19 3:41:00 AM,C,23
6/1/19 4:11:00 AM,C,23
6/1/19 4:41:00 AM,C,23.5
6/1/19 5:11:00 AM,C,23.5
6/1/19 5:41:00 AM,C,23
6/1/19 6:11:00 AM,C,23.5
6/1/19 6:41:00 AM,C,25.5
6/1/19 7:11:00 AM,C,29
6/1/19 7:41:00 AM,C,33
6/1/19 8:11:00 AM,C,36.5
6/1/19 8:41:00 AM,C,39.5
6/1/19 9:11:00 AM,C,45.5
6/1/19 9:41:00 AM,C,47
