1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9C000000416D0421
Is Mission Active?  true
Mission Start:  Thu May 02 07:58:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1392
Total Samples:  2837
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/2/19 7:58:00 AM,C,29
5/2/19 8:28:00 AM,C,27.5
5/2/19 8:58:00 AM,C,30.5
5/2/19 9:28:00 AM,C,31.5
5/2/19 9:58:00 AM,C,33
5/2/19 10:28:00 AM,C,33
5/2/19 10:58:00 AM,C,36
5/2/19 11:28:00 AM,C,35.5
5/2/19 11:58:00 AM,C,43.5
5/2/19 12:28:00 PM,C,48
5/2/19 12:58:00 PM,C,48
5/2/19 1:28:00 PM,C,47
5/2/19 1:58:00 PM,C,46.5
5/2/19 2:28:00 PM,C,46.5
5/2/19 2:58:00 PM,C,43
5/2/19 3:28:00 PM,C,41.5
5/2/19 3:58:00 PM,C,38
5/2/19 4:28:00 PM,C,37
5/2/19 4:58:00 PM,C,36
5/2/19 5:28:00 PM,C,33.5
5/2/19 5:58:00 PM,C,29.5
5/2/19 6:28:00 PM,C,27.5
5/2/19 6:58:00 PM,C,26.5
5/2/19 7:28:00 PM,C,26
5/2/19 7:58:00 PM,C,26
5/2/19 8:28:00 PM,C,25.5
5/2/19 8:58:00 PM,C,25.5
5/2/19 9:28:00 PM,C,25.5
5/2/19 9:58:00 PM,C,25
5/2/19 10:28:00 PM,C,25
5/2/19 10:58:00 PM,C,25
5/2/19 11:28:00 PM,C,25
5/2/19 11:58:00 PM,C,25
5/3/19 12:28:00 AM,C,25
5/3/19 12:58:00 AM,C,24.5
5/3/19 1:28:00 AM,C,25
5/3/19 1:58:00 AM,C,24.5
5/3/19 2:28:00 AM,C,24.5
5/3/19 2:58:00 AM,C,24
5/3/19 3:28:00 AM,C,24.5
5/3/19 3:58:00 AM,C,24
5/3/19 4:28:00 AM,C,24.5
5/3/19 4:58:00 AM,C,24
5/3/19 5:28:00 AM,C,24
5/3/19 5:58:00 AM,C,24
5/3/19 6:28:00 AM,C,24.5
5/3/19 6:58:00 AM,C,25.5
5/3/19 7:28:00 AM,C,29.5
5/3/19 7:58:00 AM,C,33
5/3/19 8:28:00 AM,C,35.5
5/3/19 8:58:00 AM,C,32.5
5/3/19 9:28:00 AM,C,38.5
5/3/19 9:58:00 AM,C,41
5/3/19 10:28:00 AM,C,45.5
5/3/19 10:58:00 AM,C,49.5
5/3/19 11:28:00 AM,C,52
5/3/19 11:58:00 AM,C,50
5/3/19 12:28:00 PM,C,46.5
5/3/19 12:58:00 PM,C,46.5
5/3/19 1:28:00 PM,C,47
5/3/19 1:58:00 PM,C,43
5/3/19 2:28:00 PM,C,42.5
5/3/19 2:58:00 PM,C,40
5/3/19 3:28:00 PM,C,43
5/3/19 3:58:00 PM,C,38
5/3/19 4:28:00 PM,C,38
5/3/19 4:58:00 PM,C,35
5/3/19 5:28:00 PM,C,32
5/3/19 5:58:00 PM,C,29.5
5/3/19 6:28:00 PM,C,27.5
5/3/19 6:58:00 PM,C,26.5
5/3/19 7:28:00 PM,C,26
5/3/19 7:58:00 PM,C,25.5
5/3/19 8:28:00 PM,C,26
5/3/19 8:58:00 PM,C,26
5/3/19 9:28:00 PM,C,26
5/3/19 9:58:00 PM,C,25.5
5/3/19 10:28:00 PM,C,25
5/3/19 10:58:00 PM,C,25
5/3/19 11:28:00 PM,C,25
5/3/19 11:58:00 PM,C,25
5/4/19 12:28:00 AM,C,24.5
5/4/19 12:58:00 AM,C,23.5
5/4/19 1:28:00 AM,C,24.5
5/4/19 1:58:00 AM,C,25
5/4/19 2:28:00 AM,C,25
5/4/19 2:58:00 AM,C,25
5/4/19 3:28:00 AM,C,24.5
5/4/19 3:58:00 AM,C,25
5/4/19 4:28:00 AM,C,24.5
5/4/19 4:58:00 AM,C,25
5/4/19 5:28:00 AM,C,24.5
5/4/19 5:58:00 AM,C,24.5
5/4/19 6:28:00 AM,C,25
5/4/19 6:58:00 AM,C,26.5
5/4/19 7:28:00 AM,C,28.5
5/4/19 7:58:00 AM,C,33
5/4/19 8:28:00 AM,C,37.5
5/4/19 8:58:00 AM,C,40.5
5/4/19 9:28:00 AM,C,37
5/4/19 9:58:00 AM,C,44
5/4/19 10:28:00 AM,C,47
5/4/19 10:58:00 AM,C,46.5
5/4/19 11:28:00 AM,C,47.5
5/4/19 11:58:00 AM,C,49.5
5/4/19 12:28:00 PM,C,39.5
5/4/19 12:58:00 PM,C,44
5/4/19 1:28:00 PM,C,38
5/4/19 1:58:00 PM,C,43
