1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: C900000041AC4E21
Is Mission Active?  true
Mission Start:  Fri Aug 30 08:19:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  912
Total Samples:  8015
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/30/19 8:19:00 AM,C,35.5
8/30/19 8:49:00 AM,C,34
8/30/19 9:19:00 AM,C,43.5
8/30/19 9:49:00 AM,C,45
8/30/19 10:19:00 AM,C,48
8/30/19 10:49:00 AM,C,51
8/30/19 11:19:00 AM,C,52.5
8/30/19 11:49:00 AM,C,55.5
8/30/19 12:19:00 PM,C,56.5
8/30/19 12:49:00 PM,C,58
8/30/19 1:19:00 PM,C,59.5
8/30/19 1:49:00 PM,C,60
8/30/19 2:19:00 PM,C,58
8/30/19 2:49:00 PM,C,56
8/30/19 3:19:00 PM,C,54.5
8/30/19 3:49:00 PM,C,52
8/30/19 4:19:00 PM,C,48.5
8/30/19 4:49:00 PM,C,46.5
8/30/19 5:19:00 PM,C,40.5
8/30/19 5:49:00 PM,C,34.5
8/30/19 6:19:00 PM,C,30.5
8/30/19 6:49:00 PM,C,29
8/30/19 7:19:00 PM,C,28.5
8/30/19 7:49:00 PM,C,27.5
8/30/19 8:19:00 PM,C,27
8/30/19 8:49:00 PM,C,27
8/30/19 9:19:00 PM,C,27
8/30/19 9:49:00 PM,C,27
8/30/19 10:19:00 PM,C,26.5
8/30/19 10:49:00 PM,C,26.5
8/30/19 11:19:00 PM,C,26.5
8/30/19 11:49:00 PM,C,26
8/31/19 12:19:00 AM,C,26.5
8/31/19 12:49:00 AM,C,26.5
8/31/19 1:19:00 AM,C,26.5
8/31/19 1:49:00 AM,C,26.5
8/31/19 2:19:00 AM,C,27
8/31/19 2:49:00 AM,C,26.5
8/31/19 3:19:00 AM,C,26.5
8/31/19 3:49:00 AM,C,26
8/31/19 4:19:00 AM,C,25.5
8/31/19 4:49:00 AM,C,25.5
8/31/19 5:19:00 AM,C,25.5
8/31/19 5:49:00 AM,C,25.5
8/31/19 6:19:00 AM,C,25.5
8/31/19 6:49:00 AM,C,26.5
8/31/19 7:19:00 AM,C,28.5
8/31/19 7:49:00 AM,C,31.5
8/31/19 8:19:00 AM,C,35
8/31/19 8:49:00 AM,C,37.5
8/31/19 9:19:00 AM,C,47
8/31/19 9:49:00 AM,C,49
8/31/19 10:19:00 AM,C,47
8/31/19 10:49:00 AM,C,56.5
8/31/19 11:19:00 AM,C,41
8/31/19 11:49:00 AM,C,30
