1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 23000000415A2021
Is Mission Active?  true
Mission Start:  Fri Aug 30 09:23:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  913
Total Samples:  8008
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/30/19 9:23:00 AM,C,37.5
8/30/19 9:53:00 AM,C,41
8/30/19 10:23:00 AM,C,40
8/30/19 10:53:00 AM,C,42
8/30/19 11:23:00 AM,C,37.5
8/30/19 11:53:00 AM,C,35
8/30/19 12:23:00 PM,C,33
8/30/19 12:53:00 PM,C,32
8/30/19 1:23:00 PM,C,32
8/30/19 1:53:00 PM,C,31.5
8/30/19 2:23:00 PM,C,31
8/30/19 2:53:00 PM,C,30.5
8/30/19 3:23:00 PM,C,30.5
8/30/19 3:53:00 PM,C,30
8/30/19 4:23:00 PM,C,30
8/30/19 4:53:00 PM,C,30.5
8/30/19 5:23:00 PM,C,30.5
8/30/19 5:53:00 PM,C,29
8/30/19 6:23:00 PM,C,28.5
8/30/19 6:53:00 PM,C,27.5
8/30/19 7:23:00 PM,C,27.5
8/30/19 7:53:00 PM,C,27.5
8/30/19 8:23:00 PM,C,27
8/30/19 8:53:00 PM,C,27
8/30/19 9:23:00 PM,C,27
8/30/19 9:53:00 PM,C,27
8/30/19 10:23:00 PM,C,27
8/30/19 10:53:00 PM,C,27
8/30/19 11:23:00 PM,C,26.5
8/30/19 11:53:00 PM,C,26.5
8/31/19 12:23:00 AM,C,27
8/31/19 12:53:00 AM,C,27
8/31/19 1:23:00 AM,C,27
8/31/19 1:53:00 AM,C,27
8/31/19 2:23:00 AM,C,27
8/31/19 2:53:00 AM,C,27
8/31/19 3:23:00 AM,C,26.5
8/31/19 3:53:00 AM,C,26.5
8/31/19 4:23:00 AM,C,26.5
8/31/19 4:53:00 AM,C,26
8/31/19 5:23:00 AM,C,26.5
8/31/19 5:53:00 AM,C,26
8/31/19 6:23:00 AM,C,26.5
8/31/19 6:53:00 AM,C,31
8/31/19 7:23:00 AM,C,40.5
8/31/19 7:53:00 AM,C,47.5
8/31/19 8:23:00 AM,C,51
8/31/19 8:53:00 AM,C,54
8/31/19 9:23:00 AM,C,54
8/31/19 9:53:00 AM,C,46
8/31/19 10:23:00 AM,C,41.5
8/31/19 10:53:00 AM,C,40.5
8/31/19 11:23:00 AM,C,34
8/31/19 11:53:00 AM,C,27.5
8/31/19 12:23:00 PM,C,29.5
8/31/19 12:53:00 PM,C,32
8/31/19 1:23:00 PM,C,31
8/31/19 1:53:00 PM,C,31.5
8/31/19 2:23:00 PM,C,32
8/31/19 2:53:00 PM,C,31
8/31/19 3:23:00 PM,C,30.5
8/31/19 3:53:00 PM,C,30.5
8/31/19 4:23:00 PM,C,30
8/31/19 4:53:00 PM,C,30.5
8/31/19 5:23:00 PM,C,29.5
8/31/19 5:53:00 PM,C,28.5
8/31/19 6:23:00 PM,C,28
8/31/19 6:53:00 PM,C,26
8/31/19 7:23:00 PM,C,26
8/31/19 7:53:00 PM,C,26
8/31/19 8:23:00 PM,C,26
8/31/19 8:53:00 PM,C,26
8/31/19 9:23:00 PM,C,26
8/31/19 9:53:00 PM,C,26
8/31/19 10:23:00 PM,C,26
8/31/19 10:53:00 PM,C,26
8/31/19 11:23:00 PM,C,26
8/31/19 11:53:00 PM,C,25.5
9/1/19 12:23:00 AM,C,25
9/1/19 12:53:00 AM,C,25
9/1/19 1:23:00 AM,C,25.5
9/1/19 1:53:00 AM,C,25
9/1/19 2:23:00 AM,C,24.5
9/1/19 2:53:00 AM,C,24.5
9/1/19 3:23:00 AM,C,24.5
9/1/19 3:53:00 AM,C,25
9/1/19 4:23:00 AM,C,25
9/1/19 4:53:00 AM,C,25
9/1/19 5:23:00 AM,C,25
9/1/19 5:53:00 AM,C,24.5
9/1/19 6:23:00 AM,C,25
9/1/19 6:53:00 AM,C,26
9/1/19 7:23:00 AM,C,28.5
9/1/19 7:53:00 AM,C,32.5
9/1/19 8:23:00 AM,C,39
9/1/19 8:53:00 AM,C,41
9/1/19 9:23:00 AM,C,46
9/1/19 9:53:00 AM,C,50
9/1/19 10:23:00 AM,C,34
9/1/19 10:53:00 AM,C,37
9/1/19 11:23:00 AM,C,36.5
9/1/19 11:53:00 AM,C,34.5
9/1/19 12:23:00 PM,C,33.5
9/1/19 12:53:00 PM,C,33
9/1/19 1:23:00 PM,C,32.5
9/1/19 1:53:00 PM,C,31.5
9/1/19 2:23:00 PM,C,31.5
9/1/19 2:53:00 PM,C,32
9/1/19 3:23:00 PM,C,31.5
9/1/19 3:53:00 PM,C,31
9/1/19 4:23:00 PM,C,31.5
9/1/19 4:53:00 PM,C,30.5
9/1/19 5:23:00 PM,C,29.5
9/1/19 5:53:00 PM,C,29
9/1/19 6:23:00 PM,C,28.5
9/1/19 6:53:00 PM,C,28
9/1/19 7:23:00 PM,C,27.5
9/1/19 7:53:00 PM,C,27
9/1/19 8:23:00 PM,C,27.5
9/1/19 8:53:00 PM,C,27
9/1/19 9:23:00 PM,C,26.5
9/1/19 9:53:00 PM,C,27
9/1/19 10:23:00 PM,C,26.5
9/1/19 10:53:00 PM,C,26.5
9/1/19 11:23:00 PM,C,26
9/1/19 11:53:00 PM,C,26
9/2/19 12:23:00 AM,C,26
9/2/19 12:53:00 AM,C,26.5
9/2/19 1:23:00 AM,C,26.5
9/2/19 1:53:00 AM,C,26
9/2/19 2:23:00 AM,C,26
9/2/19 2:53:00 AM,C,26
9/2/19 3:23:00 AM,C,25.5
9/2/19 3:53:00 AM,C,25
9/2/19 4:23:00 AM,C,25
9/2/19 4:53:00 AM,C,25
9/2/19 5:23:00 AM,C,24.5
9/2/19 5:53:00 AM,C,24.5
9/2/19 6:23:00 AM,C,25
9/2/19 6:53:00 AM,C,31.5
9/2/19 7:23:00 AM,C,41
9/2/19 7:53:00 AM,C,47.5
9/2/19 8:23:00 AM,C,42
9/2/19 8:53:00 AM,C,48.5
