1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F200000041302C21
Is Mission Active?  true
Mission Start:  Fri Aug 30 09:00:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  913
Total Samples:  8007
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/30/19 9:00:00 AM,C,32
8/30/19 9:30:00 AM,C,29.5
8/30/19 10:00:00 AM,C,29.5
8/30/19 10:30:00 AM,C,30
8/30/19 11:00:00 AM,C,30.5
8/30/19 11:30:00 AM,C,31
8/30/19 12:00:00 PM,C,31.5
8/30/19 12:30:00 PM,C,31.5
8/30/19 1:00:00 PM,C,32
8/30/19 1:30:00 PM,C,32
8/30/19 2:00:00 PM,C,32.5
8/30/19 2:30:00 PM,C,33
8/30/19 3:00:00 PM,C,33
8/30/19 3:30:00 PM,C,33.5
8/30/19 4:00:00 PM,C,33.5
8/30/19 4:30:00 PM,C,34
8/30/19 5:00:00 PM,C,34
8/30/19 5:30:00 PM,C,34
8/30/19 6:00:00 PM,C,32
8/30/19 6:30:00 PM,C,31
8/30/19 7:00:00 PM,C,30.5
8/30/19 7:30:00 PM,C,29.5
8/30/19 8:00:00 PM,C,29.5
8/30/19 8:30:00 PM,C,29.5
8/30/19 9:00:00 PM,C,29
8/30/19 9:30:00 PM,C,29
8/30/19 10:00:00 PM,C,29
8/30/19 10:30:00 PM,C,28.5
8/30/19 11:00:00 PM,C,28.5
8/30/19 11:30:00 PM,C,28.5
8/31/19 12:00:00 AM,C,28.5
8/31/19 12:30:00 AM,C,28.5
8/31/19 1:00:00 AM,C,28.5
8/31/19 1:30:00 AM,C,28
8/31/19 2:00:00 AM,C,28
8/31/19 2:30:00 AM,C,28
8/31/19 3:00:00 AM,C,28
8/31/19 3:30:00 AM,C,28
8/31/19 4:00:00 AM,C,28
8/31/19 4:30:00 AM,C,28
8/31/19 5:00:00 AM,C,27.5
8/31/19 5:30:00 AM,C,27.5
8/31/19 6:00:00 AM,C,27.5
8/31/19 6:30:00 AM,C,27.5
8/31/19 7:00:00 AM,C,27.5
8/31/19 7:30:00 AM,C,28.5
8/31/19 8:00:00 AM,C,30
8/31/19 8:30:00 AM,C,31
8/31/19 9:00:00 AM,C,31.5
8/31/19 9:30:00 AM,C,31.5
8/31/19 10:00:00 AM,C,32
8/31/19 10:30:00 AM,C,32
8/31/19 11:00:00 AM,C,33
8/31/19 11:30:00 AM,C,31.5
8/31/19 12:00:00 PM,C,28.5
8/31/19 12:30:00 PM,C,31
8/31/19 1:00:00 PM,C,32
8/31/19 1:30:00 PM,C,33
8/31/19 2:00:00 PM,C,33.5
8/31/19 2:30:00 PM,C,34
8/31/19 3:00:00 PM,C,34.5
8/31/19 3:30:00 PM,C,35
8/31/19 4:00:00 PM,C,35
8/31/19 4:30:00 PM,C,35
8/31/19 5:00:00 PM,C,35
8/31/19 5:30:00 PM,C,34.5
8/31/19 6:00:00 PM,C,32.5
8/31/19 6:30:00 PM,C,31.5
8/31/19 7:00:00 PM,C,30
8/31/19 7:30:00 PM,C,30
8/31/19 8:00:00 PM,C,29
8/31/19 8:30:00 PM,C,29
8/31/19 9:00:00 PM,C,29
8/31/19 9:30:00 PM,C,28.5
8/31/19 10:00:00 PM,C,28.5
8/31/19 10:30:00 PM,C,28
8/31/19 11:00:00 PM,C,28
8/31/19 11:30:00 PM,C,28
9/1/19 12:00:00 AM,C,27.5
9/1/19 12:30:00 AM,C,27.5
9/1/19 1:00:00 AM,C,27.5
9/1/19 1:30:00 AM,C,27.5
9/1/19 2:00:00 AM,C,27
9/1/19 2:30:00 AM,C,26.5
9/1/19 3:00:00 AM,C,26.5
9/1/19 3:30:00 AM,C,26.5
9/1/19 4:00:00 AM,C,26.5
9/1/19 4:30:00 AM,C,26.5
9/1/19 5:00:00 AM,C,26.5
9/1/19 5:30:00 AM,C,26.5
9/1/19 6:00:00 AM,C,26.5
9/1/19 6:30:00 AM,C,26.5
9/1/19 7:00:00 AM,C,26.5
9/1/19 7:30:00 AM,C,27
9/1/19 8:00:00 AM,C,28
9/1/19 8:30:00 AM,C,29
9/1/19 9:00:00 AM,C,29.5
9/1/19 9:30:00 AM,C,30.5
9/1/19 10:00:00 AM,C,31
9/1/19 10:30:00 AM,C,31
9/1/19 11:00:00 AM,C,32
9/1/19 11:30:00 AM,C,32.5
9/1/19 12:00:00 PM,C,33
9/1/19 12:30:00 PM,C,33
9/1/19 1:00:00 PM,C,33.5
9/1/19 1:30:00 PM,C,34
9/1/19 2:00:00 PM,C,33.5
9/1/19 2:30:00 PM,C,34.5
9/1/19 3:00:00 PM,C,35
9/1/19 3:30:00 PM,C,35
9/1/19 4:00:00 PM,C,34.5
9/1/19 4:30:00 PM,C,35.5
9/1/19 5:00:00 PM,C,33.5
9/1/19 5:30:00 PM,C,33
9/1/19 6:00:00 PM,C,32
9/1/19 6:30:00 PM,C,31
9/1/19 7:00:00 PM,C,30.5
9/1/19 7:30:00 PM,C,30
9/1/19 8:00:00 PM,C,30
9/1/19 8:30:00 PM,C,29.5
9/1/19 9:00:00 PM,C,29.5
9/1/19 9:30:00 PM,C,29
9/1/19 10:00:00 PM,C,29
9/1/19 10:30:00 PM,C,29
9/1/19 11:00:00 PM,C,28.5
9/1/19 11:30:00 PM,C,28
9/2/19 12:00:00 AM,C,28
9/2/19 12:30:00 AM,C,28.5
9/2/19 1:00:00 AM,C,28
9/2/19 1:30:00 AM,C,28
9/2/19 2:00:00 AM,C,28
9/2/19 2:30:00 AM,C,28
9/2/19 3:00:00 AM,C,27
9/2/19 3:30:00 AM,C,27
9/2/19 4:00:00 AM,C,27
9/2/19 4:30:00 AM,C,27
9/2/19 5:00:00 AM,C,26.5
9/2/19 5:30:00 AM,C,26.5
9/2/19 6:00:00 AM,C,26.5
9/2/19 6:30:00 AM,C,26.5
9/2/19 7:00:00 AM,C,27
9/2/19 7:30:00 AM,C,27.5
9/2/19 8:00:00 AM,C,29
9/2/19 8:30:00 AM,C,29.5
9/2/19 9:00:00 AM,C,31
9/2/19 9:30:00 AM,C,30.5
9/2/19 10:00:00 AM,C,31.5
9/2/19 10:30:00 AM,C,32
9/2/19 11:00:00 AM,C,32
9/2/19 11:30:00 AM,C,32.5
9/2/19 12:00:00 PM,C,32.5
9/2/19 12:30:00 PM,C,33
9/2/19 1:00:00 PM,C,33
9/2/19 1:30:00 PM,C,33.5
9/2/19 2:00:00 PM,C,33.5
9/2/19 2:30:00 PM,C,34
9/2/19 3:00:00 PM,C,34.5
9/2/19 3:30:00 PM,C,35
9/2/19 4:00:00 PM,C,35.5
9/2/19 4:30:00 PM,C,35.5
9/2/19 5:00:00 PM,C,35.5
9/2/19 5:30:00 PM,C,36.5
9/2/19 6:00:00 PM,C,34
9/2/19 6:30:00 PM,C,32.5
9/2/19 7:00:00 PM,C,31.5
9/2/19 7:30:00 PM,C,31
9/2/19 8:00:00 PM,C,30.5
9/2/19 8:30:00 PM,C,30.5
9/2/19 9:00:00 PM,C,30.5
9/2/19 9:30:00 PM,C,30
9/2/19 10:00:00 PM,C,30
9/2/19 10:30:00 PM,C,29.5
9/2/19 11:00:00 PM,C,29.5
9/2/19 11:30:00 PM,C,29
9/3/19 12:00:00 AM,C,29
9/3/19 12:30:00 AM,C,29
9/3/19 1:00:00 AM,C,29
9/3/19 1:30:00 AM,C,29
9/3/19 2:00:00 AM,C,28.5
9/3/19 2:30:00 AM,C,28.5
9/3/19 3:00:00 AM,C,28.5
9/3/19 3:30:00 AM,C,28.5
9/3/19 4:00:00 AM,C,28
9/3/19 4:30:00 AM,C,27.5
9/3/19 5:00:00 AM,C,27.5
9/3/19 5:30:00 AM,C,28
9/3/19 6:00:00 AM,C,28
9/3/19 6:30:00 AM,C,28
9/3/19 7:00:00 AM,C,28.5
9/3/19 7:30:00 AM,C,29
9/3/19 8:00:00 AM,C,30.5
9/3/19 8:30:00 AM,C,31.5
9/3/19 9:00:00 AM,C,32
9/3/19 9:30:00 AM,C,32
9/3/19 10:00:00 AM,C,32
9/3/19 10:30:00 AM,C,32
9/3/19 11:00:00 AM,C,32.5
9/3/19 11:30:00 AM,C,33
9/3/19 12:00:00 PM,C,33.5
9/3/19 12:30:00 PM,C,33
9/3/19 1:00:00 PM,C,32
9/3/19 1:30:00 PM,C,33.5
9/3/19 2:00:00 PM,C,33
9/3/19 2:30:00 PM,C,34.5
9/3/19 3:00:00 PM,C,33.5
9/3/19 3:30:00 PM,C,34.5
9/3/19 4:00:00 PM,C,33.5
9/3/19 4:30:00 PM,C,33.5
9/3/19 5:00:00 PM,C,33
9/3/19 5:30:00 PM,C,33
9/3/19 6:00:00 PM,C,32
9/3/19 6:30:00 PM,C,31.5
9/3/19 7:00:00 PM,C,30.5
9/3/19 7:30:00 PM,C,30
9/3/19 8:00:00 PM,C,30
9/3/19 8:30:00 PM,C,30
9/3/19 9:00:00 PM,C,29.5
9/3/19 9:30:00 PM,C,29.5
9/3/19 10:00:00 PM,C,29.5
9/3/19 10:30:00 PM,C,29.5
9/3/19 11:00:00 PM,C,29
9/3/19 11:30:00 PM,C,29
9/4/19 12:00:00 AM,C,29
9/4/19 12:30:00 AM,C,29
9/4/19 1:00:00 AM,C,29
9/4/19 1:30:00 AM,C,29
9/4/19 2:00:00 AM,C,28.5
9/4/19 2:30:00 AM,C,28.5
9/4/19 3:00:00 AM,C,28.5
9/4/19 3:30:00 AM,C,28.5
9/4/19 4:00:00 AM,C,28.5
9/4/19 4:30:00 AM,C,28.5
9/4/19 5:00:00 AM,C,28
9/4/19 5:30:00 AM,C,28
9/4/19 6:00:00 AM,C,28
9/4/19 6:30:00 AM,C,28
9/4/19 7:00:00 AM,C,28.5
9/4/19 7:30:00 AM,C,29
9/4/19 8:00:00 AM,C,30.5
9/4/19 8:30:00 AM,C,31.5
9/4/19 9:00:00 AM,C,31.5
9/4/19 9:30:00 AM,C,31.5
9/4/19 10:00:00 AM,C,32
9/4/19 10:30:00 AM,C,32.5
9/4/19 11:00:00 AM,C,32.5
9/4/19 11:30:00 AM,C,33
9/4/19 12:00:00 PM,C,33
9/4/19 12:30:00 PM,C,33.5
9/4/19 1:00:00 PM,C,34
9/4/19 1:30:00 PM,C,34
9/4/19 2:00:00 PM,C,34
