1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0900000041421721
Is Mission Active?  true
Mission Start:  Wed Sep 18 08:29:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1010
Total Samples:  9027
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/18/19 8:29:00 AM,C,32.5
9/18/19 8:59:00 AM,C,34.5
9/18/19 9:29:00 AM,C,41.5
9/18/19 9:59:00 AM,C,50.5
9/18/19 10:29:00 AM,C,57
9/18/19 10:59:00 AM,C,63
9/18/19 11:29:00 AM,C,58
9/18/19 11:59:00 AM,C,66.5
9/18/19 12:29:00 PM,C,68.5
9/18/19 12:59:00 PM,C,67
9/18/19 1:29:00 PM,C,67.5
9/18/19 1:59:00 PM,C,67.5
9/18/19 2:29:00 PM,C,63.5
9/18/19 2:59:00 PM,C,52
9/18/19 3:29:00 PM,C,50
9/18/19 3:59:00 PM,C,48.5
9/18/19 4:29:00 PM,C,40
9/18/19 4:59:00 PM,C,35.5
9/18/19 5:29:00 PM,C,33.5
9/18/19 5:59:00 PM,C,31
9/18/19 6:29:00 PM,C,29.5
9/18/19 6:59:00 PM,C,28.5
9/18/19 7:29:00 PM,C,28.5
9/18/19 7:59:00 PM,C,28
9/18/19 8:29:00 PM,C,27.5
9/18/19 8:59:00 PM,C,27.5
9/18/19 9:29:00 PM,C,28
9/18/19 9:59:00 PM,C,27.5
9/18/19 10:29:00 PM,C,27.5
9/18/19 10:59:00 PM,C,27
9/18/19 11:29:00 PM,C,27
9/18/19 11:59:00 PM,C,27
9/19/19 12:29:00 AM,C,26.5
9/19/19 12:59:00 AM,C,26.5
9/19/19 1:29:00 AM,C,26
9/19/19 1:59:00 AM,C,26
9/19/19 2:29:00 AM,C,26
9/19/19 2:59:00 AM,C,26
9/19/19 3:29:00 AM,C,26.5
9/19/19 3:59:00 AM,C,26.5
9/19/19 4:29:00 AM,C,26.5
9/19/19 4:59:00 AM,C,22
9/19/19 5:29:00 AM,C,23.5
9/19/19 5:59:00 AM,C,24
9/19/19 6:29:00 AM,C,25
9/19/19 6:59:00 AM,C,26
9/19/19 7:29:00 AM,C,26.5
9/19/19 7:59:00 AM,C,29
9/19/19 8:29:00 AM,C,29.5
9/19/19 8:59:00 AM,C,32.5
9/19/19 9:29:00 AM,C,38
9/19/19 9:59:00 AM,C,45.5
9/19/19 10:29:00 AM,C,53
9/19/19 10:59:00 AM,C,47
9/19/19 11:29:00 AM,C,64.5
9/19/19 11:59:00 AM,C,48
9/19/19 12:29:00 PM,C,63
9/19/19 12:59:00 PM,C,64.5
