1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 80000000419A0121
Is Mission Active?  true
Mission Start:  Wed Sep 18 08:47:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1010
Total Samples:  9016
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/18/19 8:47:00 AM,C,30.5
9/18/19 9:17:00 AM,C,31.5
9/18/19 9:47:00 AM,C,38
9/18/19 10:17:00 AM,C,43.5
9/18/19 10:47:00 AM,C,46.5
9/18/19 11:17:00 AM,C,48
9/18/19 11:47:00 AM,C,49.5
9/18/19 12:17:00 PM,C,52
9/18/19 12:47:00 PM,C,53
9/18/19 1:17:00 PM,C,51.5
9/18/19 1:47:00 PM,C,52.5
9/18/19 2:17:00 PM,C,53
9/18/19 2:47:00 PM,C,46
9/18/19 3:17:00 PM,C,46
9/18/19 3:47:00 PM,C,41.5
9/18/19 4:17:00 PM,C,38
9/18/19 4:47:00 PM,C,34
9/18/19 5:17:00 PM,C,32.5
9/18/19 5:47:00 PM,C,31.5
9/18/19 6:17:00 PM,C,30
9/18/19 6:47:00 PM,C,29
9/18/19 7:17:00 PM,C,29
9/18/19 7:47:00 PM,C,28.5
9/18/19 8:17:00 PM,C,28.5
9/18/19 8:47:00 PM,C,28
9/18/19 9:17:00 PM,C,28
9/18/19 9:47:00 PM,C,28
9/18/19 10:17:00 PM,C,28
9/18/19 10:47:00 PM,C,28
9/18/19 11:17:00 PM,C,27.5
9/18/19 11:47:00 PM,C,27.5
9/19/19 12:17:00 AM,C,27.5
9/19/19 12:47:00 AM,C,27.5
9/19/19 1:17:00 AM,C,27
9/19/19 1:47:00 AM,C,27
9/19/19 2:17:00 AM,C,27
9/19/19 2:47:00 AM,C,27
9/19/19 3:17:00 AM,C,27
9/19/19 3:47:00 AM,C,27
9/19/19 4:17:00 AM,C,27
9/19/19 4:47:00 AM,C,24.5
9/19/19 5:17:00 AM,C,24
9/19/19 5:47:00 AM,C,24.5
9/19/19 6:17:00 AM,C,24.5
9/19/19 6:47:00 AM,C,25.5
9/19/19 7:17:00 AM,C,26.5
9/19/19 7:47:00 AM,C,28
9/19/19 8:17:00 AM,C,29
9/19/19 8:47:00 AM,C,29.5
9/19/19 9:17:00 AM,C,33
9/19/19 9:47:00 AM,C,37.5
9/19/19 10:17:00 AM,C,43
9/19/19 10:47:00 AM,C,38.5
9/19/19 11:17:00 AM,C,48.5
9/19/19 11:47:00 AM,C,41
9/19/19 12:17:00 PM,C,49.5
9/19/19 12:47:00 PM,C,53.5
9/19/19 1:17:00 PM,C,51
9/19/19 1:47:00 PM,C,47
9/19/19 2:17:00 PM,C,53
9/19/19 2:47:00 PM,C,51.5
9/19/19 3:17:00 PM,C,40.5
9/19/19 3:47:00 PM,C,40.5
9/19/19 4:17:00 PM,C,37.5
9/19/19 4:47:00 PM,C,40
9/19/19 5:17:00 PM,C,35.5
9/19/19 5:47:00 PM,C,31
9/19/19 6:17:00 PM,C,29.5
9/19/19 6:47:00 PM,C,29
9/19/19 7:17:00 PM,C,28.5
9/19/19 7:47:00 PM,C,28
9/19/19 8:17:00 PM,C,28
9/19/19 8:47:00 PM,C,28
9/19/19 9:17:00 PM,C,28
9/19/19 9:47:00 PM,C,28
9/19/19 10:17:00 PM,C,27.5
9/19/19 10:47:00 PM,C,27.5
9/19/19 11:17:00 PM,C,27
9/19/19 11:47:00 PM,C,27
9/20/19 12:17:00 AM,C,26.5
9/20/19 12:47:00 AM,C,27
9/20/19 1:17:00 AM,C,27
9/20/19 1:47:00 AM,C,27
9/20/19 2:17:00 AM,C,26.5
9/20/19 2:47:00 AM,C,26.5
9/20/19 3:17:00 AM,C,25.5
9/20/19 3:47:00 AM,C,25.5
9/20/19 4:17:00 AM,C,25.5
9/20/19 4:47:00 AM,C,25
9/20/19 5:17:00 AM,C,25
9/20/19 5:47:00 AM,C,25
9/20/19 6:17:00 AM,C,25.5
9/20/19 6:47:00 AM,C,26
9/20/19 7:17:00 AM,C,27
9/20/19 7:47:00 AM,C,29
9/20/19 8:17:00 AM,C,30.5
9/20/19 8:47:00 AM,C,31
9/20/19 9:17:00 AM,C,31.5
9/20/19 9:47:00 AM,C,39.5
9/20/19 10:17:00 AM,C,40
9/20/19 10:47:00 AM,C,39
9/20/19 11:17:00 AM,C,55
9/20/19 11:47:00 AM,C,50.5
9/20/19 12:17:00 PM,C,38.5
9/20/19 12:47:00 PM,C,52.5
9/20/19 1:17:00 PM,C,58
9/20/19 1:47:00 PM,C,61
9/20/19 2:17:00 PM,C,60
9/20/19 2:47:00 PM,C,60
9/20/19 3:17:00 PM,C,56.5
9/20/19 3:47:00 PM,C,54.5
9/20/19 4:17:00 PM,C,51
9/20/19 4:47:00 PM,C,47.5
9/20/19 5:17:00 PM,C,42
9/20/19 5:47:00 PM,C,35.5
9/20/19 6:17:00 PM,C,32
9/20/19 6:47:00 PM,C,30.5
9/20/19 7:17:00 PM,C,29.5
9/20/19 7:47:00 PM,C,28.5
9/20/19 8:17:00 PM,C,28
9/20/19 8:47:00 PM,C,27.5
9/20/19 9:17:00 PM,C,27.5
9/20/19 9:47:00 PM,C,27
9/20/19 10:17:00 PM,C,27
9/20/19 10:47:00 PM,C,26.5
9/20/19 11:17:00 PM,C,26.5
9/20/19 11:47:00 PM,C,26.5
9/21/19 12:17:00 AM,C,26.5
9/21/19 12:47:00 AM,C,26.5
9/21/19 1:17:00 AM,C,26
9/21/19 1:47:00 AM,C,26
9/21/19 2:17:00 AM,C,26
9/21/19 2:47:00 AM,C,26
9/21/19 3:17:00 AM,C,26
9/21/19 3:47:00 AM,C,26
9/21/19 4:17:00 AM,C,25.5
9/21/19 4:47:00 AM,C,26
9/21/19 5:17:00 AM,C,26
9/21/19 5:47:00 AM,C,25.5
9/21/19 6:17:00 AM,C,25.5
9/21/19 6:47:00 AM,C,25.5
9/21/19 7:17:00 AM,C,27
9/21/19 7:47:00 AM,C,28.5
9/21/19 8:17:00 AM,C,30
9/21/19 8:47:00 AM,C,31.5
9/21/19 9:17:00 AM,C,33.5
9/21/19 9:47:00 AM,C,39
9/21/19 10:17:00 AM,C,43
9/21/19 10:47:00 AM,C,47
9/21/19 11:17:00 AM,C,50.5
9/21/19 11:47:00 AM,C,54
9/21/19 12:17:00 PM,C,55
9/21/19 12:47:00 PM,C,55
9/21/19 1:17:00 PM,C,54.5
9/21/19 1:47:00 PM,C,51.5
9/21/19 2:17:00 PM,C,52
9/21/19 2:47:00 PM,C,52.5
9/21/19 3:17:00 PM,C,51
9/21/19 3:47:00 PM,C,46.5
9/21/19 4:17:00 PM,C,48.5
9/21/19 4:47:00 PM,C,41.5
9/21/19 5:17:00 PM,C,38
9/21/19 5:47:00 PM,C,33.5
9/21/19 6:17:00 PM,C,31.5
9/21/19 6:47:00 PM,C,30.5
9/21/19 7:17:00 PM,C,29.5
9/21/19 7:47:00 PM,C,29.5
9/21/19 8:17:00 PM,C,29
9/21/19 8:47:00 PM,C,28.5
9/21/19 9:17:00 PM,C,28
9/21/19 9:47:00 PM,C,28
9/21/19 10:17:00 PM,C,28
9/21/19 10:47:00 PM,C,28
9/21/19 11:17:00 PM,C,27.5
9/21/19 11:47:00 PM,C,27
9/22/19 12:17:00 AM,C,26.5
9/22/19 12:47:00 AM,C,26.5
9/22/19 1:17:00 AM,C,26.5
9/22/19 1:47:00 AM,C,26.5
9/22/19 2:17:00 AM,C,26
9/22/19 2:47:00 AM,C,26
9/22/19 3:17:00 AM,C,24.5
9/22/19 3:47:00 AM,C,24.5
9/22/19 4:17:00 AM,C,24.5
9/22/19 4:47:00 AM,C,24.5
9/22/19 5:17:00 AM,C,25
9/22/19 5:47:00 AM,C,24.5
9/22/19 6:17:00 AM,C,24.5
9/22/19 6:47:00 AM,C,24.5
9/22/19 7:17:00 AM,C,24
9/22/19 7:47:00 AM,C,24
9/22/19 8:17:00 AM,C,28
9/22/19 8:47:00 AM,C,30.5
9/22/19 9:17:00 AM,C,32
9/22/19 9:47:00 AM,C,36
9/22/19 10:17:00 AM,C,37
9/22/19 10:47:00 AM,C,39
9/22/19 11:17:00 AM,C,39
9/22/19 11:47:00 AM,C,41
9/22/19 12:17:00 PM,C,40.5
9/22/19 12:47:00 PM,C,42.5
9/22/19 1:17:00 PM,C,44
9/22/19 1:47:00 PM,C,41
9/22/19 2:17:00 PM,C,45.5
9/22/19 2:47:00 PM,C,47.5
9/22/19 3:17:00 PM,C,42.5
9/22/19 3:47:00 PM,C,36.5
9/22/19 4:17:00 PM,C,34
9/22/19 4:47:00 PM,C,34
9/22/19 5:17:00 PM,C,32.5
9/22/19 5:47:00 PM,C,30.5
9/22/19 6:17:00 PM,C,29
9/22/19 6:47:00 PM,C,28.5
9/22/19 7:17:00 PM,C,28.5
9/22/19 7:47:00 PM,C,28.5
9/22/19 8:17:00 PM,C,28.5
9/22/19 8:47:00 PM,C,28
9/22/19 9:17:00 PM,C,28
9/22/19 9:47:00 PM,C,28
9/22/19 10:17:00 PM,C,28
9/22/19 10:47:00 PM,C,28
9/22/19 11:17:00 PM,C,28
9/22/19 11:47:00 PM,C,28
9/23/19 12:17:00 AM,C,28
9/23/19 12:47:00 AM,C,27.5
9/23/19 1:17:00 AM,C,27
9/23/19 1:47:00 AM,C,27.5
9/23/19 2:17:00 AM,C,27.5
9/23/19 2:47:00 AM,C,27
9/23/19 3:17:00 AM,C,26.5
9/23/19 3:47:00 AM,C,27
9/23/19 4:17:00 AM,C,27
9/23/19 4:47:00 AM,C,27
9/23/19 5:17:00 AM,C,26.5
9/23/19 5:47:00 AM,C,27
9/23/19 6:17:00 AM,C,27
9/23/19 6:47:00 AM,C,27
9/23/19 7:17:00 AM,C,29
9/23/19 7:47:00 AM,C,30.5
