1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 900000004164BF21
Is Mission Active?  true
Mission Start:  Wed Sep 18 08:56:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1010
Total Samples:  9016
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/18/19 8:56:00 AM,C,32
9/18/19 9:26:00 AM,C,31.5
9/18/19 9:56:00 AM,C,32
9/18/19 10:26:00 AM,C,32.5
9/18/19 10:56:00 AM,C,32.5
9/18/19 11:26:00 AM,C,32
9/18/19 11:56:00 AM,C,32.5
9/18/19 12:26:00 PM,C,32.5
9/18/19 12:56:00 PM,C,32.5
9/18/19 1:26:00 PM,C,32.5
9/18/19 1:56:00 PM,C,33
9/18/19 2:26:00 PM,C,33
9/18/19 2:56:00 PM,C,32.5
9/18/19 3:26:00 PM,C,33
9/18/19 3:56:00 PM,C,32.5
9/18/19 4:26:00 PM,C,31.5
9/18/19 4:56:00 PM,C,31
9/18/19 5:26:00 PM,C,30.5
9/18/19 5:56:00 PM,C,30.5
9/18/19 6:26:00 PM,C,30
9/18/19 6:56:00 PM,C,29.5
9/18/19 7:26:00 PM,C,29.5
9/18/19 7:56:00 PM,C,29.5
9/18/19 8:26:00 PM,C,29.5
9/18/19 8:56:00 PM,C,29.5
9/18/19 9:26:00 PM,C,29.5
9/18/19 9:56:00 PM,C,29.5
9/18/19 10:26:00 PM,C,29
9/18/19 10:56:00 PM,C,29
9/18/19 11:26:00 PM,C,29
9/18/19 11:56:00 PM,C,29
9/19/19 12:26:00 AM,C,29
9/19/19 12:56:00 AM,C,28.5
9/19/19 1:26:00 AM,C,28.5
9/19/19 1:56:00 AM,C,28.5
9/19/19 2:26:00 AM,C,28.5
9/19/19 2:56:00 AM,C,28.5
9/19/19 3:26:00 AM,C,28.5
9/19/19 3:56:00 AM,C,28.5
9/19/19 4:26:00 AM,C,28.5
9/19/19 4:56:00 AM,C,26.5
9/19/19 5:26:00 AM,C,26
9/19/19 5:56:00 AM,C,26
9/19/19 6:26:00 AM,C,26
9/19/19 6:56:00 AM,C,26
9/19/19 7:26:00 AM,C,27
9/19/19 7:56:00 AM,C,28
9/19/19 8:26:00 AM,C,28.5
9/19/19 8:56:00 AM,C,28.5
9/19/19 9:26:00 AM,C,29.5
9/19/19 9:56:00 AM,C,30.5
9/19/19 10:26:00 AM,C,31.5
9/19/19 10:56:00 AM,C,31
9/19/19 11:26:00 AM,C,32
9/19/19 11:56:00 AM,C,31.5
9/19/19 12:26:00 PM,C,31.5
9/19/19 12:56:00 PM,C,32.5
9/19/19 1:26:00 PM,C,33
9/19/19 1:56:00 PM,C,32.5
9/19/19 2:26:00 PM,C,33
9/19/19 2:56:00 PM,C,33
9/19/19 3:26:00 PM,C,32
9/19/19 3:56:00 PM,C,32
9/19/19 4:26:00 PM,C,31.5
9/19/19 4:56:00 PM,C,33
9/19/19 5:26:00 PM,C,32
9/19/19 5:56:00 PM,C,31
9/19/19 6:26:00 PM,C,30.5
9/19/19 6:56:00 PM,C,30
9/19/19 7:26:00 PM,C,29.5
9/19/19 7:56:00 PM,C,29
9/19/19 8:26:00 PM,C,29.5
9/19/19 8:56:00 PM,C,29.5
9/19/19 9:26:00 PM,C,29
9/19/19 9:56:00 PM,C,29
9/19/19 10:26:00 PM,C,29
9/19/19 10:56:00 PM,C,29
9/19/19 11:26:00 PM,C,29
9/19/19 11:56:00 PM,C,28.5
9/20/19 12:26:00 AM,C,28.5
9/20/19 12:56:00 AM,C,28.5
9/20/19 1:26:00 AM,C,28.5
9/20/19 1:56:00 AM,C,28.5
9/20/19 2:26:00 AM,C,28.5
9/20/19 2:56:00 AM,C,28
9/20/19 3:26:00 AM,C,28
9/20/19 3:56:00 AM,C,27.5
9/20/19 4:26:00 AM,C,27.5
9/20/19 4:56:00 AM,C,27.5
9/20/19 5:26:00 AM,C,27
9/20/19 5:56:00 AM,C,27
9/20/19 6:26:00 AM,C,27
9/20/19 6:56:00 AM,C,27.5
9/20/19 7:26:00 AM,C,28
9/20/19 7:56:00 AM,C,28.5
9/20/19 8:26:00 AM,C,29.5
9/20/19 8:56:00 AM,C,30.5
9/20/19 9:26:00 AM,C,31.5
9/20/19 9:56:00 AM,C,32
9/20/19 10:26:00 AM,C,31.5
9/20/19 10:56:00 AM,C,31.5
9/20/19 11:26:00 AM,C,32.5
9/20/19 11:56:00 AM,C,32.5
9/20/19 12:26:00 PM,C,32
9/20/19 12:56:00 PM,C,32.5
9/20/19 1:26:00 PM,C,33
9/20/19 1:56:00 PM,C,33.5
9/20/19 2:26:00 PM,C,33.5
9/20/19 2:56:00 PM,C,34
9/20/19 3:26:00 PM,C,33.5
9/20/19 3:56:00 PM,C,33.5
9/20/19 4:26:00 PM,C,34
9/20/19 4:56:00 PM,C,35
