1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 03000000416CDD21
Is Mission Active?  true
Mission Start:  Wed Sep 18 09:11:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1010
Total Samples:  9017
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/18/19 9:11:00 AM,C,33
9/18/19 9:41:00 AM,C,33
9/18/19 10:11:00 AM,C,35.5
9/18/19 10:41:00 AM,C,38
9/18/19 11:11:00 AM,C,40.5
9/18/19 11:41:00 AM,C,41.5
9/18/19 12:11:00 PM,C,44
9/18/19 12:41:00 PM,C,43
9/18/19 1:11:00 PM,C,41.5
9/18/19 1:41:00 PM,C,41
9/18/19 2:11:00 PM,C,40
9/18/19 2:41:00 PM,C,37
9/18/19 3:11:00 PM,C,36.5
9/18/19 3:41:00 PM,C,36
9/18/19 4:11:00 PM,C,34.5
9/18/19 4:41:00 PM,C,33
9/18/19 5:11:00 PM,C,32
9/18/19 5:41:00 PM,C,31
9/18/19 6:11:00 PM,C,30
9/18/19 6:41:00 PM,C,29.5
9/18/19 7:11:00 PM,C,29
9/18/19 7:41:00 PM,C,29
9/18/19 8:11:00 PM,C,29
9/18/19 8:41:00 PM,C,28.5
9/18/19 9:11:00 PM,C,28.5
9/18/19 9:41:00 PM,C,28.5
9/18/19 10:11:00 PM,C,28
9/18/19 10:41:00 PM,C,28
9/18/19 11:11:00 PM,C,28
9/18/19 11:41:00 PM,C,27.5
9/19/19 12:11:00 AM,C,27.5
9/19/19 12:41:00 AM,C,27
9/19/19 1:11:00 AM,C,27
9/19/19 1:41:00 AM,C,27
9/19/19 2:11:00 AM,C,27
9/19/19 2:41:00 AM,C,27
9/19/19 3:11:00 AM,C,27
9/19/19 3:41:00 AM,C,27
9/19/19 4:11:00 AM,C,27
9/19/19 4:41:00 AM,C,25.5
9/19/19 5:11:00 AM,C,24
9/19/19 5:41:00 AM,C,24.5
9/19/19 6:11:00 AM,C,25
9/19/19 6:41:00 AM,C,26
9/19/19 7:11:00 AM,C,26.5
9/19/19 7:41:00 AM,C,27.5
9/19/19 8:11:00 AM,C,29
9/19/19 8:41:00 AM,C,29
9/19/19 9:11:00 AM,C,31.5
9/19/19 9:41:00 AM,C,35
9/19/19 10:11:00 AM,C,40.5
9/19/19 10:41:00 AM,C,39
9/19/19 11:11:00 AM,C,38.5
9/19/19 11:41:00 AM,C,36.5
9/19/19 12:11:00 PM,C,41
9/19/19 12:41:00 PM,C,44
9/19/19 1:11:00 PM,C,41.5
9/19/19 1:41:00 PM,C,38.5
9/19/19 2:11:00 PM,C,41
9/19/19 2:41:00 PM,C,36.5
9/19/19 3:11:00 PM,C,34
9/19/19 3:41:00 PM,C,34
9/19/19 4:11:00 PM,C,34
9/19/19 4:41:00 PM,C,33
9/19/19 5:11:00 PM,C,32
9/19/19 5:41:00 PM,C,30
9/19/19 6:11:00 PM,C,29.5
9/19/19 6:41:00 PM,C,29
9/19/19 7:11:00 PM,C,28.5
9/19/19 7:41:00 PM,C,28.5
9/19/19 8:11:00 PM,C,28
9/19/19 8:41:00 PM,C,28
9/19/19 9:11:00 PM,C,28
9/19/19 9:41:00 PM,C,28
9/19/19 10:11:00 PM,C,27.5
9/19/19 10:41:00 PM,C,27.5
9/19/19 11:11:00 PM,C,27.5
9/19/19 11:41:00 PM,C,27
9/20/19 12:11:00 AM,C,27
9/20/19 12:41:00 AM,C,27
9/20/19 1:11:00 AM,C,27.5
9/20/19 1:41:00 AM,C,27
9/20/19 2:11:00 AM,C,27
