1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 23000000415A2021
Is Mission Active?  true
Mission Start:  Thu Mar 12 09:34:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1586
Total Samples:  18046
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
3/12/20 9:34:00 AM,C,35.5
3/12/20 10:04:00 AM,C,50
3/12/20 10:34:00 AM,C,54
3/12/20 11:04:00 AM,C,52.5
3/12/20 11:34:00 AM,C,57.5
3/12/20 12:04:00 PM,C,57
3/12/20 12:34:00 PM,C,38.5
3/12/20 1:04:00 PM,C,54.5
3/12/20 1:34:00 PM,C,60
3/12/20 2:04:00 PM,C,53.5
3/12/20 2:34:00 PM,C,52
3/12/20 3:04:00 PM,C,44.5
3/12/20 3:34:00 PM,C,43.5
3/12/20 4:04:00 PM,C,41.5
3/12/20 4:34:00 PM,C,36.5
3/12/20 5:04:00 PM,C,33.5
3/12/20 5:34:00 PM,C,32
3/12/20 6:04:00 PM,C,28.5
3/12/20 6:34:00 PM,C,26
3/12/20 7:04:00 PM,C,25
3/12/20 7:34:00 PM,C,24.5
3/12/20 8:04:00 PM,C,23.5
3/12/20 8:34:00 PM,C,24
3/12/20 9:04:00 PM,C,23
3/12/20 9:34:00 PM,C,23
3/12/20 10:04:00 PM,C,22.5
3/12/20 10:34:00 PM,C,22.5
3/12/20 11:04:00 PM,C,22.5
3/12/20 11:34:00 PM,C,23
3/13/20 12:04:00 AM,C,23
3/13/20 12:34:00 AM,C,22.5
3/13/20 1:04:00 AM,C,21.5
3/13/20 1:34:00 AM,C,21
3/13/20 2:04:00 AM,C,21
3/13/20 2:34:00 AM,C,21
3/13/20 3:04:00 AM,C,20.5
3/13/20 3:34:00 AM,C,20.5
3/13/20 4:04:00 AM,C,20
3/13/20 4:34:00 AM,C,20
3/13/20 5:04:00 AM,C,20
3/13/20 5:34:00 AM,C,20
3/13/20 6:04:00 AM,C,20
3/13/20 6:34:00 AM,C,19.5
3/13/20 7:04:00 AM,C,22
3/13/20 7:34:00 AM,C,23
3/13/20 8:04:00 AM,C,37
3/13/20 8:34:00 AM,C,40
3/13/20 9:04:00 AM,C,51.5
3/13/20 9:34:00 AM,C,58
3/13/20 10:04:00 AM,C,59.5
3/13/20 10:34:00 AM,C,63
3/13/20 11:04:00 AM,C,65
3/13/20 11:34:00 AM,C,66
3/13/20 12:04:00 PM,C,69.5
3/13/20 12:34:00 PM,C,67
3/13/20 1:04:00 PM,C,59.5
3/13/20 1:34:00 PM,C,56.5
3/13/20 2:04:00 PM,C,59.5
3/13/20 2:34:00 PM,C,54
3/13/20 3:04:00 PM,C,43
3/13/20 3:34:00 PM,C,37
3/13/20 4:04:00 PM,C,37
3/13/20 4:34:00 PM,C,37
3/13/20 5:04:00 PM,C,32
3/13/20 5:34:00 PM,C,31
3/13/20 6:04:00 PM,C,23
3/13/20 6:34:00 PM,C,23
3/13/20 7:04:00 PM,C,22.5
3/13/20 7:34:00 PM,C,22.5
3/13/20 8:04:00 PM,C,22.5
3/13/20 8:34:00 PM,C,21.5
3/13/20 9:04:00 PM,C,22
3/13/20 9:34:00 PM,C,21.5
3/13/20 10:04:00 PM,C,21.5
3/13/20 10:34:00 PM,C,21
3/13/20 11:04:00 PM,C,21
3/13/20 11:34:00 PM,C,21
3/14/20 12:04:00 AM,C,20.5
3/14/20 12:34:00 AM,C,21
3/14/20 1:04:00 AM,C,20.5
3/14/20 1:34:00 AM,C,20.5
3/14/20 2:04:00 AM,C,21
