1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9C000000416D0421
Is Mission Active?  true
Mission Start:  Sun Jul 19 09:49:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1822
Total Samples:  24592
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/19/20 9:49:00 AM,C,36
7/19/20 10:19:00 AM,C,47
7/19/20 10:49:00 AM,C,49.5
7/19/20 11:19:00 AM,C,54
7/19/20 11:49:00 AM,C,52.5
7/19/20 12:19:00 PM,C,57.5
7/19/20 12:49:00 PM,C,53.5
7/19/20 1:19:00 PM,C,56.5
7/19/20 1:49:00 PM,C,53
7/19/20 2:19:00 PM,C,49.5
7/19/20 2:49:00 PM,C,54
7/19/20 3:19:00 PM,C,50
7/19/20 3:49:00 PM,C,45.5
7/19/20 4:19:00 PM,C,41.5
7/19/20 4:49:00 PM,C,34.5
7/19/20 5:19:00 PM,C,32.5
7/19/20 5:49:00 PM,C,31
7/19/20 6:19:00 PM,C,29.5
7/19/20 6:49:00 PM,C,29
7/19/20 7:19:00 PM,C,28.5
7/19/20 7:49:00 PM,C,28.5
7/19/20 8:19:00 PM,C,26
7/19/20 8:49:00 PM,C,27.5
7/19/20 9:19:00 PM,C,27.5
7/19/20 9:49:00 PM,C,27
7/19/20 10:19:00 PM,C,27
7/19/20 10:49:00 PM,C,27
7/19/20 11:19:00 PM,C,26.5
7/19/20 11:49:00 PM,C,26.5
7/20/20 12:19:00 AM,C,26.5
7/20/20 12:49:00 AM,C,26.5
7/20/20 1:19:00 AM,C,26
7/20/20 1:49:00 AM,C,25.5
7/20/20 2:19:00 AM,C,25.5
7/20/20 2:49:00 AM,C,24.5
7/20/20 3:19:00 AM,C,24.5
7/20/20 3:49:00 AM,C,24.5
7/20/20 4:19:00 AM,C,24.5
7/20/20 4:49:00 AM,C,25
7/20/20 5:19:00 AM,C,25
