1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4400000041B21221
Is Mission Active?  true
Mission Start:  Sun Jul 19 10:08:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1822
Total Samples:  24487
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/19/20 10:08:00 AM,C,35.5
7/19/20 10:38:00 AM,C,35.5
7/19/20 11:08:00 AM,C,36
7/19/20 11:38:00 AM,C,38
7/19/20 12:08:00 PM,C,39.5
7/19/20 12:38:00 PM,C,39
7/19/20 1:08:00 PM,C,43.5
7/19/20 1:38:00 PM,C,46
7/19/20 2:08:00 PM,C,42.5
7/19/20 2:38:00 PM,C,39
7/19/20 3:08:00 PM,C,39
7/19/20 3:38:00 PM,C,38.5
7/19/20 4:08:00 PM,C,38.5
7/19/20 4:38:00 PM,C,37
7/19/20 5:08:00 PM,C,35.5
7/19/20 5:38:00 PM,C,34.5
7/19/20 6:08:00 PM,C,32.5
7/19/20 6:38:00 PM,C,31.5
7/19/20 7:08:00 PM,C,31
7/19/20 7:38:00 PM,C,30.5
7/19/20 8:08:00 PM,C,30
7/19/20 8:38:00 PM,C,29.5
7/19/20 9:08:00 PM,C,29.5
7/19/20 9:38:00 PM,C,29
7/19/20 10:08:00 PM,C,29
7/19/20 10:38:00 PM,C,28.5
7/19/20 11:08:00 PM,C,28.5
7/19/20 11:38:00 PM,C,28
7/20/20 12:08:00 AM,C,28
7/20/20 12:38:00 AM,C,28
7/20/20 1:08:00 AM,C,27.5
7/20/20 1:38:00 AM,C,27.5
7/20/20 2:08:00 AM,C,27.5
7/20/20 2:38:00 AM,C,27
7/20/20 3:08:00 AM,C,27
7/20/20 3:38:00 AM,C,26.5
7/20/20 4:08:00 AM,C,27
7/20/20 4:38:00 AM,C,27
7/20/20 5:08:00 AM,C,27
7/20/20 5:38:00 AM,C,27
7/20/20 6:08:00 AM,C,27
7/20/20 6:38:00 AM,C,28
7/20/20 7:08:00 AM,C,28.5
7/20/20 7:38:00 AM,C,29
7/20/20 8:08:00 AM,C,30
7/20/20 8:38:00 AM,C,31
7/20/20 9:08:00 AM,C,32
7/20/20 9:38:00 AM,C,34
7/20/20 10:08:00 AM,C,33.5
7/20/20 10:38:00 AM,C,34
7/20/20 11:08:00 AM,C,33.5
7/20/20 11:38:00 AM,C,32.5
7/20/20 12:08:00 PM,C,35.5
7/20/20 12:38:00 PM,C,37
7/20/20 1:08:00 PM,C,39.5
7/20/20 1:38:00 PM,C,41.5
7/20/20 2:08:00 PM,C,34.5
7/20/20 2:38:00 PM,C,28.5
7/20/20 3:08:00 PM,C,30.5
7/20/20 3:38:00 PM,C,33
7/20/20 4:08:00 PM,C,33
7/20/20 4:38:00 PM,C,33
7/20/20 5:08:00 PM,C,32.5
7/20/20 5:38:00 PM,C,32
