1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5900000041AF5921
Is Mission Active?  true
Mission Start:  Sun Jul 19 10:02:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1822
Total Samples:  24487
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/19/20 10:02:00 AM,C,38.5
7/19/20 10:32:00 AM,C,47.5
7/19/20 11:02:00 AM,C,52
7/19/20 11:32:00 AM,C,51
7/19/20 12:02:00 PM,C,55
7/19/20 12:32:00 PM,C,53.5
7/19/20 1:02:00 PM,C,53.5
7/19/20 1:32:00 PM,C,51.5
7/19/20 2:02:00 PM,C,50
7/19/20 2:32:00 PM,C,41.5
7/19/20 3:02:00 PM,C,38.5
7/19/20 3:32:00 PM,C,45.5
7/19/20 4:02:00 PM,C,40.5
7/19/20 4:32:00 PM,C,37
7/19/20 5:02:00 PM,C,34.5
7/19/20 5:32:00 PM,C,32
7/19/20 6:02:00 PM,C,30
7/19/20 6:32:00 PM,C,29.5
7/19/20 7:02:00 PM,C,29.5
7/19/20 7:32:00 PM,C,28.5
7/19/20 8:02:00 PM,C,27.5
7/19/20 8:32:00 PM,C,27
7/19/20 9:02:00 PM,C,27.5
7/19/20 9:32:00 PM,C,27.5
7/19/20 10:02:00 PM,C,27
7/19/20 10:32:00 PM,C,27
7/19/20 11:02:00 PM,C,27
7/19/20 11:32:00 PM,C,27
7/20/20 12:02:00 AM,C,27
7/20/20 12:32:00 AM,C,27
7/20/20 1:02:00 AM,C,26.5
7/20/20 1:32:00 AM,C,26
7/20/20 2:02:00 AM,C,25.5
7/20/20 2:32:00 AM,C,25.5
7/20/20 3:02:00 AM,C,25.5
7/20/20 3:32:00 AM,C,25
7/20/20 4:02:00 AM,C,25
7/20/20 4:32:00 AM,C,25
7/20/20 5:02:00 AM,C,25
7/20/20 5:32:00 AM,C,24.5
7/20/20 6:02:00 AM,C,25.5
7/20/20 6:32:00 AM,C,28
7/20/20 7:02:00 AM,C,29
7/20/20 7:32:00 AM,C,33
7/20/20 8:02:00 AM,C,31
7/20/20 8:32:00 AM,C,30.5
7/20/20 9:02:00 AM,C,39.5
7/20/20 9:32:00 AM,C,42
7/20/20 10:02:00 AM,C,43
7/20/20 10:32:00 AM,C,47.5
7/20/20 11:02:00 AM,C,46
