1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5900000041AF5921
Is Mission Active?  true
Mission Start:  Thu Nov 19 11:33:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  954
Total Samples:  29528
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
11/19/20 11:33:00 AM,C,36.5
11/19/20 12:03:00 PM,C,48
11/19/20 12:33:00 PM,C,46.5
11/19/20 1:03:00 PM,C,42
11/19/20 1:33:00 PM,C,45.5
11/19/20 2:03:00 PM,C,32.5
11/19/20 2:33:00 PM,C,36
11/19/20 3:03:00 PM,C,39
11/19/20 3:33:00 PM,C,37
11/19/20 4:03:00 PM,C,33
11/19/20 4:33:00 PM,C,28.5
11/19/20 5:03:00 PM,C,27.5
11/19/20 5:33:00 PM,C,27
11/19/20 6:03:00 PM,C,27
11/19/20 6:33:00 PM,C,26.5
11/19/20 7:03:00 PM,C,26.5
11/19/20 7:33:00 PM,C,26.5
11/19/20 8:03:00 PM,C,26.5
11/19/20 8:33:00 PM,C,26.5
11/19/20 9:03:00 PM,C,26.5
11/19/20 9:33:00 PM,C,27
11/19/20 10:03:00 PM,C,27
11/19/20 10:33:00 PM,C,26
11/19/20 11:03:00 PM,C,26
11/19/20 11:33:00 PM,C,26
11/20/20 12:03:00 AM,C,26
11/20/20 12:33:00 AM,C,26
11/20/20 1:03:00 AM,C,26
11/20/20 1:33:00 AM,C,25.5
11/20/20 2:03:00 AM,C,25.5
11/20/20 2:33:00 AM,C,25.5
11/20/20 3:03:00 AM,C,25.5
11/20/20 3:33:00 AM,C,26
11/20/20 4:03:00 AM,C,26
11/20/20 4:33:00 AM,C,25.5
11/20/20 5:03:00 AM,C,25.5
11/20/20 5:33:00 AM,C,25.5
11/20/20 6:03:00 AM,C,25.5
11/20/20 6:33:00 AM,C,26
11/20/20 7:03:00 AM,C,26.5
11/20/20 7:33:00 AM,C,30
11/20/20 8:03:00 AM,C,32.5
11/20/20 8:33:00 AM,C,32.5
11/20/20 9:03:00 AM,C,38
11/20/20 9:33:00 AM,C,41.5
11/20/20 10:03:00 AM,C,35
11/20/20 10:33:00 AM,C,38.5
11/20/20 11:03:00 AM,C,46.5
11/20/20 11:33:00 AM,C,47.5
11/20/20 12:03:00 PM,C,43
11/20/20 12:33:00 PM,C,40
11/20/20 1:03:00 PM,C,29.5
11/20/20 1:33:00 PM,C,40.5
11/20/20 2:03:00 PM,C,48
11/20/20 2:33:00 PM,C,39.5
11/20/20 3:03:00 PM,C,37.5
11/20/20 3:33:00 PM,C,34.5
11/20/20 4:03:00 PM,C,31
11/20/20 4:33:00 PM,C,29.5
11/20/20 5:03:00 PM,C,28.5
11/20/20 5:33:00 PM,C,27.5
11/20/20 6:03:00 PM,C,27
11/20/20 6:33:00 PM,C,27
11/20/20 7:03:00 PM,C,27
11/20/20 7:33:00 PM,C,27
11/20/20 8:03:00 PM,C,26.5
11/20/20 8:33:00 PM,C,26.5
11/20/20 9:03:00 PM,C,26.5
11/20/20 9:33:00 PM,C,26.5
11/20/20 10:03:00 PM,C,26.5
11/20/20 10:33:00 PM,C,26
11/20/20 11:03:00 PM,C,26
11/20/20 11:33:00 PM,C,26
11/21/20 12:03:00 AM,C,26
11/21/20 12:33:00 AM,C,26
11/21/20 1:03:00 AM,C,25
11/21/20 1:33:00 AM,C,26
11/21/20 2:03:00 AM,C,23
