1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EB000000414B0A21
Is Mission Active?  true
Mission Start:  Thu Nov 19 13:12:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  953
Total Samples:  29519
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
11/19/20 1:12:00 PM,C,35.5
11/19/20 1:42:00 PM,C,48
11/19/20 2:12:00 PM,C,34
11/19/20 2:42:00 PM,C,35
11/19/20 3:12:00 PM,C,37
11/19/20 3:42:00 PM,C,31
11/19/20 4:12:00 PM,C,30
11/19/20 4:42:00 PM,C,28.5
11/19/20 5:12:00 PM,C,27.5
11/19/20 5:42:00 PM,C,27
11/19/20 6:12:00 PM,C,27
11/19/20 6:42:00 PM,C,26.5
11/19/20 7:12:00 PM,C,26
11/19/20 7:42:00 PM,C,26
11/19/20 8:12:00 PM,C,25.5
11/19/20 8:42:00 PM,C,26
11/19/20 9:12:00 PM,C,26
11/19/20 9:42:00 PM,C,26.5
11/19/20 10:12:00 PM,C,26.5
11/19/20 10:42:00 PM,C,25.5
11/19/20 11:12:00 PM,C,25.5
11/19/20 11:42:00 PM,C,25
11/20/20 12:12:00 AM,C,25.5
11/20/20 12:42:00 AM,C,25.5
11/20/20 1:12:00 AM,C,25.5
11/20/20 1:42:00 AM,C,25
11/20/20 2:12:00 AM,C,25
11/20/20 2:42:00 AM,C,25
11/20/20 3:12:00 AM,C,25
11/20/20 3:42:00 AM,C,25.5
11/20/20 4:12:00 AM,C,25.5
11/20/20 4:42:00 AM,C,25
11/20/20 5:12:00 AM,C,25.5
11/20/20 5:42:00 AM,C,25.5
11/20/20 6:12:00 AM,C,25.5
11/20/20 6:42:00 AM,C,25.5
11/20/20 7:12:00 AM,C,26
11/20/20 7:42:00 AM,C,27.5
11/20/20 8:12:00 AM,C,28
11/20/20 8:42:00 AM,C,28.5
11/20/20 9:12:00 AM,C,31.5
11/20/20 9:42:00 AM,C,33.5
11/20/20 10:12:00 AM,C,32
11/20/20 10:42:00 AM,C,36.5
11/20/20 11:12:00 AM,C,39
11/20/20 11:42:00 AM,C,41.5
11/20/20 12:12:00 PM,C,37
11/20/20 12:42:00 PM,C,36
11/20/20 1:12:00 PM,C,32.5
11/20/20 1:42:00 PM,C,38
11/20/20 2:12:00 PM,C,42.5
11/20/20 2:42:00 PM,C,43
11/20/20 3:12:00 PM,C,37.5
11/20/20 3:42:00 PM,C,34
11/20/20 4:12:00 PM,C,31
11/20/20 4:42:00 PM,C,29.5
11/20/20 5:12:00 PM,C,28.5
11/20/20 5:42:00 PM,C,27.5
11/20/20 6:12:00 PM,C,27
11/20/20 6:42:00 PM,C,27
11/20/20 7:12:00 PM,C,26.5
11/20/20 7:42:00 PM,C,26.5
11/20/20 8:12:00 PM,C,26.5
11/20/20 8:42:00 PM,C,26.5
11/20/20 9:12:00 PM,C,26.5
11/20/20 9:42:00 PM,C,26
11/20/20 10:12:00 PM,C,26.5
11/20/20 10:42:00 PM,C,26
11/20/20 11:12:00 PM,C,26
11/20/20 11:42:00 PM,C,26
11/21/20 12:12:00 AM,C,26
11/21/20 12:42:00 AM,C,25.5
11/21/20 1:12:00 AM,C,25
11/21/20 1:42:00 AM,C,25.5
11/21/20 2:12:00 AM,C,23.5
11/21/20 2:42:00 AM,C,23.5
11/21/20 3:12:00 AM,C,24.5
11/21/20 3:42:00 AM,C,24.5
11/21/20 4:12:00 AM,C,24
11/21/20 4:42:00 AM,C,23.5
11/21/20 5:12:00 AM,C,23.5
11/21/20 5:42:00 AM,C,24
11/21/20 6:12:00 AM,C,24
11/21/20 6:42:00 AM,C,23
11/21/20 7:12:00 AM,C,24.5
11/21/20 7:42:00 AM,C,24.5
11/21/20 8:12:00 AM,C,27
11/21/20 8:42:00 AM,C,29
