1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 830000004164B121
Is Mission Active?  true
Mission Start:  Thu Nov 19 12:34:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  953
Total Samples:  29518
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
11/19/20 12:34:00 PM,C,31.5
11/19/20 1:04:00 PM,C,30.5
11/19/20 1:34:00 PM,C,30
11/19/20 2:04:00 PM,C,29.5
11/19/20 2:34:00 PM,C,29.5
11/19/20 3:04:00 PM,C,30
11/19/20 3:34:00 PM,C,30.5
11/19/20 4:04:00 PM,C,32.5
11/19/20 4:34:00 PM,C,30
11/19/20 5:04:00 PM,C,28.5
11/19/20 5:34:00 PM,C,28
11/19/20 6:04:00 PM,C,28
11/19/20 6:34:00 PM,C,28
11/19/20 7:04:00 PM,C,27.5
11/19/20 7:34:00 PM,C,27.5
11/19/20 8:04:00 PM,C,27.5
11/19/20 8:34:00 PM,C,27.5
11/19/20 9:04:00 PM,C,27.5
11/19/20 9:34:00 PM,C,27.5
11/19/20 10:04:00 PM,C,27.5
11/19/20 10:34:00 PM,C,27.5
11/19/20 11:04:00 PM,C,27.5
11/19/20 11:34:00 PM,C,27
11/20/20 12:04:00 AM,C,27
11/20/20 12:34:00 AM,C,27
11/20/20 1:04:00 AM,C,27.5
11/20/20 1:34:00 AM,C,27
11/20/20 2:04:00 AM,C,27
11/20/20 2:34:00 AM,C,27
11/20/20 3:04:00 AM,C,26.5
11/20/20 3:34:00 AM,C,26.5
11/20/20 4:04:00 AM,C,27
11/20/20 4:34:00 AM,C,26.5
11/20/20 5:04:00 AM,C,27
11/20/20 5:34:00 AM,C,27
11/20/20 6:04:00 AM,C,27
11/20/20 6:34:00 AM,C,27
11/20/20 7:04:00 AM,C,27
11/20/20 7:34:00 AM,C,27.5
11/20/20 8:04:00 AM,C,28
11/20/20 8:34:00 AM,C,28.5
11/20/20 9:04:00 AM,C,29
11/20/20 9:34:00 AM,C,29.5
11/20/20 10:04:00 AM,C,29.5
11/20/20 10:34:00 AM,C,29.5
11/20/20 11:04:00 AM,C,30
11/20/20 11:34:00 AM,C,30
11/20/20 12:04:00 PM,C,30
11/20/20 12:34:00 PM,C,30
11/20/20 1:04:00 PM,C,30
11/20/20 1:34:00 PM,C,29.5
11/20/20 2:04:00 PM,C,30.5
11/20/20 2:34:00 PM,C,31
11/20/20 3:04:00 PM,C,31
11/20/20 3:34:00 PM,C,31.5
11/20/20 4:04:00 PM,C,30.5
11/20/20 4:34:00 PM,C,30
11/20/20 5:04:00 PM,C,29.5
11/20/20 5:34:00 PM,C,29
11/20/20 6:04:00 PM,C,28.5
11/20/20 6:34:00 PM,C,28
11/20/20 7:04:00 PM,C,28
11/20/20 7:34:00 PM,C,28
11/20/20 8:04:00 PM,C,28
11/20/20 8:34:00 PM,C,28
11/20/20 9:04:00 PM,C,27.5
11/20/20 9:34:00 PM,C,27.5
11/20/20 10:04:00 PM,C,27.5
11/20/20 10:34:00 PM,C,27.5
11/20/20 11:04:00 PM,C,27.5
11/20/20 11:34:00 PM,C,27.5
