1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5900000041AF5921
Is Mission Active?  true
Mission Start:  Fri Jan 17 08:17:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1536
Total Samples:  15362
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
1/17/20 8:17:00 AM,C,32
1/17/20 8:47:00 AM,C,30.5
1/17/20 9:17:00 AM,C,31
1/17/20 9:47:00 AM,C,38.5
1/17/20 10:17:00 AM,C,41.5
1/17/20 10:47:00 AM,C,45
1/17/20 11:17:00 AM,C,47
1/17/20 11:47:00 AM,C,48
1/17/20 12:17:00 PM,C,48.5
1/17/20 12:47:00 PM,C,48
1/17/20 1:17:00 PM,C,47
1/17/20 1:47:00 PM,C,46
1/17/20 2:17:00 PM,C,46.5
1/17/20 2:47:00 PM,C,46.5
1/17/20 3:17:00 PM,C,42.5
1/17/20 3:47:00 PM,C,39.5
1/17/20 4:17:00 PM,C,36
1/17/20 4:47:00 PM,C,31
1/17/20 5:17:00 PM,C,29
1/17/20 5:47:00 PM,C,27
1/17/20 6:17:00 PM,C,26
1/17/20 6:47:00 PM,C,25.5
1/17/20 7:17:00 PM,C,25
1/17/20 7:47:00 PM,C,25
1/17/20 8:17:00 PM,C,24.5
1/17/20 8:47:00 PM,C,24.5
1/17/20 9:17:00 PM,C,24.5
1/17/20 9:47:00 PM,C,24
1/17/20 10:17:00 PM,C,23.5
1/17/20 10:47:00 PM,C,23
1/17/20 11:17:00 PM,C,22.5
1/17/20 11:47:00 PM,C,22
1/18/20 12:17:00 AM,C,22
1/18/20 12:47:00 AM,C,22
1/18/20 1:17:00 AM,C,22
1/18/20 1:47:00 AM,C,21.5
1/18/20 2:17:00 AM,C,21.5
1/18/20 2:47:00 AM,C,22
1/18/20 3:17:00 AM,C,22.5
1/18/20 3:47:00 AM,C,21.5
1/18/20 4:17:00 AM,C,21.5
1/18/20 4:47:00 AM,C,23
1/18/20 5:17:00 AM,C,23
1/18/20 5:47:00 AM,C,23.5
1/18/20 6:17:00 AM,C,23.5
1/18/20 6:47:00 AM,C,24
1/18/20 7:17:00 AM,C,24
1/18/20 7:47:00 AM,C,24.5
1/18/20 8:17:00 AM,C,23.5
1/18/20 8:47:00 AM,C,26
1/18/20 9:17:00 AM,C,29.5
1/18/20 9:47:00 AM,C,33
1/18/20 10:17:00 AM,C,40
1/18/20 10:47:00 AM,C,30.5
1/18/20 11:17:00 AM,C,34.5
1/18/20 11:47:00 AM,C,36.5
1/18/20 12:17:00 PM,C,38
1/18/20 12:47:00 PM,C,38.5
1/18/20 1:17:00 PM,C,36.5
1/18/20 1:47:00 PM,C,30.5
1/18/20 2:17:00 PM,C,37.5
1/18/20 2:47:00 PM,C,37
1/18/20 3:17:00 PM,C,35.5
1/18/20 3:47:00 PM,C,33
1/18/20 4:17:00 PM,C,32.5
1/18/20 4:47:00 PM,C,29.5
1/18/20 5:17:00 PM,C,26
1/18/20 5:47:00 PM,C,25.5
1/18/20 6:17:00 PM,C,25
1/18/20 6:47:00 PM,C,25
1/18/20 7:17:00 PM,C,24.5
1/18/20 7:47:00 PM,C,24
1/18/20 8:17:00 PM,C,24
1/18/20 8:47:00 PM,C,24
1/18/20 9:17:00 PM,C,24
1/18/20 9:47:00 PM,C,23.5
1/18/20 10:17:00 PM,C,24
1/18/20 10:47:00 PM,C,24
1/18/20 11:17:00 PM,C,23.5
1/18/20 11:47:00 PM,C,23.5
1/19/20 12:17:00 AM,C,23.5
1/19/20 12:47:00 AM,C,23.5
1/19/20 1:17:00 AM,C,23.5
1/19/20 1:47:00 AM,C,22.5
1/19/20 2:17:00 AM,C,22.5
1/19/20 2:47:00 AM,C,22
1/19/20 3:17:00 AM,C,22
1/19/20 3:47:00 AM,C,22
1/19/20 4:17:00 AM,C,22
1/19/20 4:47:00 AM,C,22.5
1/19/20 5:17:00 AM,C,23
1/19/20 5:47:00 AM,C,22
1/19/20 6:17:00 AM,C,22
1/19/20 6:47:00 AM,C,22.5
1/19/20 7:17:00 AM,C,23.5
1/19/20 7:47:00 AM,C,25.5
1/19/20 8:17:00 AM,C,27.5
1/19/20 8:47:00 AM,C,29
1/19/20 9:17:00 AM,C,33.5
1/19/20 9:47:00 AM,C,32
1/19/20 10:17:00 AM,C,36.5
1/19/20 10:47:00 AM,C,39.5
1/19/20 11:17:00 AM,C,42
1/19/20 11:47:00 AM,C,43.5
1/19/20 12:17:00 PM,C,42.5
1/19/20 12:47:00 PM,C,43
1/19/20 1:17:00 PM,C,26
1/19/20 1:47:00 PM,C,33.5
1/19/20 2:17:00 PM,C,37
1/19/20 2:47:00 PM,C,37
1/19/20 3:17:00 PM,C,34.5
1/19/20 3:47:00 PM,C,30.5
1/19/20 4:17:00 PM,C,29
1/19/20 4:47:00 PM,C,28
1/19/20 5:17:00 PM,C,26.5
1/19/20 5:47:00 PM,C,23
1/19/20 6:17:00 PM,C,25
1/19/20 6:47:00 PM,C,25
1/19/20 7:17:00 PM,C,25.5
1/19/20 7:47:00 PM,C,25
1/19/20 8:17:00 PM,C,24
1/19/20 8:47:00 PM,C,25
1/19/20 9:17:00 PM,C,25
1/19/20 9:47:00 PM,C,24
1/19/20 10:17:00 PM,C,23
1/19/20 10:47:00 PM,C,24
1/19/20 11:17:00 PM,C,23.5
1/19/20 11:47:00 PM,C,24
1/20/20 12:17:00 AM,C,22.5
1/20/20 12:47:00 AM,C,23
1/20/20 1:17:00 AM,C,23
1/20/20 1:47:00 AM,C,22.5
1/20/20 2:17:00 AM,C,22.5
1/20/20 2:47:00 AM,C,23
1/20/20 3:17:00 AM,C,22.5
1/20/20 3:47:00 AM,C,22.5
1/20/20 4:17:00 AM,C,22.5
1/20/20 4:47:00 AM,C,22.5
1/20/20 5:17:00 AM,C,22.5
1/20/20 5:47:00 AM,C,23
1/20/20 6:17:00 AM,C,23
1/20/20 6:47:00 AM,C,22.5
1/20/20 7:17:00 AM,C,23
1/20/20 7:47:00 AM,C,23
1/20/20 8:17:00 AM,C,23.5
1/20/20 8:47:00 AM,C,25.5
1/20/20 9:17:00 AM,C,25.5
1/20/20 9:47:00 AM,C,27.5
1/20/20 10:17:00 AM,C,32
1/20/20 10:47:00 AM,C,33
1/20/20 11:17:00 AM,C,33.5
1/20/20 11:47:00 AM,C,32.5
1/20/20 12:17:00 PM,C,38
1/20/20 12:47:00 PM,C,43
1/20/20 1:17:00 PM,C,36.5
1/20/20 1:47:00 PM,C,37.5
1/20/20 2:17:00 PM,C,40.5
1/20/20 2:47:00 PM,C,31
1/20/20 3:17:00 PM,C,31.5
1/20/20 3:47:00 PM,C,32
1/20/20 4:17:00 PM,C,31
1/20/20 4:47:00 PM,C,29.5
1/20/20 5:17:00 PM,C,24.5
1/20/20 5:47:00 PM,C,24.5
1/20/20 6:17:00 PM,C,24.5
1/20/20 6:47:00 PM,C,25
1/20/20 7:17:00 PM,C,25
1/20/20 7:47:00 PM,C,24.5
1/20/20 8:17:00 PM,C,24
1/20/20 8:47:00 PM,C,24
1/20/20 9:17:00 PM,C,24
1/20/20 9:47:00 PM,C,24
1/20/20 10:17:00 PM,C,24
1/20/20 10:47:00 PM,C,23
1/20/20 11:17:00 PM,C,23
1/20/20 11:47:00 PM,C,23
