1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 03000000416CDD21
Is Mission Active?  true
Mission Start:  Fri Jan 17 09:51:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1535
Total Samples:  15353
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
1/17/20 9:51:00 AM,C,36
1/17/20 10:21:00 AM,C,53
1/17/20 10:51:00 AM,C,55
1/17/20 11:21:00 AM,C,54.5
1/17/20 11:51:00 AM,C,57.5
1/17/20 12:21:00 PM,C,56.5
1/17/20 12:51:00 PM,C,55
1/17/20 1:21:00 PM,C,53.5
1/17/20 1:51:00 PM,C,51
1/17/20 2:21:00 PM,C,48
1/17/20 2:51:00 PM,C,45
1/17/20 3:21:00 PM,C,38
1/17/20 3:51:00 PM,C,37
1/17/20 4:21:00 PM,C,35
1/17/20 4:51:00 PM,C,32.5
1/17/20 5:21:00 PM,C,30.5
1/17/20 5:51:00 PM,C,28
1/17/20 6:21:00 PM,C,27
1/17/20 6:51:00 PM,C,26.5
1/17/20 7:21:00 PM,C,26
1/17/20 7:51:00 PM,C,25.5
1/17/20 8:21:00 PM,C,25
1/17/20 8:51:00 PM,C,24.5
1/17/20 9:21:00 PM,C,24.5
1/17/20 9:51:00 PM,C,24.5
1/17/20 10:21:00 PM,C,23.5
1/17/20 10:51:00 PM,C,23.5
1/17/20 11:21:00 PM,C,23
1/17/20 11:51:00 PM,C,22.5
1/18/20 12:21:00 AM,C,22.5
1/18/20 12:51:00 AM,C,22
1/18/20 1:21:00 AM,C,22.5
1/18/20 1:51:00 AM,C,22.5
1/18/20 2:21:00 AM,C,22
1/18/20 2:51:00 AM,C,22
1/18/20 3:21:00 AM,C,21.5
1/18/20 3:51:00 AM,C,22
1/18/20 4:21:00 AM,C,22
1/18/20 4:51:00 AM,C,22
1/18/20 5:21:00 AM,C,22.5
1/18/20 5:51:00 AM,C,23
1/18/20 6:21:00 AM,C,23
1/18/20 6:51:00 AM,C,23.5
1/18/20 7:21:00 AM,C,23.5
1/18/20 7:51:00 AM,C,24
1/18/20 8:21:00 AM,C,24
1/18/20 8:51:00 AM,C,29.5
1/18/20 9:21:00 AM,C,42.5
1/18/20 9:51:00 AM,C,37
1/18/20 10:21:00 AM,C,50
1/18/20 10:51:00 AM,C,50
1/18/20 11:21:00 AM,C,45
1/18/20 11:51:00 AM,C,50
1/18/20 12:21:00 PM,C,51
1/18/20 12:51:00 PM,C,52.5
1/18/20 1:21:00 PM,C,46.5
1/18/20 1:51:00 PM,C,45.5
1/18/20 2:21:00 PM,C,44.5
1/18/20 2:51:00 PM,C,41
1/18/20 3:21:00 PM,C,36
1/18/20 3:51:00 PM,C,35.5
1/18/20 4:21:00 PM,C,33.5
1/18/20 4:51:00 PM,C,31
1/18/20 5:21:00 PM,C,28
1/18/20 5:51:00 PM,C,27
1/18/20 6:21:00 PM,C,25.5
1/18/20 6:51:00 PM,C,25.5
1/18/20 7:21:00 PM,C,25
1/18/20 7:51:00 PM,C,24.5
1/18/20 8:21:00 PM,C,24
1/18/20 8:51:00 PM,C,24.5
1/18/20 9:21:00 PM,C,23.5
1/18/20 9:51:00 PM,C,23.5
1/18/20 10:21:00 PM,C,24
1/18/20 10:51:00 PM,C,23.5
1/18/20 11:21:00 PM,C,23
1/18/20 11:51:00 PM,C,23
1/19/20 12:21:00 AM,C,23
1/19/20 12:51:00 AM,C,23
1/19/20 1:21:00 AM,C,23
1/19/20 1:51:00 AM,C,22
1/19/20 2:21:00 AM,C,22
1/19/20 2:51:00 AM,C,21.5
1/19/20 3:21:00 AM,C,22
1/19/20 3:51:00 AM,C,22
1/19/20 4:21:00 AM,C,22
1/19/20 4:51:00 AM,C,21.5
1/19/20 5:21:00 AM,C,22
1/19/20 5:51:00 AM,C,22
1/19/20 6:21:00 AM,C,21.5
1/19/20 6:51:00 AM,C,22
1/19/20 7:21:00 AM,C,23
1/19/20 7:51:00 AM,C,25.5
