1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7B00000041505C21
Is Mission Active?  true
Mission Start:  Fri Jun 19 08:46:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1443
Total Samples:  22664
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/19/20 8:46:00 AM,C,36.5
6/19/20 9:16:00 AM,C,46
6/19/20 9:46:00 AM,C,46.5
6/19/20 10:16:00 AM,C,49.5
6/19/20 10:46:00 AM,C,51.5
6/19/20 11:16:00 AM,C,52.5
6/19/20 11:46:00 AM,C,47.5
6/19/20 12:16:00 PM,C,43.5
6/19/20 12:46:00 PM,C,42
6/19/20 1:16:00 PM,C,44
6/19/20 1:46:00 PM,C,48
6/19/20 2:16:00 PM,C,45.5
6/19/20 2:46:00 PM,C,38.5
6/19/20 3:16:00 PM,C,38.5
6/19/20 3:46:00 PM,C,39
6/19/20 4:16:00 PM,C,39
6/19/20 4:46:00 PM,C,37.5
6/19/20 5:16:00 PM,C,35
6/19/20 5:46:00 PM,C,33.5
6/19/20 6:16:00 PM,C,32
6/19/20 6:46:00 PM,C,31
6/19/20 7:16:00 PM,C,29.5
6/19/20 7:46:00 PM,C,29
6/19/20 8:16:00 PM,C,28.5
6/19/20 8:46:00 PM,C,28.5
6/19/20 9:16:00 PM,C,28
6/19/20 9:46:00 PM,C,28
6/19/20 10:16:00 PM,C,27.5
6/19/20 10:46:00 PM,C,27.5
6/19/20 11:16:00 PM,C,27.5
6/19/20 11:46:00 PM,C,27.5
6/20/20 12:16:00 AM,C,27.5
6/20/20 12:46:00 AM,C,27.5
6/20/20 1:16:00 AM,C,27
6/20/20 1:46:00 AM,C,27.5
6/20/20 2:16:00 AM,C,27
6/20/20 2:46:00 AM,C,27
6/20/20 3:16:00 AM,C,27
6/20/20 3:46:00 AM,C,27
6/20/20 4:16:00 AM,C,26.5
6/20/20 4:46:00 AM,C,27
6/20/20 5:16:00 AM,C,27.5
6/20/20 5:46:00 AM,C,27
6/20/20 6:16:00 AM,C,27
6/20/20 6:46:00 AM,C,28
6/20/20 7:16:00 AM,C,31
6/20/20 7:46:00 AM,C,35
6/20/20 8:16:00 AM,C,38
6/20/20 8:46:00 AM,C,41
6/20/20 9:16:00 AM,C,42
6/20/20 9:46:00 AM,C,44
6/20/20 10:16:00 AM,C,45
6/20/20 10:46:00 AM,C,46
6/20/20 11:16:00 AM,C,46
6/20/20 11:46:00 AM,C,45
6/20/20 12:16:00 PM,C,46.5
6/20/20 12:46:00 PM,C,45
6/20/20 1:16:00 PM,C,43.5
6/20/20 1:46:00 PM,C,43
6/20/20 2:16:00 PM,C,39
6/20/20 2:46:00 PM,C,38
6/20/20 3:16:00 PM,C,39
6/20/20 3:46:00 PM,C,34.5
6/20/20 4:16:00 PM,C,34.5
6/20/20 4:46:00 PM,C,37
6/20/20 5:16:00 PM,C,34
6/20/20 5:46:00 PM,C,31
6/20/20 6:16:00 PM,C,31
6/20/20 6:46:00 PM,C,30.5
6/20/20 7:16:00 PM,C,29.5
6/20/20 7:46:00 PM,C,29
6/20/20 8:16:00 PM,C,28.5
6/20/20 8:46:00 PM,C,28.5
6/20/20 9:16:00 PM,C,28.5
6/20/20 9:46:00 PM,C,28
6/20/20 10:16:00 PM,C,28
6/20/20 10:46:00 PM,C,28
6/20/20 11:16:00 PM,C,28
6/20/20 11:46:00 PM,C,28
6/21/20 12:16:00 AM,C,28
6/21/20 12:46:00 AM,C,28
6/21/20 1:16:00 AM,C,28.5
6/21/20 1:46:00 AM,C,26
6/21/20 2:16:00 AM,C,26.5
6/21/20 2:46:00 AM,C,27
6/21/20 3:16:00 AM,C,27
6/21/20 3:46:00 AM,C,26.5
6/21/20 4:16:00 AM,C,26.5
6/21/20 4:46:00 AM,C,27
6/21/20 5:16:00 AM,C,26.5
6/21/20 5:46:00 AM,C,27
6/21/20 6:16:00 AM,C,27
6/21/20 6:46:00 AM,C,28
6/21/20 7:16:00 AM,C,29.5
6/21/20 7:46:00 AM,C,33.5
6/21/20 8:16:00 AM,C,35.5
6/21/20 8:46:00 AM,C,37
6/21/20 9:16:00 AM,C,29.5
6/21/20 9:46:00 AM,C,38.5
6/21/20 10:16:00 AM,C,41.5
6/21/20 10:46:00 AM,C,39.5
6/21/20 11:16:00 AM,C,40.5
6/21/20 11:46:00 AM,C,42
6/21/20 12:16:00 PM,C,40.5
6/21/20 12:46:00 PM,C,40
6/21/20 1:16:00 PM,C,42
6/21/20 1:46:00 PM,C,47.5
6/21/20 2:16:00 PM,C,44.5
6/21/20 2:46:00 PM,C,43.5
6/21/20 3:16:00 PM,C,43
6/21/20 3:46:00 PM,C,41.5
6/21/20 4:16:00 PM,C,38.5
6/21/20 4:46:00 PM,C,36.5
6/21/20 5:16:00 PM,C,34.5
6/21/20 5:46:00 PM,C,33
6/21/20 6:16:00 PM,C,32
6/21/20 6:46:00 PM,C,30.5
6/21/20 7:16:00 PM,C,30
6/21/20 7:46:00 PM,C,29.5
6/21/20 8:16:00 PM,C,29.5
6/21/20 8:46:00 PM,C,29
6/21/20 9:16:00 PM,C,29
6/21/20 9:46:00 PM,C,29
6/21/20 10:16:00 PM,C,29
6/21/20 10:46:00 PM,C,28.5
6/21/20 11:16:00 PM,C,28.5
6/21/20 11:46:00 PM,C,28.5
6/22/20 12:16:00 AM,C,28.5
6/22/20 12:46:00 AM,C,28.5
6/22/20 1:16:00 AM,C,28
6/22/20 1:46:00 AM,C,28
6/22/20 2:16:00 AM,C,28
6/22/20 2:46:00 AM,C,27.5
6/22/20 3:16:00 AM,C,27.5
6/22/20 3:46:00 AM,C,27.5
6/22/20 4:16:00 AM,C,27.5
6/22/20 4:46:00 AM,C,27.5
6/22/20 5:16:00 AM,C,27.5
6/22/20 5:46:00 AM,C,27.5
6/22/20 6:16:00 AM,C,27.5
6/22/20 6:46:00 AM,C,28.5
6/22/20 7:16:00 AM,C,30
6/22/20 7:46:00 AM,C,31.5
6/22/20 8:16:00 AM,C,34
6/22/20 8:46:00 AM,C,37
6/22/20 9:16:00 AM,C,38
6/22/20 9:46:00 AM,C,39.5
6/22/20 10:16:00 AM,C,41.5
6/22/20 10:46:00 AM,C,43.5
6/22/20 11:16:00 AM,C,43.5
6/22/20 11:46:00 AM,C,43
6/22/20 12:16:00 PM,C,43.5
6/22/20 12:46:00 PM,C,44
6/22/20 1:16:00 PM,C,43.5
6/22/20 1:46:00 PM,C,43
6/22/20 2:16:00 PM,C,41.5
6/22/20 2:46:00 PM,C,40.5
6/22/20 3:16:00 PM,C,39.5
6/22/20 3:46:00 PM,C,38
6/22/20 4:16:00 PM,C,37
6/22/20 4:46:00 PM,C,35.5
6/22/20 5:16:00 PM,C,35
6/22/20 5:46:00 PM,C,33.5
6/22/20 6:16:00 PM,C,32
6/22/20 6:46:00 PM,C,31
6/22/20 7:16:00 PM,C,30
6/22/20 7:46:00 PM,C,29.5
6/22/20 8:16:00 PM,C,29.5
6/22/20 8:46:00 PM,C,29
6/22/20 9:16:00 PM,C,29
6/22/20 9:46:00 PM,C,28.5
6/22/20 10:16:00 PM,C,28.5
6/22/20 10:46:00 PM,C,28.5
6/22/20 11:16:00 PM,C,28.5
6/22/20 11:46:00 PM,C,28
6/23/20 12:16:00 AM,C,28
6/23/20 12:46:00 AM,C,28
6/23/20 1:16:00 AM,C,28
6/23/20 1:46:00 AM,C,28
6/23/20 2:16:00 AM,C,27.5
6/23/20 2:46:00 AM,C,27.5
6/23/20 3:16:00 AM,C,27.5
6/23/20 3:46:00 AM,C,27.5
6/23/20 4:16:00 AM,C,27.5
6/23/20 4:46:00 AM,C,27.5
6/23/20 5:16:00 AM,C,27.5
6/23/20 5:46:00 AM,C,27.5
6/23/20 6:16:00 AM,C,27.5
6/23/20 6:46:00 AM,C,28.5
6/23/20 7:16:00 AM,C,29.5
6/23/20 7:46:00 AM,C,31
6/23/20 8:16:00 AM,C,34
6/23/20 8:46:00 AM,C,36.5
6/23/20 9:16:00 AM,C,38.5
6/23/20 9:46:00 AM,C,41
