1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EB000000414B0A21
Is Mission Active?  true
Mission Start:  Fri Jun 19 10:55:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1440
Total Samples:  22655
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/19/20 10:55:00 AM,C,35.5
6/19/20 11:25:00 AM,C,41.5
6/19/20 11:55:00 AM,C,44.5
6/19/20 12:25:00 PM,C,46
6/19/20 12:55:00 PM,C,48
6/19/20 1:25:00 PM,C,51
6/19/20 1:55:00 PM,C,50.5
6/19/20 2:25:00 PM,C,54.5
6/19/20 2:55:00 PM,C,36
6/19/20 3:25:00 PM,C,50.5
6/19/20 3:55:00 PM,C,50
6/19/20 4:25:00 PM,C,50
6/19/20 4:55:00 PM,C,46
6/19/20 5:25:00 PM,C,43.5
6/19/20 5:55:00 PM,C,40.5
6/19/20 6:25:00 PM,C,37.5
6/19/20 6:55:00 PM,C,31
6/19/20 7:25:00 PM,C,29
6/19/20 7:55:00 PM,C,28.5
6/19/20 8:25:00 PM,C,28.5
6/19/20 8:55:00 PM,C,28
6/19/20 9:25:00 PM,C,28
6/19/20 9:55:00 PM,C,28
6/19/20 10:25:00 PM,C,28
6/19/20 10:55:00 PM,C,27.5
6/19/20 11:25:00 PM,C,28
6/19/20 11:55:00 PM,C,28
6/20/20 12:25:00 AM,C,27.5
6/20/20 12:55:00 AM,C,27.5
6/20/20 1:25:00 AM,C,27.5
6/20/20 1:55:00 AM,C,27.5
6/20/20 2:25:00 AM,C,27.5
6/20/20 2:55:00 AM,C,27
6/20/20 3:25:00 AM,C,27
6/20/20 3:55:00 AM,C,27
6/20/20 4:25:00 AM,C,27
6/20/20 4:55:00 AM,C,27.5
6/20/20 5:25:00 AM,C,27
6/20/20 5:55:00 AM,C,27.5
6/20/20 6:25:00 AM,C,27.5
6/20/20 6:55:00 AM,C,28
6/20/20 7:25:00 AM,C,29.5
6/20/20 7:55:00 AM,C,30.5
6/20/20 8:25:00 AM,C,32
6/20/20 8:55:00 AM,C,33
6/20/20 9:25:00 AM,C,34
6/20/20 9:55:00 AM,C,35.5
6/20/20 10:25:00 AM,C,37
6/20/20 10:55:00 AM,C,39
6/20/20 11:25:00 AM,C,41
6/20/20 11:55:00 AM,C,41.5
6/20/20 12:25:00 PM,C,40.5
6/20/20 12:55:00 PM,C,42.5
6/20/20 1:25:00 PM,C,38.5
6/20/20 1:55:00 PM,C,43.5
6/20/20 2:25:00 PM,C,38.5
6/20/20 2:55:00 PM,C,34.5
6/20/20 3:25:00 PM,C,35.5
6/20/20 3:55:00 PM,C,36.5
6/20/20 4:25:00 PM,C,40.5
6/20/20 4:55:00 PM,C,34.5
6/20/20 5:25:00 PM,C,32
6/20/20 5:55:00 PM,C,37
6/20/20 6:25:00 PM,C,33.5
6/20/20 6:55:00 PM,C,30
6/20/20 7:25:00 PM,C,29
6/20/20 7:55:00 PM,C,28.5
6/20/20 8:25:00 PM,C,28.5
6/20/20 8:55:00 PM,C,28.5
6/20/20 9:25:00 PM,C,28.5
6/20/20 9:55:00 PM,C,28.5
6/20/20 10:25:00 PM,C,28
6/20/20 10:55:00 PM,C,28
6/20/20 11:25:00 PM,C,28
6/20/20 11:55:00 PM,C,28
6/21/20 12:25:00 AM,C,28
6/21/20 12:55:00 AM,C,28.5
6/21/20 1:25:00 AM,C,27
6/21/20 1:55:00 AM,C,27.5
6/21/20 2:25:00 AM,C,27
6/21/20 2:55:00 AM,C,27
6/21/20 3:25:00 AM,C,27
6/21/20 3:55:00 AM,C,26.5
6/21/20 4:25:00 AM,C,27.5
6/21/20 4:55:00 AM,C,27.5
6/21/20 5:25:00 AM,C,27.5
6/21/20 5:55:00 AM,C,27.5
6/21/20 6:25:00 AM,C,28
6/21/20 6:55:00 AM,C,29
6/21/20 7:25:00 AM,C,29.5
6/21/20 7:55:00 AM,C,30.5
6/21/20 8:25:00 AM,C,32
6/21/20 8:55:00 AM,C,33.5
6/21/20 9:25:00 AM,C,31.5
6/21/20 9:55:00 AM,C,34
6/21/20 10:25:00 AM,C,36.5
6/21/20 10:55:00 AM,C,38.5
6/21/20 11:25:00 AM,C,40.5
6/21/20 11:55:00 AM,C,43.5
6/21/20 12:25:00 PM,C,45.5
6/21/20 12:55:00 PM,C,48.5
6/21/20 1:25:00 PM,C,49.5
6/21/20 1:55:00 PM,C,47.5
6/21/20 2:25:00 PM,C,52
6/21/20 2:55:00 PM,C,51.5
6/21/20 3:25:00 PM,C,48.5
6/21/20 3:55:00 PM,C,45.5
6/21/20 4:25:00 PM,C,43.5
6/21/20 4:55:00 PM,C,41
6/21/20 5:25:00 PM,C,37
6/21/20 5:55:00 PM,C,33.5
6/21/20 6:25:00 PM,C,31
6/21/20 6:55:00 PM,C,30
6/21/20 7:25:00 PM,C,29
6/21/20 7:55:00 PM,C,29
6/21/20 8:25:00 PM,C,29
6/21/20 8:55:00 PM,C,29
6/21/20 9:25:00 PM,C,28.5
6/21/20 9:55:00 PM,C,28.5
6/21/20 10:25:00 PM,C,28.5
6/21/20 10:55:00 PM,C,29
6/21/20 11:25:00 PM,C,29
6/21/20 11:55:00 PM,C,28.5
6/22/20 12:25:00 AM,C,28.5
6/22/20 12:55:00 AM,C,28.5
6/22/20 1:25:00 AM,C,28.5
6/22/20 1:55:00 AM,C,28
6/22/20 2:25:00 AM,C,28
6/22/20 2:55:00 AM,C,28
6/22/20 3:25:00 AM,C,28
6/22/20 3:55:00 AM,C,28
6/22/20 4:25:00 AM,C,28
6/22/20 4:55:00 AM,C,28
6/22/20 5:25:00 AM,C,28
6/22/20 5:55:00 AM,C,28
6/22/20 6:25:00 AM,C,28.5
6/22/20 6:55:00 AM,C,29
6/22/20 7:25:00 AM,C,30
6/22/20 7:55:00 AM,C,31
6/22/20 8:25:00 AM,C,32
6/22/20 8:55:00 AM,C,33
6/22/20 9:25:00 AM,C,34.5
6/22/20 9:55:00 AM,C,35.5
6/22/20 10:25:00 AM,C,37
6/22/20 10:55:00 AM,C,39
6/22/20 11:25:00 AM,C,40
6/22/20 11:55:00 AM,C,41.5
6/22/20 12:25:00 PM,C,42
6/22/20 12:55:00 PM,C,43.5
6/22/20 1:25:00 PM,C,44
6/22/20 1:55:00 PM,C,44
6/22/20 2:25:00 PM,C,43.5
6/22/20 2:55:00 PM,C,43
6/22/20 3:25:00 PM,C,42
6/22/20 3:55:00 PM,C,41
6/22/20 4:25:00 PM,C,39.5
6/22/20 4:55:00 PM,C,37.5
6/22/20 5:25:00 PM,C,35.5
6/22/20 5:55:00 PM,C,32.5
6/22/20 6:25:00 PM,C,31
6/22/20 6:55:00 PM,C,30
6/22/20 7:25:00 PM,C,29
6/22/20 7:55:00 PM,C,29
6/22/20 8:25:00 PM,C,29
6/22/20 8:55:00 PM,C,28.5
6/22/20 9:25:00 PM,C,28.5
6/22/20 9:55:00 PM,C,28.5
6/22/20 10:25:00 PM,C,28.5
6/22/20 10:55:00 PM,C,28
6/22/20 11:25:00 PM,C,28
6/22/20 11:55:00 PM,C,28
6/23/20 12:25:00 AM,C,28
6/23/20 12:55:00 AM,C,28
6/23/20 1:25:00 AM,C,27.5
6/23/20 1:55:00 AM,C,27.5
6/23/20 2:25:00 AM,C,27.5
6/23/20 2:55:00 AM,C,27.5
6/23/20 3:25:00 AM,C,27.5
6/23/20 3:55:00 AM,C,27.5
6/23/20 4:25:00 AM,C,27.5
6/23/20 4:55:00 AM,C,27.5
6/23/20 5:25:00 AM,C,27.5
6/23/20 5:55:00 AM,C,27.5
6/23/20 6:25:00 AM,C,27.5
6/23/20 6:55:00 AM,C,28.5
6/23/20 7:25:00 AM,C,29.5
6/23/20 7:55:00 AM,C,31
6/23/20 8:25:00 AM,C,32
6/23/20 8:55:00 AM,C,33.5
6/23/20 9:25:00 AM,C,34.5
6/23/20 9:55:00 AM,C,36.5
6/23/20 10:25:00 AM,C,38
6/23/20 10:55:00 AM,C,40
6/23/20 11:25:00 AM,C,42.5
6/23/20 11:55:00 AM,C,44.5
6/23/20 12:25:00 PM,C,45.5
6/23/20 12:55:00 PM,C,47.5
6/23/20 1:25:00 PM,C,47.5
6/23/20 1:55:00 PM,C,49.5
6/23/20 2:25:00 PM,C,48.5
6/23/20 2:55:00 PM,C,40
6/23/20 3:25:00 PM,C,46
6/23/20 3:55:00 PM,C,47.5
6/23/20 4:25:00 PM,C,45.5
6/23/20 4:55:00 PM,C,42
6/23/20 5:25:00 PM,C,40
6/23/20 5:55:00 PM,C,36.5
6/23/20 6:25:00 PM,C,33
6/23/20 6:55:00 PM,C,30
6/23/20 7:25:00 PM,C,29.5
6/23/20 7:55:00 PM,C,29
6/23/20 8:25:00 PM,C,29
6/23/20 8:55:00 PM,C,28.5
6/23/20 9:25:00 PM,C,28.5
6/23/20 9:55:00 PM,C,28
6/23/20 10:25:00 PM,C,28
6/23/20 10:55:00 PM,C,28
6/23/20 11:25:00 PM,C,28
6/23/20 11:55:00 PM,C,27.5
6/24/20 12:25:00 AM,C,27.5
6/24/20 12:55:00 AM,C,27.5
6/24/20 1:25:00 AM,C,28
6/24/20 1:55:00 AM,C,27.5
6/24/20 2:25:00 AM,C,27
6/24/20 2:55:00 AM,C,27.5
6/24/20 3:25:00 AM,C,27
6/24/20 3:55:00 AM,C,26
6/24/20 4:25:00 AM,C,25.5
6/24/20 4:55:00 AM,C,25.5
6/24/20 5:25:00 AM,C,25
6/24/20 5:55:00 AM,C,25.5
6/24/20 6:25:00 AM,C,26
6/24/20 6:55:00 AM,C,27.5
6/24/20 7:25:00 AM,C,29.5
6/24/20 7:55:00 AM,C,32
6/24/20 8:25:00 AM,C,33
6/24/20 8:55:00 AM,C,33.5
6/24/20 9:25:00 AM,C,35
6/24/20 9:55:00 AM,C,37.5
6/24/20 10:25:00 AM,C,40
6/24/20 10:55:00 AM,C,41.5
6/24/20 11:25:00 AM,C,41
6/24/20 11:55:00 AM,C,41
6/24/20 12:25:00 PM,C,45.5
6/24/20 12:55:00 PM,C,44.5
6/24/20 1:25:00 PM,C,48.5
6/24/20 1:55:00 PM,C,48.5
6/24/20 2:25:00 PM,C,46.5
6/24/20 2:55:00 PM,C,36
6/24/20 3:25:00 PM,C,33
6/24/20 3:55:00 PM,C,26.5
6/24/20 4:25:00 PM,C,28
6/24/20 4:55:00 PM,C,28
6/24/20 5:25:00 PM,C,28
6/24/20 5:55:00 PM,C,30.5
6/24/20 6:25:00 PM,C,29.5
6/24/20 6:55:00 PM,C,27.5
6/24/20 7:25:00 PM,C,27
6/24/20 7:55:00 PM,C,27
6/24/20 8:25:00 PM,C,27
6/24/20 8:55:00 PM,C,27
6/24/20 9:25:00 PM,C,27
6/24/20 9:55:00 PM,C,27
6/24/20 10:25:00 PM,C,27
6/24/20 10:55:00 PM,C,27
6/24/20 11:25:00 PM,C,27
6/24/20 11:55:00 PM,C,27
6/25/20 12:25:00 AM,C,27
6/25/20 12:55:00 AM,C,27
6/25/20 1:25:00 AM,C,27
6/25/20 1:55:00 AM,C,27
6/25/20 2:25:00 AM,C,27
6/25/20 2:55:00 AM,C,27
6/25/20 3:25:00 AM,C,27
6/25/20 3:55:00 AM,C,27
6/25/20 4:25:00 AM,C,27
6/25/20 4:55:00 AM,C,27
6/25/20 5:25:00 AM,C,27
6/25/20 5:55:00 AM,C,27
6/25/20 6:25:00 AM,C,27.5
6/25/20 6:55:00 AM,C,28
6/25/20 7:25:00 AM,C,29
6/25/20 7:55:00 AM,C,29.5
6/25/20 8:25:00 AM,C,31
6/25/20 8:55:00 AM,C,30.5
