1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4E000000414F4021
Is Mission Active?  true
Mission Start:  Fri Jun 19 10:05:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1439
Total Samples:  22652
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/19/20 10:05:00 AM,C,33.5
6/19/20 10:35:00 AM,C,32.5
6/19/20 11:05:00 AM,C,32.5
6/19/20 11:35:00 AM,C,34
6/19/20 12:05:00 PM,C,34
6/19/20 12:35:00 PM,C,35
6/19/20 1:05:00 PM,C,34.5
6/19/20 1:35:00 PM,C,35
6/19/20 2:05:00 PM,C,36
6/19/20 2:35:00 PM,C,36.5
6/19/20 3:05:00 PM,C,32.5
6/19/20 3:35:00 PM,C,38
6/19/20 4:05:00 PM,C,37.5
6/19/20 4:35:00 PM,C,34.5
6/19/20 5:05:00 PM,C,40
6/19/20 5:35:00 PM,C,39.5
6/19/20 6:05:00 PM,C,39.5
6/19/20 6:35:00 PM,C,36.5
6/19/20 7:05:00 PM,C,32
6/19/20 7:35:00 PM,C,30.5
6/19/20 8:05:00 PM,C,30
6/19/20 8:35:00 PM,C,29.5
6/19/20 9:05:00 PM,C,29.5
6/19/20 9:35:00 PM,C,29
6/19/20 10:05:00 PM,C,28.5
6/19/20 10:35:00 PM,C,28.5
6/19/20 11:05:00 PM,C,28.5
6/19/20 11:35:00 PM,C,28.5
6/20/20 12:05:00 AM,C,28.5
6/20/20 12:35:00 AM,C,28.5
6/20/20 1:05:00 AM,C,28
6/20/20 1:35:00 AM,C,28
6/20/20 2:05:00 AM,C,28
6/20/20 2:35:00 AM,C,28
6/20/20 3:05:00 AM,C,28
6/20/20 3:35:00 AM,C,28
6/20/20 4:05:00 AM,C,27.5
6/20/20 4:35:00 AM,C,28
6/20/20 5:05:00 AM,C,28
6/20/20 5:35:00 AM,C,27.5
6/20/20 6:05:00 AM,C,27.5
6/20/20 6:35:00 AM,C,28
6/20/20 7:05:00 AM,C,28
6/20/20 7:35:00 AM,C,28.5
6/20/20 8:05:00 AM,C,29.5
6/20/20 8:35:00 AM,C,30.5
6/20/20 9:05:00 AM,C,31
6/20/20 9:35:00 AM,C,31.5
6/20/20 10:05:00 AM,C,32
6/20/20 10:35:00 AM,C,32.5
6/20/20 11:05:00 AM,C,33
6/20/20 11:35:00 AM,C,34
6/20/20 12:05:00 PM,C,34
6/20/20 12:35:00 PM,C,34
6/20/20 1:05:00 PM,C,34
6/20/20 1:35:00 PM,C,33.5
6/20/20 2:05:00 PM,C,33.5
6/20/20 2:35:00 PM,C,33
6/20/20 3:05:00 PM,C,34.5
6/20/20 3:35:00 PM,C,32
6/20/20 4:05:00 PM,C,32.5
6/20/20 4:35:00 PM,C,35.5
6/20/20 5:05:00 PM,C,32.5
6/20/20 5:35:00 PM,C,31
6/20/20 6:05:00 PM,C,33.5
