1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 80000000419A0121
Is Mission Active?  true
Mission Start:  Sat May 23 10:13:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1296
Total Samples:  21213
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/23/20 10:13:00 AM,C,41.5
5/23/20 10:43:00 AM,C,56.5
5/23/20 11:13:00 AM,C,60
5/23/20 11:43:00 AM,C,66
5/23/20 12:13:00 PM,C,66
5/23/20 12:43:00 PM,C,67.5
5/23/20 1:13:00 PM,C,65
5/23/20 1:43:00 PM,C,60.5
5/23/20 2:13:00 PM,C,48.5
5/23/20 2:43:00 PM,C,39
5/23/20 3:13:00 PM,C,37.5
5/23/20 3:43:00 PM,C,37
5/23/20 4:13:00 PM,C,36
5/23/20 4:43:00 PM,C,36.5
5/23/20 5:13:00 PM,C,37
5/23/20 5:43:00 PM,C,34
5/23/20 6:13:00 PM,C,31.5
5/23/20 6:43:00 PM,C,29.5
5/23/20 7:13:00 PM,C,28.5
5/23/20 7:43:00 PM,C,27.5
5/23/20 8:13:00 PM,C,27
5/23/20 8:43:00 PM,C,27
5/23/20 9:13:00 PM,C,26.5
5/23/20 9:43:00 PM,C,26
5/23/20 10:13:00 PM,C,25.5
5/23/20 10:43:00 PM,C,26
5/23/20 11:13:00 PM,C,26.5
5/23/20 11:43:00 PM,C,26.5
5/24/20 12:13:00 AM,C,26
5/24/20 12:43:00 AM,C,26
5/24/20 1:13:00 AM,C,26
5/24/20 1:43:00 AM,C,25.5
5/24/20 2:13:00 AM,C,25
5/24/20 2:43:00 AM,C,25
5/24/20 3:13:00 AM,C,24.5
5/24/20 3:43:00 AM,C,24.5
5/24/20 4:13:00 AM,C,25
5/24/20 4:43:00 AM,C,24.5
5/24/20 5:13:00 AM,C,24.5
5/24/20 5:43:00 AM,C,24.5
5/24/20 6:13:00 AM,C,26.5
5/24/20 6:43:00 AM,C,28.5
5/24/20 7:13:00 AM,C,30.5
5/24/20 7:43:00 AM,C,32
