1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4E000000414F4021
Is Mission Active?  true
Mission Start:  Sat May 23 10:30:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1296
Total Samples:  21213
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/23/20 10:30:00 AM,C,35
5/23/20 11:00:00 AM,C,33.5
5/23/20 11:30:00 AM,C,34.5
5/23/20 12:00:00 PM,C,34.5
5/23/20 12:30:00 PM,C,33.5
5/23/20 1:00:00 PM,C,34
5/23/20 1:30:00 PM,C,34
5/23/20 2:00:00 PM,C,34.5
5/23/20 2:30:00 PM,C,32
5/23/20 3:00:00 PM,C,31
5/23/20 3:30:00 PM,C,31
5/23/20 4:00:00 PM,C,31
5/23/20 4:30:00 PM,C,30.5
5/23/20 5:00:00 PM,C,31.5
5/23/20 5:30:00 PM,C,31
5/23/20 6:00:00 PM,C,30.5
5/23/20 6:30:00 PM,C,30
5/23/20 7:00:00 PM,C,29
5/23/20 7:30:00 PM,C,29
5/23/20 8:00:00 PM,C,28.5
5/23/20 8:30:00 PM,C,28.5
5/23/20 9:00:00 PM,C,28.5
5/23/20 9:30:00 PM,C,28.5
5/23/20 10:00:00 PM,C,28
5/23/20 10:30:00 PM,C,28
5/23/20 11:00:00 PM,C,28
5/23/20 11:30:00 PM,C,28
5/24/20 12:00:00 AM,C,27.5
5/24/20 12:30:00 AM,C,27.5
5/24/20 1:00:00 AM,C,27.5
5/24/20 1:30:00 AM,C,27.5
5/24/20 2:00:00 AM,C,27.5
5/24/20 2:30:00 AM,C,27.5
5/24/20 3:00:00 AM,C,27
5/24/20 3:30:00 AM,C,27
5/24/20 4:00:00 AM,C,27
5/24/20 4:30:00 AM,C,27
5/24/20 5:00:00 AM,C,27
5/24/20 5:30:00 AM,C,27
5/24/20 6:00:00 AM,C,27
5/24/20 6:30:00 AM,C,27.5
5/24/20 7:00:00 AM,C,28
5/24/20 7:30:00 AM,C,28.5
5/24/20 8:00:00 AM,C,29
5/24/20 8:30:00 AM,C,29.5
5/24/20 9:00:00 AM,C,30
5/24/20 9:30:00 AM,C,31
5/24/20 10:00:00 AM,C,31.5
5/24/20 10:30:00 AM,C,32
5/24/20 11:00:00 AM,C,32.5
5/24/20 11:30:00 AM,C,33
5/24/20 12:00:00 PM,C,33.5
5/24/20 12:30:00 PM,C,33
5/24/20 1:00:00 PM,C,34
5/24/20 1:30:00 PM,C,33.5
5/24/20 2:00:00 PM,C,34
5/24/20 2:30:00 PM,C,34.5
5/24/20 3:00:00 PM,C,37
5/24/20 3:30:00 PM,C,38.5
5/24/20 4:00:00 PM,C,40.5
5/24/20 4:30:00 PM,C,41.5
5/24/20 5:00:00 PM,C,44.5
5/24/20 5:30:00 PM,C,46
5/24/20 6:00:00 PM,C,43.5
5/24/20 6:30:00 PM,C,37.5
5/24/20 7:00:00 PM,C,34
5/24/20 7:30:00 PM,C,32.5
5/24/20 8:00:00 PM,C,31.5
5/24/20 8:30:00 PM,C,31
5/24/20 9:00:00 PM,C,30.5
5/24/20 9:30:00 PM,C,30
5/24/20 10:00:00 PM,C,29.5
5/24/20 10:30:00 PM,C,29.5
5/24/20 11:00:00 PM,C,29
5/24/20 11:30:00 PM,C,28.5
5/25/20 12:00:00 AM,C,29
5/25/20 12:30:00 AM,C,28.5
5/25/20 1:00:00 AM,C,28.5
5/25/20 1:30:00 AM,C,28.5
5/25/20 2:00:00 AM,C,28
5/25/20 2:30:00 AM,C,28
5/25/20 3:00:00 AM,C,28
5/25/20 3:30:00 AM,C,28
5/25/20 4:00:00 AM,C,28
5/25/20 4:30:00 AM,C,28
5/25/20 5:00:00 AM,C,28
5/25/20 5:30:00 AM,C,28
5/25/20 6:00:00 AM,C,28
5/25/20 6:30:00 AM,C,28
5/25/20 7:00:00 AM,C,29
5/25/20 7:30:00 AM,C,30
5/25/20 8:00:00 AM,C,30.5
5/25/20 8:30:00 AM,C,31.5
5/25/20 9:00:00 AM,C,32.5
5/25/20 9:30:00 AM,C,33
5/25/20 10:00:00 AM,C,33.5
5/25/20 10:30:00 AM,C,33.5
5/25/20 11:00:00 AM,C,34
5/25/20 11:30:00 AM,C,35
5/25/20 12:00:00 PM,C,35.5
5/25/20 12:30:00 PM,C,35.5
5/25/20 1:00:00 PM,C,35.5
5/25/20 1:30:00 PM,C,34.5
5/25/20 2:00:00 PM,C,36
5/25/20 2:30:00 PM,C,36
5/25/20 3:00:00 PM,C,38
5/25/20 3:30:00 PM,C,39
5/25/20 4:00:00 PM,C,39
5/25/20 4:30:00 PM,C,40.5
5/25/20 5:00:00 PM,C,41.5
5/25/20 5:30:00 PM,C,36.5
5/25/20 6:00:00 PM,C,34
5/25/20 6:30:00 PM,C,35.5
5/25/20 7:00:00 PM,C,32
5/25/20 7:30:00 PM,C,31
5/25/20 8:00:00 PM,C,30.5
5/25/20 8:30:00 PM,C,30
5/25/20 9:00:00 PM,C,30
5/25/20 9:30:00 PM,C,29.5
5/25/20 10:00:00 PM,C,29.5
5/25/20 10:30:00 PM,C,29
5/25/20 11:00:00 PM,C,28.5
5/25/20 11:30:00 PM,C,28.5
5/26/20 12:00:00 AM,C,28.5
5/26/20 12:30:00 AM,C,28.5
5/26/20 1:00:00 AM,C,28
5/26/20 1:30:00 AM,C,28
5/26/20 2:00:00 AM,C,28
5/26/20 2:30:00 AM,C,28
5/26/20 3:00:00 AM,C,28
5/26/20 3:30:00 AM,C,27.5
5/26/20 4:00:00 AM,C,27.5
5/26/20 4:30:00 AM,C,27.5
5/26/20 5:00:00 AM,C,27.5
5/26/20 5:30:00 AM,C,27.5
5/26/20 6:00:00 AM,C,27.5
5/26/20 6:30:00 AM,C,28
5/26/20 7:00:00 AM,C,28.5
5/26/20 7:30:00 AM,C,30
5/26/20 8:00:00 AM,C,30.5
5/26/20 8:30:00 AM,C,31.5
5/26/20 9:00:00 AM,C,32
5/26/20 9:30:00 AM,C,33
5/26/20 10:00:00 AM,C,33
5/26/20 10:30:00 AM,C,33.5
5/26/20 11:00:00 AM,C,34.5
5/26/20 11:30:00 AM,C,35.5
5/26/20 12:00:00 PM,C,35
5/26/20 12:30:00 PM,C,36
5/26/20 1:00:00 PM,C,35.5
5/26/20 1:30:00 PM,C,35.5
5/26/20 2:00:00 PM,C,36.5
5/26/20 2:30:00 PM,C,37.5
5/26/20 3:00:00 PM,C,39
5/26/20 3:30:00 PM,C,40
5/26/20 4:00:00 PM,C,42
5/26/20 4:30:00 PM,C,44
5/26/20 5:00:00 PM,C,46
5/26/20 5:30:00 PM,C,40
5/26/20 6:00:00 PM,C,41
5/26/20 6:30:00 PM,C,34
5/26/20 7:00:00 PM,C,32.5
5/26/20 7:30:00 PM,C,31
5/26/20 8:00:00 PM,C,30.5
5/26/20 8:30:00 PM,C,30
5/26/20 9:00:00 PM,C,29.5
5/26/20 9:30:00 PM,C,29.5
5/26/20 10:00:00 PM,C,29.5
5/26/20 10:30:00 PM,C,29.5
5/26/20 11:00:00 PM,C,29
5/26/20 11:30:00 PM,C,28.5
5/27/20 12:00:00 AM,C,28.5
5/27/20 12:30:00 AM,C,28.5
5/27/20 1:00:00 AM,C,28
5/27/20 1:30:00 AM,C,28
5/27/20 2:00:00 AM,C,28
5/27/20 2:30:00 AM,C,28
5/27/20 3:00:00 AM,C,28
5/27/20 3:30:00 AM,C,27.5
5/27/20 4:00:00 AM,C,28
5/27/20 4:30:00 AM,C,27.5
5/27/20 5:00:00 AM,C,27.5
5/27/20 5:30:00 AM,C,27.5
5/27/20 6:00:00 AM,C,27.5
5/27/20 6:30:00 AM,C,28
5/27/20 7:00:00 AM,C,28.5
5/27/20 7:30:00 AM,C,29
5/27/20 8:00:00 AM,C,30.5
5/27/20 8:30:00 AM,C,31
5/27/20 9:00:00 AM,C,32
5/27/20 9:30:00 AM,C,32
5/27/20 10:00:00 AM,C,33
5/27/20 10:30:00 AM,C,33
5/27/20 11:00:00 AM,C,34
5/27/20 11:30:00 AM,C,34
5/27/20 12:00:00 PM,C,34
5/27/20 12:30:00 PM,C,34.5
5/27/20 1:00:00 PM,C,34
5/27/20 1:30:00 PM,C,34
5/27/20 2:00:00 PM,C,34.5
5/27/20 2:30:00 PM,C,35.5
5/27/20 3:00:00 PM,C,37.5
5/27/20 3:30:00 PM,C,39
5/27/20 4:00:00 PM,C,35.5
5/27/20 4:30:00 PM,C,33
5/27/20 5:00:00 PM,C,32
5/27/20 5:30:00 PM,C,32
5/27/20 6:00:00 PM,C,32.5
5/27/20 6:30:00 PM,C,31.5
5/27/20 7:00:00 PM,C,30.5
5/27/20 7:30:00 PM,C,30.5
5/27/20 8:00:00 PM,C,30
5/27/20 8:30:00 PM,C,29.5
5/27/20 9:00:00 PM,C,29.5
5/27/20 9:30:00 PM,C,28.5
5/27/20 10:00:00 PM,C,29
5/27/20 10:30:00 PM,C,28
5/27/20 11:00:00 PM,C,27
5/27/20 11:30:00 PM,C,24.5
5/28/20 12:00:00 AM,C,23.5
5/28/20 12:30:00 AM,C,24.5
5/28/20 1:00:00 AM,C,25
5/28/20 1:30:00 AM,C,25
5/28/20 2:00:00 AM,C,24.5
5/28/20 2:30:00 AM,C,25
5/28/20 3:00:00 AM,C,24.5
5/28/20 3:30:00 AM,C,25
5/28/20 4:00:00 AM,C,25
5/28/20 4:30:00 AM,C,25
5/28/20 5:00:00 AM,C,24.5
5/28/20 5:30:00 AM,C,24.5
5/28/20 6:00:00 AM,C,24.5
5/28/20 6:30:00 AM,C,24.5
5/28/20 7:00:00 AM,C,25
5/28/20 7:30:00 AM,C,26
5/28/20 8:00:00 AM,C,27
5/28/20 8:30:00 AM,C,27.5
5/28/20 9:00:00 AM,C,29
5/28/20 9:30:00 AM,C,30.5
5/28/20 10:00:00 AM,C,31
5/28/20 10:30:00 AM,C,31.5
5/28/20 11:00:00 AM,C,32.5
5/28/20 11:30:00 AM,C,33
5/28/20 12:00:00 PM,C,33
5/28/20 12:30:00 PM,C,32.5
5/28/20 1:00:00 PM,C,31
5/28/20 1:30:00 PM,C,30
5/28/20 2:00:00 PM,C,29.5
5/28/20 2:30:00 PM,C,27
5/28/20 3:00:00 PM,C,26.5
5/28/20 3:30:00 PM,C,26.5
5/28/20 4:00:00 PM,C,27
5/28/20 4:30:00 PM,C,27.5
5/28/20 5:00:00 PM,C,27.5
5/28/20 5:30:00 PM,C,28
5/28/20 6:00:00 PM,C,28
5/28/20 6:30:00 PM,C,27.5
5/28/20 7:00:00 PM,C,26.5
5/28/20 7:30:00 PM,C,26.5
5/28/20 8:00:00 PM,C,26.5
5/28/20 8:30:00 PM,C,26.5
5/28/20 9:00:00 PM,C,26
5/28/20 9:30:00 PM,C,25.5
5/28/20 10:00:00 PM,C,25.5
5/28/20 10:30:00 PM,C,25.5
5/28/20 11:00:00 PM,C,25.5
5/28/20 11:30:00 PM,C,25.5
5/29/20 12:00:00 AM,C,25.5
5/29/20 12:30:00 AM,C,25
5/29/20 1:00:00 AM,C,25
5/29/20 1:30:00 AM,C,25
5/29/20 2:00:00 AM,C,24.5
5/29/20 2:30:00 AM,C,25
5/29/20 3:00:00 AM,C,25
