1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F800000041AE4821
Is Mission Active?  true
Mission Start:  Tue Feb 18 08:40:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1105
Total Samples:  16456
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/18/20 8:40:00 AM,C,30.5
2/18/20 9:10:00 AM,C,32.5
2/18/20 9:40:00 AM,C,33.5
2/18/20 10:10:00 AM,C,28
2/18/20 10:40:00 AM,C,32.5
2/18/20 11:10:00 AM,C,33.5
2/18/20 11:40:00 AM,C,29.5
2/18/20 12:10:00 PM,C,33.5
2/18/20 12:40:00 PM,C,29
2/18/20 1:10:00 PM,C,30.5
2/18/20 1:40:00 PM,C,31
2/18/20 2:10:00 PM,C,30
2/18/20 2:40:00 PM,C,28
2/18/20 3:10:00 PM,C,28
2/18/20 3:40:00 PM,C,27.5
2/18/20 4:10:00 PM,C,27.5
2/18/20 4:40:00 PM,C,27
2/18/20 5:10:00 PM,C,27
2/18/20 5:40:00 PM,C,26.5
2/18/20 6:10:00 PM,C,26
2/18/20 6:40:00 PM,C,25.5
2/18/20 7:10:00 PM,C,25
2/18/20 7:40:00 PM,C,25
2/18/20 8:10:00 PM,C,25
2/18/20 8:40:00 PM,C,25
2/18/20 9:10:00 PM,C,25
2/18/20 9:40:00 PM,C,25
2/18/20 10:10:00 PM,C,25
2/18/20 10:40:00 PM,C,22.5
2/18/20 11:10:00 PM,C,23
2/18/20 11:40:00 PM,C,23.5
2/19/20 12:10:00 AM,C,23.5
2/19/20 12:40:00 AM,C,23.5
2/19/20 1:10:00 AM,C,24
2/19/20 1:40:00 AM,C,24
2/19/20 2:10:00 AM,C,23
2/19/20 2:40:00 AM,C,24
2/19/20 3:10:00 AM,C,24.5
2/19/20 3:40:00 AM,C,24.5
2/19/20 4:10:00 AM,C,24
2/19/20 4:40:00 AM,C,24.5
2/19/20 5:10:00 AM,C,24.5
2/19/20 5:40:00 AM,C,24
2/19/20 6:10:00 AM,C,24
2/19/20 6:40:00 AM,C,24.5
2/19/20 7:10:00 AM,C,24.5
2/19/20 7:40:00 AM,C,27.5
2/19/20 8:10:00 AM,C,27.5
2/19/20 8:40:00 AM,C,30.5
2/19/20 9:10:00 AM,C,31.5
2/19/20 9:40:00 AM,C,30
2/19/20 10:10:00 AM,C,34
2/19/20 10:40:00 AM,C,35
2/19/20 11:10:00 AM,C,32.5
