1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6800000041560421
Is Mission Active?  true
Mission Start:  Tue Feb 18 08:35:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1105
Total Samples:  16457
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/18/20 8:35:00 AM,C,29
2/18/20 9:05:00 AM,C,26.5
2/18/20 9:35:00 AM,C,27
2/18/20 10:05:00 AM,C,27
2/18/20 10:35:00 AM,C,27
2/18/20 11:05:00 AM,C,27.5
2/18/20 11:35:00 AM,C,27.5
2/18/20 12:05:00 PM,C,28
2/18/20 12:35:00 PM,C,28
2/18/20 1:05:00 PM,C,27.5
2/18/20 1:35:00 PM,C,28
2/18/20 2:05:00 PM,C,29
2/18/20 2:35:00 PM,C,29.5
2/18/20 3:05:00 PM,C,29
2/18/20 3:35:00 PM,C,32.5
2/18/20 4:05:00 PM,C,30
2/18/20 4:35:00 PM,C,30
2/18/20 5:05:00 PM,C,30
2/18/20 5:35:00 PM,C,30.5
2/18/20 6:05:00 PM,C,31
2/18/20 6:35:00 PM,C,28
2/18/20 7:05:00 PM,C,27.5
2/18/20 7:35:00 PM,C,27
2/18/20 8:05:00 PM,C,26.5
2/18/20 8:35:00 PM,C,26.5
2/18/20 9:05:00 PM,C,26
2/18/20 9:35:00 PM,C,26
2/18/20 10:05:00 PM,C,26
2/18/20 10:35:00 PM,C,25
2/18/20 11:05:00 PM,C,25
2/18/20 11:35:00 PM,C,25
2/19/20 12:05:00 AM,C,25
2/19/20 12:35:00 AM,C,25
2/19/20 1:05:00 AM,C,25
2/19/20 1:35:00 AM,C,25
2/19/20 2:05:00 AM,C,25
2/19/20 2:35:00 AM,C,25
2/19/20 3:05:00 AM,C,25
2/19/20 3:35:00 AM,C,25
2/19/20 4:05:00 AM,C,25
2/19/20 4:35:00 AM,C,25
2/19/20 5:05:00 AM,C,25
2/19/20 5:35:00 AM,C,25
2/19/20 6:05:00 AM,C,25
2/19/20 6:35:00 AM,C,25
2/19/20 7:05:00 AM,C,25
2/19/20 7:35:00 AM,C,26
2/19/20 8:05:00 AM,C,26
2/19/20 8:35:00 AM,C,26.5
2/19/20 9:05:00 AM,C,26.5
2/19/20 9:35:00 AM,C,26.5
2/19/20 10:05:00 AM,C,27
2/19/20 10:35:00 AM,C,28
2/19/20 11:05:00 AM,C,28
2/19/20 11:35:00 AM,C,28
2/19/20 12:05:00 PM,C,28
2/19/20 12:35:00 PM,C,28.5
2/19/20 1:05:00 PM,C,29
2/19/20 1:35:00 PM,C,29
2/19/20 2:05:00 PM,C,29.5
2/19/20 2:35:00 PM,C,29.5
2/19/20 3:05:00 PM,C,29.5
2/19/20 3:35:00 PM,C,30.5
2/19/20 4:05:00 PM,C,30
2/19/20 4:35:00 PM,C,29.5
2/19/20 5:05:00 PM,C,29
2/19/20 5:35:00 PM,C,31
2/19/20 6:05:00 PM,C,28.5
2/19/20 6:35:00 PM,C,27
2/19/20 7:05:00 PM,C,26.5
2/19/20 7:35:00 PM,C,26.5
2/19/20 8:05:00 PM,C,26
2/19/20 8:35:00 PM,C,26
2/19/20 9:05:00 PM,C,26
2/19/20 9:35:00 PM,C,26
2/19/20 10:05:00 PM,C,25.5
2/19/20 10:35:00 PM,C,25.5
2/19/20 11:05:00 PM,C,25.5
