1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 1A00000041387721
Is Mission Active?  true
Mission Start:  Tue Feb 18 09:09:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1105
Total Samples:  16459
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/18/20 9:09:00 AM,C,31
2/18/20 9:39:00 AM,C,32
2/18/20 10:09:00 AM,C,26.5
2/18/20 10:39:00 AM,C,35.5
2/18/20 11:09:00 AM,C,38.5
2/18/20 11:39:00 AM,C,32.5
2/18/20 12:09:00 PM,C,43
2/18/20 12:39:00 PM,C,34.5
2/18/20 1:09:00 PM,C,37.5
2/18/20 1:39:00 PM,C,42.5
2/18/20 2:09:00 PM,C,41.5
2/18/20 2:39:00 PM,C,40
2/18/20 3:09:00 PM,C,39
2/18/20 3:39:00 PM,C,38
2/18/20 4:09:00 PM,C,36
2/18/20 4:39:00 PM,C,35
2/18/20 5:09:00 PM,C,32.5
2/18/20 5:39:00 PM,C,29.5
2/18/20 6:09:00 PM,C,26.5
2/18/20 6:39:00 PM,C,25
2/18/20 7:09:00 PM,C,24.5
2/18/20 7:39:00 PM,C,24.5
2/18/20 8:09:00 PM,C,24.5
2/18/20 8:39:00 PM,C,24.5
2/18/20 9:09:00 PM,C,24.5
2/18/20 9:39:00 PM,C,24.5
2/18/20 10:09:00 PM,C,24.5
2/18/20 10:39:00 PM,C,22.5
2/18/20 11:09:00 PM,C,22.5
2/18/20 11:39:00 PM,C,22.5
2/19/20 12:09:00 AM,C,23
2/19/20 12:39:00 AM,C,23
2/19/20 1:09:00 AM,C,23
2/19/20 1:39:00 AM,C,23.5
2/19/20 2:09:00 AM,C,22.5
2/19/20 2:39:00 AM,C,23.5
2/19/20 3:09:00 AM,C,24
2/19/20 3:39:00 AM,C,23.5
2/19/20 4:09:00 AM,C,23.5
2/19/20 4:39:00 AM,C,23.5
2/19/20 5:09:00 AM,C,23.5
2/19/20 5:39:00 AM,C,23
2/19/20 6:09:00 AM,C,23
2/19/20 6:39:00 AM,C,23.5
2/19/20 7:09:00 AM,C,24
2/19/20 7:39:00 AM,C,25.5
2/19/20 8:09:00 AM,C,25.5
2/19/20 8:39:00 AM,C,28
2/19/20 9:09:00 AM,C,30.5
2/19/20 9:39:00 AM,C,31
2/19/20 10:09:00 AM,C,35.5
2/19/20 10:39:00 AM,C,36.5
2/19/20 11:09:00 AM,C,36
2/19/20 11:39:00 AM,C,38.5
2/19/20 12:09:00 PM,C,39
2/19/20 12:39:00 PM,C,43.5
2/19/20 1:09:00 PM,C,44
2/19/20 1:39:00 PM,C,40.5
2/19/20 2:09:00 PM,C,40
2/19/20 2:39:00 PM,C,38.5
2/19/20 3:09:00 PM,C,41.5
2/19/20 3:39:00 PM,C,40
2/19/20 4:09:00 PM,C,39
2/19/20 4:39:00 PM,C,30.5
2/19/20 5:09:00 PM,C,30.5
2/19/20 5:39:00 PM,C,28
2/19/20 6:09:00 PM,C,26
2/19/20 6:39:00 PM,C,25
2/19/20 7:09:00 PM,C,25
2/19/20 7:39:00 PM,C,25
2/19/20 8:09:00 PM,C,24.5
2/19/20 8:39:00 PM,C,24.5
2/19/20 9:09:00 PM,C,24
2/19/20 9:39:00 PM,C,24.5
2/19/20 10:09:00 PM,C,23.5
2/19/20 10:39:00 PM,C,24
2/19/20 11:09:00 PM,C,24
2/19/20 11:39:00 PM,C,24
2/20/20 12:09:00 AM,C,24
2/20/20 12:39:00 AM,C,24
2/20/20 1:09:00 AM,C,24
2/20/20 1:39:00 AM,C,24
2/20/20 2:09:00 AM,C,22.5
2/20/20 2:39:00 AM,C,24
2/20/20 3:09:00 AM,C,23.5
2/20/20 3:39:00 AM,C,24
2/20/20 4:09:00 AM,C,23.5
2/20/20 4:39:00 AM,C,23.5
2/20/20 5:09:00 AM,C,24
2/20/20 5:39:00 AM,C,24
2/20/20 6:09:00 AM,C,24.5
2/20/20 6:39:00 AM,C,24.5
2/20/20 7:09:00 AM,C,25
2/20/20 7:39:00 AM,C,26.5
2/20/20 8:09:00 AM,C,27
2/20/20 8:39:00 AM,C,28.5
2/20/20 9:09:00 AM,C,29
2/20/20 9:39:00 AM,C,34
2/20/20 10:09:00 AM,C,32
2/20/20 10:39:00 AM,C,38
2/20/20 11:09:00 AM,C,38.5
2/20/20 11:39:00 AM,C,40.5
2/20/20 12:09:00 PM,C,41
2/20/20 12:39:00 PM,C,42
2/20/20 1:09:00 PM,C,42.5
2/20/20 1:39:00 PM,C,42.5
2/20/20 2:09:00 PM,C,42.5
2/20/20 2:39:00 PM,C,38
2/20/20 3:09:00 PM,C,40.5
2/20/20 3:39:00 PM,C,40
2/20/20 4:09:00 PM,C,36.5
2/20/20 4:39:00 PM,C,35
2/20/20 5:09:00 PM,C,32.5
2/20/20 5:39:00 PM,C,29
2/20/20 6:09:00 PM,C,26
2/20/20 6:39:00 PM,C,25
2/20/20 7:09:00 PM,C,25
2/20/20 7:39:00 PM,C,24.5
2/20/20 8:09:00 PM,C,24.5
2/20/20 8:39:00 PM,C,22.5
2/20/20 9:09:00 PM,C,22
2/20/20 9:39:00 PM,C,22.5
2/20/20 10:09:00 PM,C,23
2/20/20 10:39:00 PM,C,23
2/20/20 11:09:00 PM,C,22.5
2/20/20 11:39:00 PM,C,23
2/21/20 12:09:00 AM,C,22.5
2/21/20 12:39:00 AM,C,22.5
2/21/20 1:09:00 AM,C,22
2/21/20 1:39:00 AM,C,22.5
2/21/20 2:09:00 AM,C,23
2/21/20 2:39:00 AM,C,23
2/21/20 3:09:00 AM,C,22.5
2/21/20 3:39:00 AM,C,22.5
2/21/20 4:09:00 AM,C,22
2/21/20 4:39:00 AM,C,22
2/21/20 5:09:00 AM,C,22
2/21/20 5:39:00 AM,C,22
2/21/20 6:09:00 AM,C,21
2/21/20 6:39:00 AM,C,21
2/21/20 7:09:00 AM,C,23
2/21/20 7:39:00 AM,C,26.5
2/21/20 8:09:00 AM,C,28.5
2/21/20 8:39:00 AM,C,28.5
2/21/20 9:09:00 AM,C,32
2/21/20 9:39:00 AM,C,36
2/21/20 10:09:00 AM,C,37.5
2/21/20 10:39:00 AM,C,41.5
2/21/20 11:09:00 AM,C,44.5
2/21/20 11:39:00 AM,C,39
2/21/20 12:09:00 PM,C,34.5
2/21/20 12:39:00 PM,C,47.5
2/21/20 1:09:00 PM,C,53.5
2/21/20 1:39:00 PM,C,49.5
2/21/20 2:09:00 PM,C,52.5
2/21/20 2:39:00 PM,C,51.5
2/21/20 3:09:00 PM,C,47
2/21/20 3:39:00 PM,C,46
2/21/20 4:09:00 PM,C,46
2/21/20 4:39:00 PM,C,42.5
2/21/20 5:09:00 PM,C,38
2/21/20 5:39:00 PM,C,32.5
2/21/20 6:09:00 PM,C,27.5
2/21/20 6:39:00 PM,C,25.5
2/21/20 7:09:00 PM,C,25
2/21/20 7:39:00 PM,C,24
2/21/20 8:09:00 PM,C,23.5
2/21/20 8:39:00 PM,C,23
2/21/20 9:09:00 PM,C,23
2/21/20 9:39:00 PM,C,22.5
2/21/20 10:09:00 PM,C,22.5
2/21/20 10:39:00 PM,C,21.5
2/21/20 11:09:00 PM,C,21.5
2/21/20 11:39:00 PM,C,21
2/22/20 12:09:00 AM,C,21
2/22/20 12:39:00 AM,C,21.5
2/22/20 1:09:00 AM,C,22.5
2/22/20 1:39:00 AM,C,21.5
2/22/20 2:09:00 AM,C,20.5
2/22/20 2:39:00 AM,C,20.5
2/22/20 3:09:00 AM,C,21.5
2/22/20 3:39:00 AM,C,22.5
2/22/20 4:09:00 AM,C,22
2/22/20 4:39:00 AM,C,21.5
2/22/20 5:09:00 AM,C,21.5
2/22/20 5:39:00 AM,C,21
2/22/20 6:09:00 AM,C,20.5
2/22/20 6:39:00 AM,C,21.5
2/22/20 7:09:00 AM,C,22
2/22/20 7:39:00 AM,C,25
2/22/20 8:09:00 AM,C,28
2/22/20 8:39:00 AM,C,34.5
2/22/20 9:09:00 AM,C,34.5
2/22/20 9:39:00 AM,C,35.5
2/22/20 10:09:00 AM,C,38.5
2/22/20 10:39:00 AM,C,43
2/22/20 11:09:00 AM,C,45.5
2/22/20 11:39:00 AM,C,47.5
2/22/20 12:09:00 PM,C,47.5
2/22/20 12:39:00 PM,C,49
2/22/20 1:09:00 PM,C,50.5
2/22/20 1:39:00 PM,C,50
2/22/20 2:09:00 PM,C,49
2/22/20 2:39:00 PM,C,48.5
2/22/20 3:09:00 PM,C,47.5
2/22/20 3:39:00 PM,C,45.5
2/22/20 4:09:00 PM,C,44
2/22/20 4:39:00 PM,C,40.5
2/22/20 5:09:00 PM,C,38.5
2/22/20 5:39:00 PM,C,34
2/22/20 6:09:00 PM,C,29
2/22/20 6:39:00 PM,C,25.5
2/22/20 7:09:00 PM,C,24.5
2/22/20 7:39:00 PM,C,24
2/22/20 8:09:00 PM,C,23.5
2/22/20 8:39:00 PM,C,22.5
2/22/20 9:09:00 PM,C,22.5
2/22/20 9:39:00 PM,C,22
2/22/20 10:09:00 PM,C,21
2/22/20 10:39:00 PM,C,21
2/22/20 11:09:00 PM,C,20.5
2/22/20 11:39:00 PM,C,20.5
2/23/20 12:09:00 AM,C,21
2/23/20 12:39:00 AM,C,20.5
2/23/20 1:09:00 AM,C,20
2/23/20 1:39:00 AM,C,20
2/23/20 2:09:00 AM,C,20
2/23/20 2:39:00 AM,C,20
2/23/20 3:09:00 AM,C,19.5
2/23/20 3:39:00 AM,C,20
2/23/20 4:09:00 AM,C,20
2/23/20 4:39:00 AM,C,20
2/23/20 5:09:00 AM,C,20
2/23/20 5:39:00 AM,C,20
2/23/20 6:09:00 AM,C,20
2/23/20 6:39:00 AM,C,19.5
2/23/20 7:09:00 AM,C,20
2/23/20 7:39:00 AM,C,21.5
2/23/20 8:09:00 AM,C,26
2/23/20 8:39:00 AM,C,30
2/23/20 9:09:00 AM,C,35
2/23/20 9:39:00 AM,C,39.5
2/23/20 10:09:00 AM,C,42
2/23/20 10:39:00 AM,C,41
2/23/20 11:09:00 AM,C,42.5
2/23/20 11:39:00 AM,C,42
2/23/20 12:09:00 PM,C,43.5
2/23/20 12:39:00 PM,C,46.5
2/23/20 1:09:00 PM,C,46
2/23/20 1:39:00 PM,C,46
2/23/20 2:09:00 PM,C,37.5
2/23/20 2:39:00 PM,C,44
2/23/20 3:09:00 PM,C,41.5
2/23/20 3:39:00 PM,C,36.5
2/23/20 4:09:00 PM,C,39.5
2/23/20 4:39:00 PM,C,34.5
2/23/20 5:09:00 PM,C,31.5
2/23/20 5:39:00 PM,C,28.5
2/23/20 6:09:00 PM,C,26.5
2/23/20 6:39:00 PM,C,25.5
2/23/20 7:09:00 PM,C,24.5
2/23/20 7:39:00 PM,C,24
2/23/20 8:09:00 PM,C,23.5
2/23/20 8:39:00 PM,C,25
2/23/20 9:09:00 PM,C,24
2/23/20 9:39:00 PM,C,24
2/23/20 10:09:00 PM,C,23.5
2/23/20 10:39:00 PM,C,24
2/23/20 11:09:00 PM,C,23
2/23/20 11:39:00 PM,C,22
2/24/20 12:09:00 AM,C,21.5
2/24/20 12:39:00 AM,C,21
2/24/20 1:09:00 AM,C,20.5
2/24/20 1:39:00 AM,C,21.5
2/24/20 2:09:00 AM,C,22
2/24/20 2:39:00 AM,C,22
2/24/20 3:09:00 AM,C,22
2/24/20 3:39:00 AM,C,21.5
2/24/20 4:09:00 AM,C,22
2/24/20 4:39:00 AM,C,21.5
2/24/20 5:09:00 AM,C,21
2/24/20 5:39:00 AM,C,21
2/24/20 6:09:00 AM,C,20.5
2/24/20 6:39:00 AM,C,20
2/24/20 7:09:00 AM,C,21
2/24/20 7:39:00 AM,C,23
2/24/20 8:09:00 AM,C,26.5
2/24/20 8:39:00 AM,C,30.5
2/24/20 9:09:00 AM,C,38.5
2/24/20 9:39:00 AM,C,41
2/24/20 10:09:00 AM,C,37.5
2/24/20 10:39:00 AM,C,37
2/24/20 11:09:00 AM,C,49
2/24/20 11:39:00 AM,C,50
2/24/20 12:09:00 PM,C,54.5
2/24/20 12:39:00 PM,C,42.5
2/24/20 1:09:00 PM,C,38.5
2/24/20 1:39:00 PM,C,39
2/24/20 2:09:00 PM,C,47
2/24/20 2:39:00 PM,C,44.5
2/24/20 3:09:00 PM,C,39.5
2/24/20 3:39:00 PM,C,33.5
2/24/20 4:09:00 PM,C,31
2/24/20 4:39:00 PM,C,30.5
2/24/20 5:09:00 PM,C,28
2/24/20 5:39:00 PM,C,26.5
2/24/20 6:09:00 PM,C,25.5
2/24/20 6:39:00 PM,C,24.5
2/24/20 7:09:00 PM,C,24.5
2/24/20 7:39:00 PM,C,25.5
2/24/20 8:09:00 PM,C,24.5
2/24/20 8:39:00 PM,C,24
2/24/20 9:09:00 PM,C,23
2/24/20 9:39:00 PM,C,23
2/24/20 10:09:00 PM,C,23.5
2/24/20 10:39:00 PM,C,23
2/24/20 11:09:00 PM,C,23
2/24/20 11:39:00 PM,C,23
2/25/20 12:09:00 AM,C,23
2/25/20 12:39:00 AM,C,23
2/25/20 1:09:00 AM,C,23
2/25/20 1:39:00 AM,C,22.5
2/25/20 2:09:00 AM,C,23.5
2/25/20 2:39:00 AM,C,22
2/25/20 3:09:00 AM,C,22
2/25/20 3:39:00 AM,C,22
2/25/20 4:09:00 AM,C,22
2/25/20 4:39:00 AM,C,21.5
2/25/20 5:09:00 AM,C,22
2/25/20 5:39:00 AM,C,22
2/25/20 6:09:00 AM,C,22
2/25/20 6:39:00 AM,C,22
2/25/20 7:09:00 AM,C,22
2/25/20 7:39:00 AM,C,22
2/25/20 8:09:00 AM,C,23
2/25/20 8:39:00 AM,C,23
2/25/20 9:09:00 AM,C,25.5
2/25/20 9:39:00 AM,C,24
2/25/20 10:09:00 AM,C,26
2/25/20 10:39:00 AM,C,30.5
2/25/20 11:09:00 AM,C,33.5
2/25/20 11:39:00 AM,C,36.5
2/25/20 12:09:00 PM,C,37.5
2/25/20 12:39:00 PM,C,35
2/25/20 1:09:00 PM,C,39
2/25/20 1:39:00 PM,C,32
2/25/20 2:09:00 PM,C,32.5
2/25/20 2:39:00 PM,C,41.5
2/25/20 3:09:00 PM,C,34.5
2/25/20 3:39:00 PM,C,33
2/25/20 4:09:00 PM,C,29.5
2/25/20 4:39:00 PM,C,31.5
2/25/20 5:09:00 PM,C,30.5
2/25/20 5:39:00 PM,C,27.5
2/25/20 6:09:00 PM,C,25.5
2/25/20 6:39:00 PM,C,24
2/25/20 7:09:00 PM,C,24
2/25/20 7:39:00 PM,C,24
2/25/20 8:09:00 PM,C,23.5
2/25/20 8:39:00 PM,C,23.5
2/25/20 9:09:00 PM,C,23.5
2/25/20 9:39:00 PM,C,23.5
2/25/20 10:09:00 PM,C,24
2/25/20 10:39:00 PM,C,24
2/25/20 11:09:00 PM,C,23
2/25/20 11:39:00 PM,C,22.5
2/26/20 12:09:00 AM,C,23
2/26/20 12:39:00 AM,C,22.5
2/26/20 1:09:00 AM,C,23
2/26/20 1:39:00 AM,C,23
2/26/20 2:09:00 AM,C,22.5
2/26/20 2:39:00 AM,C,22.5
2/26/20 3:09:00 AM,C,23
2/26/20 3:39:00 AM,C,23
2/26/20 4:09:00 AM,C,23
2/26/20 4:39:00 AM,C,22.5
2/26/20 5:09:00 AM,C,22.5
2/26/20 5:39:00 AM,C,22.5
2/26/20 6:09:00 AM,C,22.5
2/26/20 6:39:00 AM,C,22.5
2/26/20 7:09:00 AM,C,23
2/26/20 7:39:00 AM,C,24.5
2/26/20 8:09:00 AM,C,27.5
2/26/20 8:39:00 AM,C,29
2/26/20 9:09:00 AM,C,31
2/26/20 9:39:00 AM,C,32
2/26/20 10:09:00 AM,C,37
2/26/20 10:39:00 AM,C,41
2/26/20 11:09:00 AM,C,38.5
2/26/20 11:39:00 AM,C,42.5
2/26/20 12:09:00 PM,C,43
2/26/20 12:39:00 PM,C,43
2/26/20 1:09:00 PM,C,44.5
2/26/20 1:39:00 PM,C,44
2/26/20 2:09:00 PM,C,43.5
2/26/20 2:39:00 PM,C,42.5
2/26/20 3:09:00 PM,C,41
2/26/20 3:39:00 PM,C,38.5
2/26/20 4:09:00 PM,C,36.5
2/26/20 4:39:00 PM,C,34.5
2/26/20 5:09:00 PM,C,32.5
2/26/20 5:39:00 PM,C,30
2/26/20 6:09:00 PM,C,26.5
2/26/20 6:39:00 PM,C,24.5
2/26/20 7:09:00 PM,C,24
2/26/20 7:39:00 PM,C,24
2/26/20 8:09:00 PM,C,23.5
2/26/20 8:39:00 PM,C,23.5
2/26/20 9:09:00 PM,C,23
2/26/20 9:39:00 PM,C,23
2/26/20 10:09:00 PM,C,23
2/26/20 10:39:00 PM,C,23.5
2/26/20 11:09:00 PM,C,23
2/26/20 11:39:00 PM,C,22.5
2/27/20 12:09:00 AM,C,22.5
2/27/20 12:39:00 AM,C,22.5
2/27/20 1:09:00 AM,C,22
2/27/20 1:39:00 AM,C,21.5
2/27/20 2:09:00 AM,C,21.5
2/27/20 2:39:00 AM,C,21
2/27/20 3:09:00 AM,C,20.5
2/27/20 3:39:00 AM,C,19.5
2/27/20 4:09:00 AM,C,19
2/27/20 4:39:00 AM,C,19
2/27/20 5:09:00 AM,C,19.5
2/27/20 5:39:00 AM,C,19.5
2/27/20 6:09:00 AM,C,18.5
2/27/20 6:39:00 AM,C,18.5
2/27/20 7:09:00 AM,C,19
2/27/20 7:39:00 AM,C,20.5
2/27/20 8:09:00 AM,C,23.5
2/27/20 8:39:00 AM,C,27.5
2/27/20 9:09:00 AM,C,31
2/27/20 9:39:00 AM,C,34.5
2/27/20 10:09:00 AM,C,38.5
2/27/20 10:39:00 AM,C,42.5
2/27/20 11:09:00 AM,C,43
2/27/20 11:39:00 AM,C,45
2/27/20 12:09:00 PM,C,47.5
2/27/20 12:39:00 PM,C,48
2/27/20 1:09:00 PM,C,48.5
2/27/20 1:39:00 PM,C,49.5
2/27/20 2:09:00 PM,C,48.5
2/27/20 2:39:00 PM,C,48
2/27/20 3:09:00 PM,C,47.5
2/27/20 3:39:00 PM,C,45.5
