1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5900000041AF5921
Is Mission Active?  true
Mission Start:  Tue Apr 14 08:49:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1873
Total Samples:  19926
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
4/14/20 8:49:00 AM,C,33.5
4/14/20 9:19:00 AM,C,37.5
4/14/20 9:49:00 AM,C,40
4/14/20 10:19:00 AM,C,42
4/14/20 10:49:00 AM,C,45
4/14/20 11:19:00 AM,C,47
4/14/20 11:49:00 AM,C,50
4/14/20 12:19:00 PM,C,51
4/14/20 12:49:00 PM,C,50.5
4/14/20 1:19:00 PM,C,51.5
4/14/20 1:49:00 PM,C,49
4/14/20 2:19:00 PM,C,47
4/14/20 2:49:00 PM,C,41.5
4/14/20 3:19:00 PM,C,40.5
4/14/20 3:49:00 PM,C,41.5
4/14/20 4:19:00 PM,C,34.5
4/14/20 4:49:00 PM,C,36.5
4/14/20 5:19:00 PM,C,29
4/14/20 5:49:00 PM,C,28.5
4/14/20 6:19:00 PM,C,28
4/14/20 6:49:00 PM,C,26.5
4/14/20 7:19:00 PM,C,26.5
4/14/20 7:49:00 PM,C,26.5
4/14/20 8:19:00 PM,C,26.5
4/14/20 8:49:00 PM,C,24.5
4/14/20 9:19:00 PM,C,24.5
4/14/20 9:49:00 PM,C,25.5
4/14/20 10:19:00 PM,C,25.5
4/14/20 10:49:00 PM,C,25.5
4/14/20 11:19:00 PM,C,25.5
4/14/20 11:49:00 PM,C,25.5
4/15/20 12:19:00 AM,C,25.5
4/15/20 12:49:00 AM,C,24.5
4/15/20 1:19:00 AM,C,25.5
4/15/20 1:49:00 AM,C,25.5
4/15/20 2:19:00 AM,C,25
4/15/20 2:49:00 AM,C,25
4/15/20 3:19:00 AM,C,25
4/15/20 3:49:00 AM,C,24.5
4/15/20 4:19:00 AM,C,25
4/15/20 4:49:00 AM,C,25
4/15/20 5:19:00 AM,C,24.5
4/15/20 5:49:00 AM,C,24.5
4/15/20 6:19:00 AM,C,24.5
4/15/20 6:49:00 AM,C,26.5
