1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0900000041421721
Is Mission Active?  true
Mission Start:  Tue Apr 14 09:27:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1873
Total Samples:  19928
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
4/14/20 9:27:00 AM,C,34
4/14/20 9:57:00 AM,C,42.5
4/14/20 10:27:00 AM,C,45.5
4/14/20 10:57:00 AM,C,51
4/14/20 11:27:00 AM,C,57
4/14/20 11:57:00 AM,C,58.5
4/14/20 12:27:00 PM,C,56.5
4/14/20 12:57:00 PM,C,57
4/14/20 1:27:00 PM,C,56.5
4/14/20 1:57:00 PM,C,54
4/14/20 2:27:00 PM,C,52.5
4/14/20 2:57:00 PM,C,46
4/14/20 3:27:00 PM,C,46
4/14/20 3:57:00 PM,C,47
4/14/20 4:27:00 PM,C,41.5
4/14/20 4:57:00 PM,C,33
4/14/20 5:27:00 PM,C,30.5
4/14/20 5:57:00 PM,C,30
4/14/20 6:27:00 PM,C,28
4/14/20 6:57:00 PM,C,26
4/14/20 7:27:00 PM,C,26
4/14/20 7:57:00 PM,C,26
4/14/20 8:27:00 PM,C,26
4/14/20 8:57:00 PM,C,24.5
4/14/20 9:27:00 PM,C,24
4/14/20 9:57:00 PM,C,24
4/14/20 10:27:00 PM,C,24
4/14/20 10:57:00 PM,C,24
4/14/20 11:27:00 PM,C,24
4/14/20 11:57:00 PM,C,24.5
4/15/20 12:27:00 AM,C,24
4/15/20 12:57:00 AM,C,24
4/15/20 1:27:00 AM,C,24
4/15/20 1:57:00 AM,C,24
4/15/20 2:27:00 AM,C,23.5
4/15/20 2:57:00 AM,C,23.5
4/15/20 3:27:00 AM,C,23.5
4/15/20 3:57:00 AM,C,23
4/15/20 4:27:00 AM,C,23
4/15/20 4:57:00 AM,C,23.5
4/15/20 5:27:00 AM,C,23.5
4/15/20 5:57:00 AM,C,23.5
4/15/20 6:27:00 AM,C,24
4/15/20 6:57:00 AM,C,25.5
4/15/20 7:27:00 AM,C,28.5
4/15/20 7:57:00 AM,C,33
4/15/20 8:27:00 AM,C,36
4/15/20 8:57:00 AM,C,43
4/15/20 9:27:00 AM,C,36
4/15/20 9:57:00 AM,C,44.5
4/15/20 10:27:00 AM,C,44.5
4/15/20 10:57:00 AM,C,56
4/15/20 11:27:00 AM,C,55
4/15/20 11:57:00 AM,C,58.5
4/15/20 12:27:00 PM,C,59.5
4/15/20 12:57:00 PM,C,45.5
4/15/20 1:27:00 PM,C,48
4/15/20 1:57:00 PM,C,49.5
4/15/20 2:27:00 PM,C,47
4/15/20 2:57:00 PM,C,56
4/15/20 3:27:00 PM,C,54.5
4/15/20 3:57:00 PM,C,49
4/15/20 4:27:00 PM,C,43
4/15/20 4:57:00 PM,C,34
4/15/20 5:27:00 PM,C,32
4/15/20 5:57:00 PM,C,30.5
4/15/20 6:27:00 PM,C,28
4/15/20 6:57:00 PM,C,27
4/15/20 7:27:00 PM,C,26.5
4/15/20 7:57:00 PM,C,26.5
4/15/20 8:27:00 PM,C,26
4/15/20 8:57:00 PM,C,26
4/15/20 9:27:00 PM,C,25.5
4/15/20 9:57:00 PM,C,25
4/15/20 10:27:00 PM,C,25.5
4/15/20 10:57:00 PM,C,25.5
4/15/20 11:27:00 PM,C,25
4/15/20 11:57:00 PM,C,25
4/16/20 12:27:00 AM,C,24.5
4/16/20 12:57:00 AM,C,23.5
4/16/20 1:27:00 AM,C,24.5
4/16/20 1:57:00 AM,C,24
4/16/20 2:27:00 AM,C,23.5
4/16/20 2:57:00 AM,C,22.5
4/16/20 3:27:00 AM,C,22.5
4/16/20 3:57:00 AM,C,22.5
4/16/20 4:27:00 AM,C,22.5
4/16/20 4:57:00 AM,C,22
4/16/20 5:27:00 AM,C,22
4/16/20 5:57:00 AM,C,22.5
4/16/20 6:27:00 AM,C,23
4/16/20 6:57:00 AM,C,25
4/16/20 7:27:00 AM,C,29.5
4/16/20 7:57:00 AM,C,35.5
4/16/20 8:27:00 AM,C,39.5
4/16/20 8:57:00 AM,C,40
4/16/20 9:27:00 AM,C,44.5
4/16/20 9:57:00 AM,C,43.5
4/16/20 10:27:00 AM,C,54.5
4/16/20 10:57:00 AM,C,39.5
4/16/20 11:27:00 AM,C,57.5
4/16/20 11:57:00 AM,C,29
4/16/20 12:27:00 PM,C,49.5
4/16/20 12:57:00 PM,C,54.5
4/16/20 1:27:00 PM,C,41
4/16/20 1:57:00 PM,C,59
4/16/20 2:27:00 PM,C,46
4/16/20 2:57:00 PM,C,56
4/16/20 3:27:00 PM,C,56.5
4/16/20 3:57:00 PM,C,56
4/16/20 4:27:00 PM,C,38.5
4/16/20 4:57:00 PM,C,38
4/16/20 5:27:00 PM,C,34.5
4/16/20 5:57:00 PM,C,30
4/16/20 6:27:00 PM,C,27.5
