1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: C900000041AC4E21
Is Mission Active?  true
Mission Start:  Tue Apr 14 09:10:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1873
Total Samples:  19927
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
4/14/20 9:10:00 AM,C,34.5
4/14/20 9:40:00 AM,C,41.5
4/14/20 10:10:00 AM,C,46
4/14/20 10:40:00 AM,C,48.5
4/14/20 11:10:00 AM,C,48
4/14/20 11:40:00 AM,C,48
4/14/20 12:10:00 PM,C,53
4/14/20 12:40:00 PM,C,53.5
4/14/20 1:10:00 PM,C,53.5
4/14/20 1:40:00 PM,C,59.5
4/14/20 2:10:00 PM,C,62.5
4/14/20 2:40:00 PM,C,59
4/14/20 3:10:00 PM,C,48.5
4/14/20 3:40:00 PM,C,43
4/14/20 4:10:00 PM,C,41
4/14/20 4:40:00 PM,C,30.5
4/14/20 5:10:00 PM,C,31.5
4/14/20 5:40:00 PM,C,31.5
4/14/20 6:10:00 PM,C,28.5
4/14/20 6:40:00 PM,C,27
4/14/20 7:10:00 PM,C,26
4/14/20 7:40:00 PM,C,26
4/14/20 8:10:00 PM,C,26.5
4/14/20 8:40:00 PM,C,26.5
4/14/20 9:10:00 PM,C,25
4/14/20 9:40:00 PM,C,25
4/14/20 10:10:00 PM,C,25
4/14/20 10:40:00 PM,C,25.5
4/14/20 11:10:00 PM,C,25.5
4/14/20 11:40:00 PM,C,25
4/15/20 12:10:00 AM,C,25.5
4/15/20 12:40:00 AM,C,25
4/15/20 1:10:00 AM,C,25
4/15/20 1:40:00 AM,C,25
4/15/20 2:10:00 AM,C,25
4/15/20 2:40:00 AM,C,25
4/15/20 3:10:00 AM,C,25
4/15/20 3:40:00 AM,C,25
4/15/20 4:10:00 AM,C,24
4/15/20 4:40:00 AM,C,25
4/15/20 5:10:00 AM,C,25
4/15/20 5:40:00 AM,C,25
4/15/20 6:10:00 AM,C,24.5
4/15/20 6:40:00 AM,C,24.5
4/15/20 7:10:00 AM,C,27
4/15/20 7:40:00 AM,C,31
4/15/20 8:10:00 AM,C,37
4/15/20 8:40:00 AM,C,39
4/15/20 9:10:00 AM,C,43.5
4/15/20 9:40:00 AM,C,42
4/15/20 10:10:00 AM,C,53
4/15/20 10:40:00 AM,C,54.5
4/15/20 11:10:00 AM,C,55
4/15/20 11:40:00 AM,C,58
4/15/20 12:10:00 PM,C,61.5
4/15/20 12:40:00 PM,C,60
4/15/20 1:10:00 PM,C,55.5
4/15/20 1:40:00 PM,C,63.5
4/15/20 2:10:00 PM,C,54.5
4/15/20 2:40:00 PM,C,62
4/15/20 3:10:00 PM,C,62
4/15/20 3:40:00 PM,C,59
4/15/20 4:10:00 PM,C,53
4/15/20 4:40:00 PM,C,48
4/15/20 5:10:00 PM,C,46
4/15/20 5:40:00 PM,C,37.5
4/15/20 6:10:00 PM,C,30.5
4/15/20 6:40:00 PM,C,28
4/15/20 7:10:00 PM,C,27
4/15/20 7:40:00 PM,C,27
4/15/20 8:10:00 PM,C,26.5
4/15/20 8:40:00 PM,C,26
4/15/20 9:10:00 PM,C,25.5
4/15/20 9:40:00 PM,C,25
4/15/20 10:10:00 PM,C,25.5
4/15/20 10:40:00 PM,C,25
4/15/20 11:10:00 PM,C,25
4/15/20 11:40:00 PM,C,25
4/16/20 12:10:00 AM,C,25
4/16/20 12:40:00 AM,C,25
4/16/20 1:10:00 AM,C,24.5
4/16/20 1:40:00 AM,C,24
4/16/20 2:10:00 AM,C,25
4/16/20 2:40:00 AM,C,24
4/16/20 3:10:00 AM,C,23
4/16/20 3:40:00 AM,C,24.5
4/16/20 4:10:00 AM,C,24.5
4/16/20 4:40:00 AM,C,24.5
4/16/20 5:10:00 AM,C,23
4/16/20 5:40:00 AM,C,24.5
4/16/20 6:10:00 AM,C,23.5
4/16/20 6:40:00 AM,C,24.5
4/16/20 7:10:00 AM,C,28.5
4/16/20 7:40:00 AM,C,30.5
4/16/20 8:10:00 AM,C,38.5
4/16/20 8:40:00 AM,C,41.5
4/16/20 9:10:00 AM,C,40
4/16/20 9:40:00 AM,C,41
4/16/20 10:10:00 AM,C,50
4/16/20 10:40:00 AM,C,51
4/16/20 11:10:00 AM,C,51
4/16/20 11:40:00 AM,C,60.5
4/16/20 12:10:00 PM,C,40.5
4/16/20 12:40:00 PM,C,51
4/16/20 1:10:00 PM,C,58
4/16/20 1:40:00 PM,C,55
4/16/20 2:10:00 PM,C,33.5
4/16/20 2:40:00 PM,C,52
4/16/20 3:10:00 PM,C,51.5
4/16/20 3:40:00 PM,C,50.5
4/16/20 4:10:00 PM,C,35.5
4/16/20 4:40:00 PM,C,39
4/16/20 5:10:00 PM,C,40
4/16/20 5:40:00 PM,C,33.5
4/16/20 6:10:00 PM,C,29.5
4/16/20 6:40:00 PM,C,26.5
4/16/20 7:10:00 PM,C,25.5
4/16/20 7:40:00 PM,C,25.5
4/16/20 8:10:00 PM,C,25.5
4/16/20 8:40:00 PM,C,25.5
4/16/20 9:10:00 PM,C,25
4/16/20 9:40:00 PM,C,24.5
4/16/20 10:10:00 PM,C,24.5
4/16/20 10:40:00 PM,C,24.5
4/16/20 11:10:00 PM,C,24.5
4/16/20 11:40:00 PM,C,24.5
4/17/20 12:10:00 AM,C,24
4/17/20 12:40:00 AM,C,24
4/17/20 1:10:00 AM,C,24
