1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7B00000041505C21
Is Mission Active?  true
Mission Start:  Thu Dec 19 07:59:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1393
Total Samples:  13825
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
12/19/19 7:59:00 AM,C,31.5
12/19/19 8:29:00 AM,C,35
12/19/19 8:59:00 AM,C,36
12/19/19 9:29:00 AM,C,36.5
12/19/19 9:59:00 AM,C,39
12/19/19 10:29:00 AM,C,37
12/19/19 10:59:00 AM,C,41.5
12/19/19 11:29:00 AM,C,44.5
12/19/19 11:59:00 AM,C,42.5
12/19/19 12:29:00 PM,C,46
12/19/19 12:59:00 PM,C,48.5
12/19/19 1:29:00 PM,C,44
12/19/19 1:59:00 PM,C,44
12/19/19 2:29:00 PM,C,45
12/19/19 2:59:00 PM,C,40.5
12/19/19 3:29:00 PM,C,39.5
12/19/19 3:59:00 PM,C,34.5
12/19/19 4:29:00 PM,C,34
12/19/19 4:59:00 PM,C,32.5
12/19/19 5:29:00 PM,C,29.5
12/19/19 5:59:00 PM,C,28.5
12/19/19 6:29:00 PM,C,28
12/19/19 6:59:00 PM,C,27.5
12/19/19 7:29:00 PM,C,27.5
12/19/19 7:59:00 PM,C,27
12/19/19 8:29:00 PM,C,27
12/19/19 8:59:00 PM,C,26.5
12/19/19 9:29:00 PM,C,26.5
12/19/19 9:59:00 PM,C,26.5
12/19/19 10:29:00 PM,C,26.5
12/19/19 10:59:00 PM,C,26.5
12/19/19 11:29:00 PM,C,26
12/19/19 11:59:00 PM,C,26
12/20/19 12:29:00 AM,C,26
12/20/19 12:59:00 AM,C,26
12/20/19 1:29:00 AM,C,26
12/20/19 1:59:00 AM,C,26
12/20/19 2:29:00 AM,C,26
12/20/19 2:59:00 AM,C,26
12/20/19 3:29:00 AM,C,26
12/20/19 3:59:00 AM,C,25.5
12/20/19 4:29:00 AM,C,25.5
12/20/19 4:59:00 AM,C,26
12/20/19 5:29:00 AM,C,25.5
12/20/19 5:59:00 AM,C,25.5
