1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F800000041AE4821
Is Mission Active?  true
Mission Start:  Thu Dec 19 08:30:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1394
Total Samples:  13816
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
12/19/19 8:30:00 AM,C,31.5
12/19/19 9:00:00 AM,C,34.5
12/19/19 9:30:00 AM,C,36
12/19/19 10:00:00 AM,C,35
12/19/19 10:30:00 AM,C,34.5
12/19/19 11:00:00 AM,C,37
12/19/19 11:30:00 AM,C,35.5
12/19/19 12:00:00 PM,C,35.5
12/19/19 12:30:00 PM,C,33.5
12/19/19 1:00:00 PM,C,32.5
12/19/19 1:30:00 PM,C,33
12/19/19 2:00:00 PM,C,32.5
12/19/19 2:30:00 PM,C,31
12/19/19 3:00:00 PM,C,31
12/19/19 3:30:00 PM,C,31
12/19/19 4:00:00 PM,C,29.5
12/19/19 4:30:00 PM,C,29.5
12/19/19 5:00:00 PM,C,28.5
12/19/19 5:30:00 PM,C,28
12/19/19 6:00:00 PM,C,27
12/19/19 6:30:00 PM,C,27
12/19/19 7:00:00 PM,C,27
12/19/19 7:30:00 PM,C,26.5
12/19/19 8:00:00 PM,C,26.5
12/19/19 8:30:00 PM,C,26.5
12/19/19 9:00:00 PM,C,26.5
12/19/19 9:30:00 PM,C,26.5
12/19/19 10:00:00 PM,C,26
12/19/19 10:30:00 PM,C,26
12/19/19 11:00:00 PM,C,26
12/19/19 11:30:00 PM,C,26
12/20/19 12:00:00 AM,C,26
12/20/19 12:30:00 AM,C,26
12/20/19 1:00:00 AM,C,26
12/20/19 1:30:00 AM,C,26
12/20/19 2:00:00 AM,C,25
12/20/19 2:30:00 AM,C,25
12/20/19 3:00:00 AM,C,25
12/20/19 3:30:00 AM,C,25
12/20/19 4:00:00 AM,C,25.5
12/20/19 4:30:00 AM,C,25.5
12/20/19 5:00:00 AM,C,25.5
12/20/19 5:30:00 AM,C,25
12/20/19 6:00:00 AM,C,25
12/20/19 6:30:00 AM,C,25
12/20/19 7:00:00 AM,C,25
12/20/19 7:30:00 AM,C,28
12/20/19 8:00:00 AM,C,27
12/20/19 8:30:00 AM,C,27.5
12/20/19 9:00:00 AM,C,35.5
12/20/19 9:30:00 AM,C,33.5
12/20/19 10:00:00 AM,C,34.5
