1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 03000000416CDD21
Is Mission Active?  true
Mission Start:  Thu Dec 19 09:01:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1394
Total Samples:  13818
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
12/19/19 9:01:00 AM,C,37.5
12/19/19 9:31:00 AM,C,44
12/19/19 10:01:00 AM,C,48
12/19/19 10:31:00 AM,C,49
12/19/19 11:01:00 AM,C,52
12/19/19 11:31:00 AM,C,51.5
12/19/19 12:01:00 PM,C,50.5
12/19/19 12:31:00 PM,C,50
12/19/19 1:01:00 PM,C,46.5
12/19/19 1:31:00 PM,C,49
12/19/19 2:01:00 PM,C,45
12/19/19 2:31:00 PM,C,41
12/19/19 3:01:00 PM,C,41
12/19/19 3:31:00 PM,C,35
12/19/19 4:01:00 PM,C,34
12/19/19 4:31:00 PM,C,33
12/19/19 5:01:00 PM,C,30.5
12/19/19 5:31:00 PM,C,29.5
12/19/19 6:01:00 PM,C,28
12/19/19 6:31:00 PM,C,27.5
12/19/19 7:01:00 PM,C,27
12/19/19 7:31:00 PM,C,27
12/19/19 8:01:00 PM,C,26.5
12/19/19 8:31:00 PM,C,26
12/19/19 9:01:00 PM,C,26
12/19/19 9:31:00 PM,C,25.5
12/19/19 10:01:00 PM,C,25.5
12/19/19 10:31:00 PM,C,25.5
12/19/19 11:01:00 PM,C,25
12/19/19 11:31:00 PM,C,24.5
12/20/19 12:01:00 AM,C,24.5
12/20/19 12:31:00 AM,C,24.5
12/20/19 1:01:00 AM,C,24.5
12/20/19 1:31:00 AM,C,24.5
12/20/19 2:01:00 AM,C,24
12/20/19 2:31:00 AM,C,24.5
12/20/19 3:01:00 AM,C,24.5
12/20/19 3:31:00 AM,C,24
12/20/19 4:01:00 AM,C,24
12/20/19 4:31:00 AM,C,24
12/20/19 5:01:00 AM,C,24
12/20/19 5:31:00 AM,C,23.5
12/20/19 6:01:00 AM,C,23.5
12/20/19 6:31:00 AM,C,23.5
12/20/19 7:01:00 AM,C,24.5
12/20/19 7:31:00 AM,C,26.5
12/20/19 8:01:00 AM,C,26.5
12/20/19 8:31:00 AM,C,30
12/20/19 9:01:00 AM,C,39.5
12/20/19 9:31:00 AM,C,41.5
12/20/19 10:01:00 AM,C,53.5
12/20/19 10:31:00 AM,C,54.5
12/20/19 11:01:00 AM,C,57.5
12/20/19 11:31:00 AM,C,59
12/20/19 12:01:00 PM,C,58.5
12/20/19 12:31:00 PM,C,56.5
12/20/19 1:01:00 PM,C,56
12/20/19 1:31:00 PM,C,53.5
12/20/19 2:01:00 PM,C,50
12/20/19 2:31:00 PM,C,46.5
12/20/19 3:01:00 PM,C,43
12/20/19 3:31:00 PM,C,36
12/20/19 4:01:00 PM,C,36
12/20/19 4:31:00 PM,C,34
12/20/19 5:01:00 PM,C,33
12/20/19 5:31:00 PM,C,30.5
12/20/19 6:01:00 PM,C,29
12/20/19 6:31:00 PM,C,25.5
12/20/19 7:01:00 PM,C,26
12/20/19 7:31:00 PM,C,25.5
12/20/19 8:01:00 PM,C,26
12/20/19 8:31:00 PM,C,26
12/20/19 9:01:00 PM,C,25.5
12/20/19 9:31:00 PM,C,25.5
12/20/19 10:01:00 PM,C,25.5
12/20/19 10:31:00 PM,C,24.5
12/20/19 11:01:00 PM,C,24
12/20/19 11:31:00 PM,C,24
12/21/19 12:01:00 AM,C,23.5
12/21/19 12:31:00 AM,C,23.5
12/21/19 1:01:00 AM,C,23.5
12/21/19 1:31:00 AM,C,23
12/21/19 2:01:00 AM,C,23.5
12/21/19 2:31:00 AM,C,23.5
12/21/19 3:01:00 AM,C,24
12/21/19 3:31:00 AM,C,24
12/21/19 4:01:00 AM,C,23.5
12/21/19 4:31:00 AM,C,23.5
12/21/19 5:01:00 AM,C,24
12/21/19 5:31:00 AM,C,24
12/21/19 6:01:00 AM,C,24.5
12/21/19 6:31:00 AM,C,24.5
12/21/19 7:01:00 AM,C,25
12/21/19 7:31:00 AM,C,25.5
12/21/19 8:01:00 AM,C,26.5
