1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9C000000416D0421
Is Mission Active?  true
Mission Start:  Fri Oct 16 07:52:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1640
Total Samples:  28680
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/16/20 7:52:00 AM,C,31
10/16/20 8:22:00 AM,C,28
10/16/20 8:52:00 AM,C,28.5
10/16/20 9:22:00 AM,C,26.5
10/16/20 9:52:00 AM,C,26
10/16/20 10:22:00 AM,C,25.5
10/16/20 10:52:00 AM,C,25.5
10/16/20 11:22:00 AM,C,25.5
10/16/20 11:52:00 AM,C,26
10/16/20 12:22:00 PM,C,26.5
10/16/20 12:52:00 PM,C,27
10/16/20 1:22:00 PM,C,26.5
10/16/20 1:52:00 PM,C,27.5
10/16/20 2:22:00 PM,C,25.5
10/16/20 2:52:00 PM,C,25.5
10/16/20 3:22:00 PM,C,25.5
10/16/20 3:52:00 PM,C,27
10/16/20 4:22:00 PM,C,26.5
10/16/20 4:52:00 PM,C,24
10/16/20 5:22:00 PM,C,24
10/16/20 5:52:00 PM,C,24.5
10/16/20 6:22:00 PM,C,23.5
10/16/20 6:52:00 PM,C,23.5
10/16/20 7:22:00 PM,C,23.5
10/16/20 7:52:00 PM,C,23
10/16/20 8:22:00 PM,C,23.5
10/16/20 8:52:00 PM,C,24
10/16/20 9:22:00 PM,C,24
10/16/20 9:52:00 PM,C,24.5
10/16/20 10:22:00 PM,C,24
10/16/20 10:52:00 PM,C,24
10/16/20 11:22:00 PM,C,25
10/16/20 11:52:00 PM,C,24.5
10/17/20 12:22:00 AM,C,24.5
10/17/20 12:52:00 AM,C,24.5
10/17/20 1:22:00 AM,C,24.5
10/17/20 1:52:00 AM,C,24.5
10/17/20 2:22:00 AM,C,24.5
10/17/20 2:52:00 AM,C,24.5
10/17/20 3:22:00 AM,C,24.5
10/17/20 3:52:00 AM,C,24.5
10/17/20 4:22:00 AM,C,24
10/17/20 4:52:00 AM,C,24.5
10/17/20 5:22:00 AM,C,24.5
10/17/20 5:52:00 AM,C,24.5
10/17/20 6:22:00 AM,C,24.5
10/17/20 6:52:00 AM,C,26
10/17/20 7:22:00 AM,C,26.5
10/17/20 7:52:00 AM,C,32
10/17/20 8:22:00 AM,C,31
10/17/20 8:52:00 AM,C,39
10/17/20 9:22:00 AM,C,42
10/17/20 9:52:00 AM,C,30
10/17/20 10:22:00 AM,C,25.5
10/17/20 10:52:00 AM,C,43
10/17/20 11:22:00 AM,C,49.5
10/17/20 11:52:00 AM,C,50
10/17/20 12:22:00 PM,C,49.5
10/17/20 12:52:00 PM,C,52.5
10/17/20 1:22:00 PM,C,40
10/17/20 1:52:00 PM,C,45
10/17/20 2:22:00 PM,C,46
10/17/20 2:52:00 PM,C,37.5
10/17/20 3:22:00 PM,C,40.5
10/17/20 3:52:00 PM,C,37
10/17/20 4:22:00 PM,C,33.5
10/17/20 4:52:00 PM,C,28
10/17/20 5:22:00 PM,C,27
10/17/20 5:52:00 PM,C,26
10/17/20 6:22:00 PM,C,25.5
10/17/20 6:52:00 PM,C,25
10/17/20 7:22:00 PM,C,25
10/17/20 7:52:00 PM,C,25.5
10/17/20 8:22:00 PM,C,25.5
10/17/20 8:52:00 PM,C,25
10/17/20 9:22:00 PM,C,24.5
10/17/20 9:52:00 PM,C,24.5
10/17/20 10:22:00 PM,C,24
10/17/20 10:52:00 PM,C,24
10/17/20 11:22:00 PM,C,24
10/17/20 11:52:00 PM,C,24
10/18/20 12:22:00 AM,C,23.5
10/18/20 12:52:00 AM,C,24
10/18/20 1:22:00 AM,C,23.5
10/18/20 1:52:00 AM,C,23.5
10/18/20 2:22:00 AM,C,23.5
10/18/20 2:52:00 AM,C,23
10/18/20 3:22:00 AM,C,23
10/18/20 3:52:00 AM,C,23
10/18/20 4:22:00 AM,C,23
10/18/20 4:52:00 AM,C,23
10/18/20 5:22:00 AM,C,23
10/18/20 5:52:00 AM,C,23
10/18/20 6:22:00 AM,C,23.5
10/18/20 6:52:00 AM,C,24
10/18/20 7:22:00 AM,C,26.5
10/18/20 7:52:00 AM,C,31
10/18/20 8:22:00 AM,C,27
10/18/20 8:52:00 AM,C,34
10/18/20 9:22:00 AM,C,42
10/18/20 9:52:00 AM,C,46.5
10/18/20 10:22:00 AM,C,48
10/18/20 10:52:00 AM,C,48
10/18/20 11:22:00 AM,C,49.5
10/18/20 11:52:00 AM,C,49
10/18/20 12:22:00 PM,C,45
10/18/20 12:52:00 PM,C,48.5
10/18/20 1:22:00 PM,C,40.5
10/18/20 1:52:00 PM,C,42.5
10/18/20 2:22:00 PM,C,44
10/18/20 2:52:00 PM,C,39
10/18/20 3:22:00 PM,C,39
10/18/20 3:52:00 PM,C,37.5
10/18/20 4:22:00 PM,C,32.5
10/18/20 4:52:00 PM,C,29.5
10/18/20 5:22:00 PM,C,28.5
10/18/20 5:52:00 PM,C,27.5
10/18/20 6:22:00 PM,C,26.5
10/18/20 6:52:00 PM,C,26
10/18/20 7:22:00 PM,C,25.5
10/18/20 7:52:00 PM,C,25
10/18/20 8:22:00 PM,C,24.5
10/18/20 8:52:00 PM,C,25
10/18/20 9:22:00 PM,C,24.5
10/18/20 9:52:00 PM,C,24.5
10/18/20 10:22:00 PM,C,24
10/18/20 10:52:00 PM,C,23.5
10/18/20 11:22:00 PM,C,23
10/18/20 11:52:00 PM,C,22.5
10/19/20 12:22:00 AM,C,22.5
10/19/20 12:52:00 AM,C,23
10/19/20 1:22:00 AM,C,22.5
10/19/20 1:52:00 AM,C,22.5
10/19/20 2:22:00 AM,C,22
10/19/20 2:52:00 AM,C,22
10/19/20 3:22:00 AM,C,21.5
10/19/20 3:52:00 AM,C,21.5
10/19/20 4:22:00 AM,C,21.5
10/19/20 4:52:00 AM,C,21
10/19/20 5:22:00 AM,C,21
10/19/20 5:52:00 AM,C,21.5
10/19/20 6:22:00 AM,C,21
10/19/20 6:52:00 AM,C,21.5
10/19/20 7:22:00 AM,C,27.5
10/19/20 7:52:00 AM,C,34.5
10/19/20 8:22:00 AM,C,39
10/19/20 8:52:00 AM,C,40
10/19/20 9:22:00 AM,C,50.5
10/19/20 9:52:00 AM,C,50
10/19/20 10:22:00 AM,C,50
10/19/20 10:52:00 AM,C,51
10/19/20 11:22:00 AM,C,52.5
10/19/20 11:52:00 AM,C,51
10/19/20 12:22:00 PM,C,46
10/19/20 12:52:00 PM,C,49
10/19/20 1:22:00 PM,C,43.5
10/19/20 1:52:00 PM,C,41.5
10/19/20 2:22:00 PM,C,39
10/19/20 2:52:00 PM,C,40
10/19/20 3:22:00 PM,C,40.5
10/19/20 3:52:00 PM,C,43
10/19/20 4:22:00 PM,C,34.5
10/19/20 4:52:00 PM,C,33
10/19/20 5:22:00 PM,C,31.5
10/19/20 5:52:00 PM,C,29
10/19/20 6:22:00 PM,C,27.5
10/19/20 6:52:00 PM,C,26.5
10/19/20 7:22:00 PM,C,25.5
10/19/20 7:52:00 PM,C,24.5
10/19/20 8:22:00 PM,C,25
10/19/20 8:52:00 PM,C,25
10/19/20 9:22:00 PM,C,24
10/19/20 9:52:00 PM,C,24.5
10/19/20 10:22:00 PM,C,23.5
10/19/20 10:52:00 PM,C,23.5
10/19/20 11:22:00 PM,C,24
10/19/20 11:52:00 PM,C,23.5
10/20/20 12:22:00 AM,C,22.5
10/20/20 12:52:00 AM,C,23
10/20/20 1:22:00 AM,C,23
10/20/20 1:52:00 AM,C,22.5
10/20/20 2:22:00 AM,C,22.5
10/20/20 2:52:00 AM,C,21.5
10/20/20 3:22:00 AM,C,21
10/20/20 3:52:00 AM,C,21
10/20/20 4:22:00 AM,C,21
10/20/20 4:52:00 AM,C,21.5
10/20/20 5:22:00 AM,C,21
10/20/20 5:52:00 AM,C,21.5
10/20/20 6:22:00 AM,C,22
10/20/20 6:52:00 AM,C,22
10/20/20 7:22:00 AM,C,27
10/20/20 7:52:00 AM,C,32.5
10/20/20 8:22:00 AM,C,35.5
10/20/20 8:52:00 AM,C,42.5
10/20/20 9:22:00 AM,C,46
10/20/20 9:52:00 AM,C,53
10/20/20 10:22:00 AM,C,55.5
10/20/20 10:52:00 AM,C,56
10/20/20 11:22:00 AM,C,54
