1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: E100000041808C21
Is Mission Active?  true
Mission Start:  Fri Oct 16 07:41:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1640
Total Samples:  28573
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/16/20 7:41:00 AM,C,34
10/16/20 8:11:00 AM,C,28.5
10/16/20 8:41:00 AM,C,28.5
10/16/20 9:11:00 AM,C,26
10/16/20 9:41:00 AM,C,28
10/16/20 10:11:00 AM,C,26
10/16/20 10:41:00 AM,C,25.5
10/16/20 11:11:00 AM,C,25.5
10/16/20 11:41:00 AM,C,26
10/16/20 12:11:00 PM,C,26
10/16/20 12:41:00 PM,C,27.5
10/16/20 1:11:00 PM,C,27.5
10/16/20 1:41:00 PM,C,27
10/16/20 2:11:00 PM,C,26
10/16/20 2:41:00 PM,C,25.5
10/16/20 3:11:00 PM,C,26
10/16/20 3:41:00 PM,C,26.5
10/16/20 4:11:00 PM,C,27
10/16/20 4:41:00 PM,C,25
10/16/20 5:11:00 PM,C,24
10/16/20 5:41:00 PM,C,24.5
10/16/20 6:11:00 PM,C,23.5
10/16/20 6:41:00 PM,C,23.5
10/16/20 7:11:00 PM,C,23.5
10/16/20 7:41:00 PM,C,23
10/16/20 8:11:00 PM,C,23.5
10/16/20 8:41:00 PM,C,24
10/16/20 9:11:00 PM,C,24.5
10/16/20 9:41:00 PM,C,24
10/16/20 10:11:00 PM,C,24
10/16/20 10:41:00 PM,C,24.5
10/16/20 11:11:00 PM,C,25
10/16/20 11:41:00 PM,C,25
10/17/20 12:11:00 AM,C,25
10/17/20 12:41:00 AM,C,25
10/17/20 1:11:00 AM,C,25
10/17/20 1:41:00 AM,C,25
10/17/20 2:11:00 AM,C,25.5
10/17/20 2:41:00 AM,C,25
10/17/20 3:11:00 AM,C,25
10/17/20 3:41:00 AM,C,25
10/17/20 4:11:00 AM,C,24.5
10/17/20 4:41:00 AM,C,25
10/17/20 5:11:00 AM,C,25
10/17/20 5:41:00 AM,C,25
10/17/20 6:11:00 AM,C,25.5
10/17/20 6:41:00 AM,C,26.5
10/17/20 7:11:00 AM,C,26.5
10/17/20 7:41:00 AM,C,29
10/17/20 8:11:00 AM,C,30
10/17/20 8:41:00 AM,C,36
10/17/20 9:11:00 AM,C,38.5
10/17/20 9:41:00 AM,C,33
10/17/20 10:11:00 AM,C,25
10/17/20 10:41:00 AM,C,33
10/17/20 11:11:00 AM,C,47
10/17/20 11:41:00 AM,C,55.5
10/17/20 12:11:00 PM,C,56
10/17/20 12:41:00 PM,C,60.5
10/17/20 1:11:00 PM,C,58.5
10/17/20 1:41:00 PM,C,58.5
10/17/20 2:11:00 PM,C,58.5
10/17/20 2:41:00 PM,C,50.5
10/17/20 3:11:00 PM,C,52.5
10/17/20 3:41:00 PM,C,52
10/17/20 4:11:00 PM,C,42.5
10/17/20 4:41:00 PM,C,28
10/17/20 5:11:00 PM,C,27
10/17/20 5:41:00 PM,C,26
10/17/20 6:11:00 PM,C,25
10/17/20 6:41:00 PM,C,25
10/17/20 7:11:00 PM,C,24.5
