1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4E00000041935F21
Is Mission Active?  true
Mission Start:  Fri Oct 16 08:30:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1639
Total Samples:  28574
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/16/20 8:30:00 AM,C,29.5
10/16/20 9:00:00 AM,C,29
10/16/20 9:30:00 AM,C,27
10/16/20 10:00:00 AM,C,26.5
10/16/20 10:30:00 AM,C,26.5
10/16/20 11:00:00 AM,C,26.5
10/16/20 11:30:00 AM,C,26.5
10/16/20 12:00:00 PM,C,26.5
10/16/20 12:30:00 PM,C,28
10/16/20 1:00:00 PM,C,28
10/16/20 1:30:00 PM,C,27
10/16/20 2:00:00 PM,C,27
10/16/20 2:30:00 PM,C,26
10/16/20 3:00:00 PM,C,26
10/16/20 3:30:00 PM,C,26.5
10/16/20 4:00:00 PM,C,28
10/16/20 4:30:00 PM,C,25.5
10/16/20 5:00:00 PM,C,23.5
10/16/20 5:30:00 PM,C,24.5
10/16/20 6:00:00 PM,C,25
10/16/20 6:30:00 PM,C,24
10/16/20 7:00:00 PM,C,24
10/16/20 7:30:00 PM,C,23.5
10/16/20 8:00:00 PM,C,23.5
10/16/20 8:30:00 PM,C,23.5
10/16/20 9:00:00 PM,C,24
10/16/20 9:30:00 PM,C,24
10/16/20 10:00:00 PM,C,25
10/16/20 10:30:00 PM,C,24.5
10/16/20 11:00:00 PM,C,25
10/16/20 11:30:00 PM,C,25.5
10/17/20 12:00:00 AM,C,25.5
10/17/20 12:30:00 AM,C,25.5
10/17/20 1:00:00 AM,C,25.5
10/17/20 1:30:00 AM,C,25.5
10/17/20 2:00:00 AM,C,26
10/17/20 2:30:00 AM,C,26
10/17/20 3:00:00 AM,C,25.5
10/17/20 3:30:00 AM,C,25.5
