1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 80000000419A0121
Is Mission Active?  true
Mission Start:  Fri Oct 16 08:48:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1639
Total Samples:  28565
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/16/20 8:48:00 AM,C,29
10/16/20 9:18:00 AM,C,26
10/16/20 9:48:00 AM,C,27
10/16/20 10:18:00 AM,C,25.5
10/16/20 10:48:00 AM,C,25.5
10/16/20 11:18:00 AM,C,25.5
10/16/20 11:48:00 AM,C,26
10/16/20 12:18:00 PM,C,26.5
10/16/20 12:48:00 PM,C,28
10/16/20 1:18:00 PM,C,27.5
10/16/20 1:48:00 PM,C,27
10/16/20 2:18:00 PM,C,25.5
10/16/20 2:48:00 PM,C,25.5
10/16/20 3:18:00 PM,C,25.5
10/16/20 3:48:00 PM,C,26
10/16/20 4:18:00 PM,C,26.5
10/16/20 4:48:00 PM,C,24.5
10/16/20 5:18:00 PM,C,23.5
10/16/20 5:48:00 PM,C,24
10/16/20 6:18:00 PM,C,23.5
10/16/20 6:48:00 PM,C,23.5
10/16/20 7:18:00 PM,C,23
10/16/20 7:48:00 PM,C,23
10/16/20 8:18:00 PM,C,23
10/16/20 8:48:00 PM,C,23.5
10/16/20 9:18:00 PM,C,23.5
10/16/20 9:48:00 PM,C,24
10/16/20 10:18:00 PM,C,24
10/16/20 10:48:00 PM,C,24
10/16/20 11:18:00 PM,C,25
10/16/20 11:48:00 PM,C,25
10/17/20 12:18:00 AM,C,24.5
10/17/20 12:48:00 AM,C,24.5
10/17/20 1:18:00 AM,C,24.5
10/17/20 1:48:00 AM,C,24.5
10/17/20 2:18:00 AM,C,25
10/17/20 2:48:00 AM,C,24.5
10/17/20 3:18:00 AM,C,24.5
10/17/20 3:48:00 AM,C,24.5
10/17/20 4:18:00 AM,C,24
10/17/20 4:48:00 AM,C,24
10/17/20 5:18:00 AM,C,24.5
10/17/20 5:48:00 AM,C,24.5
10/17/20 6:18:00 AM,C,24.5
10/17/20 6:48:00 AM,C,25.5
10/17/20 7:18:00 AM,C,26.5
10/17/20 7:48:00 AM,C,27
10/17/20 8:18:00 AM,C,29
10/17/20 8:48:00 AM,C,30
10/17/20 9:18:00 AM,C,32.5
10/17/20 9:48:00 AM,C,29.5
10/17/20 10:18:00 AM,C,25.5
10/17/20 10:48:00 AM,C,37
10/17/20 11:18:00 AM,C,44.5
10/17/20 11:48:00 AM,C,48
10/17/20 12:18:00 PM,C,47.5
10/17/20 12:48:00 PM,C,50.5
10/17/20 1:18:00 PM,C,51.5
10/17/20 1:48:00 PM,C,50
10/17/20 2:18:00 PM,C,51
10/17/20 2:48:00 PM,C,40.5
10/17/20 3:18:00 PM,C,45
10/17/20 3:48:00 PM,C,44.5
10/17/20 4:18:00 PM,C,38.5
10/17/20 4:48:00 PM,C,27.5
10/17/20 5:18:00 PM,C,26.5
10/17/20 5:48:00 PM,C,25.5
10/17/20 6:18:00 PM,C,25
10/17/20 6:48:00 PM,C,25
10/17/20 7:18:00 PM,C,25
10/17/20 7:48:00 PM,C,25
10/17/20 8:18:00 PM,C,24.5
10/17/20 8:48:00 PM,C,24.5
10/17/20 9:18:00 PM,C,24.5
10/17/20 9:48:00 PM,C,24
10/17/20 10:18:00 PM,C,24
10/17/20 10:48:00 PM,C,24
10/17/20 11:18:00 PM,C,24
10/17/20 11:48:00 PM,C,24.5
10/18/20 12:18:00 AM,C,23.5
10/18/20 12:48:00 AM,C,24
10/18/20 1:18:00 AM,C,23
10/18/20 1:48:00 AM,C,23
10/18/20 2:18:00 AM,C,23.5
10/18/20 2:48:00 AM,C,23
10/18/20 3:18:00 AM,C,23
10/18/20 3:48:00 AM,C,23.5
10/18/20 4:18:00 AM,C,23
10/18/20 4:48:00 AM,C,23
10/18/20 5:18:00 AM,C,22.5
10/18/20 5:48:00 AM,C,23
10/18/20 6:18:00 AM,C,23
10/18/20 6:48:00 AM,C,23.5
10/18/20 7:18:00 AM,C,25
10/18/20 7:48:00 AM,C,26
10/18/20 8:18:00 AM,C,25.5
10/18/20 8:48:00 AM,C,27.5
10/18/20 9:18:00 AM,C,32.5
10/18/20 9:48:00 AM,C,38
10/18/20 10:18:00 AM,C,41
10/18/20 10:48:00 AM,C,41.5
10/18/20 11:18:00 AM,C,42.5
10/18/20 11:48:00 AM,C,42
10/18/20 12:18:00 PM,C,44.5
10/18/20 12:48:00 PM,C,45
10/18/20 1:18:00 PM,C,44
10/18/20 1:48:00 PM,C,47.5
10/18/20 2:18:00 PM,C,47
10/18/20 2:48:00 PM,C,43
10/18/20 3:18:00 PM,C,42
10/18/20 3:48:00 PM,C,38.5
10/18/20 4:18:00 PM,C,32
10/18/20 4:48:00 PM,C,29
10/18/20 5:18:00 PM,C,27.5
10/18/20 5:48:00 PM,C,27
10/18/20 6:18:00 PM,C,26
10/18/20 6:48:00 PM,C,25.5
10/18/20 7:18:00 PM,C,25
10/18/20 7:48:00 PM,C,24.5
10/18/20 8:18:00 PM,C,24
10/18/20 8:48:00 PM,C,24.5
10/18/20 9:18:00 PM,C,24
10/18/20 9:48:00 PM,C,24
10/18/20 10:18:00 PM,C,24
10/18/20 10:48:00 PM,C,23.5
10/18/20 11:18:00 PM,C,23
10/18/20 11:48:00 PM,C,22.5
10/19/20 12:18:00 AM,C,22
10/19/20 12:48:00 AM,C,23
10/19/20 1:18:00 AM,C,22.5
10/19/20 1:48:00 AM,C,22.5
10/19/20 2:18:00 AM,C,22.5
10/19/20 2:48:00 AM,C,22
10/19/20 3:18:00 AM,C,21.5
10/19/20 3:48:00 AM,C,21
10/19/20 4:18:00 AM,C,21.5
10/19/20 4:48:00 AM,C,21
10/19/20 5:18:00 AM,C,21
10/19/20 5:48:00 AM,C,21.5
10/19/20 6:18:00 AM,C,21
10/19/20 6:48:00 AM,C,21.5
10/19/20 7:18:00 AM,C,22.5
10/19/20 7:48:00 AM,C,23
10/19/20 8:18:00 AM,C,29
10/19/20 8:48:00 AM,C,26.5
10/19/20 9:18:00 AM,C,40
10/19/20 9:48:00 AM,C,45.5
10/19/20 10:18:00 AM,C,50
10/19/20 10:48:00 AM,C,52.5
10/19/20 11:18:00 AM,C,55
10/19/20 11:48:00 AM,C,58
10/19/20 12:18:00 PM,C,57.5
10/19/20 12:48:00 PM,C,57.5
