1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: E100000041808C21
Is Mission Active?  true
Mission Start:  Mon Sep 21 07:39:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1201
Total Samples:  26933
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/21/20 7:39:00 AM,C,33.5
9/21/20 8:09:00 AM,C,36
9/21/20 8:39:00 AM,C,42
9/21/20 9:09:00 AM,C,46.5
9/21/20 9:39:00 AM,C,49
9/21/20 10:09:00 AM,C,53
9/21/20 10:39:00 AM,C,56
9/21/20 11:09:00 AM,C,57.5
9/21/20 11:39:00 AM,C,50.5
9/21/20 12:09:00 PM,C,56
9/21/20 12:39:00 PM,C,59
9/21/20 1:09:00 PM,C,60
9/21/20 1:39:00 PM,C,59.5
9/21/20 2:09:00 PM,C,53.5
9/21/20 2:39:00 PM,C,51.5
9/21/20 3:09:00 PM,C,51
9/21/20 3:39:00 PM,C,44
9/21/20 4:09:00 PM,C,40.5
9/21/20 4:39:00 PM,C,41
9/21/20 5:09:00 PM,C,33.5
9/21/20 5:39:00 PM,C,31.5
9/21/20 6:09:00 PM,C,30
9/21/20 6:39:00 PM,C,29
9/21/20 7:09:00 PM,C,28.5
9/21/20 7:39:00 PM,C,28
9/21/20 8:09:00 PM,C,27.5
9/21/20 8:39:00 PM,C,27.5
9/21/20 9:09:00 PM,C,27
9/21/20 9:39:00 PM,C,26.5
9/21/20 10:09:00 PM,C,26.5
9/21/20 10:39:00 PM,C,26.5
9/21/20 11:09:00 PM,C,26
9/21/20 11:39:00 PM,C,26
9/22/20 12:09:00 AM,C,26.5
9/22/20 12:39:00 AM,C,26
9/22/20 1:09:00 AM,C,26.5
9/22/20 1:39:00 AM,C,26.5
9/22/20 2:09:00 AM,C,26
9/22/20 2:39:00 AM,C,26
9/22/20 3:09:00 AM,C,26
9/22/20 3:39:00 AM,C,25.5
9/22/20 4:09:00 AM,C,26
9/22/20 4:39:00 AM,C,26
9/22/20 5:09:00 AM,C,26
9/22/20 5:39:00 AM,C,25.5
9/22/20 6:09:00 AM,C,26
9/22/20 6:39:00 AM,C,27
9/22/20 7:09:00 AM,C,28.5
9/22/20 7:39:00 AM,C,32
9/22/20 8:09:00 AM,C,39.5
9/22/20 8:39:00 AM,C,35.5
9/22/20 9:09:00 AM,C,42.5
9/22/20 9:39:00 AM,C,39.5
9/22/20 10:09:00 AM,C,38
9/22/20 10:39:00 AM,C,40
9/22/20 11:09:00 AM,C,40.5
9/22/20 11:39:00 AM,C,47
9/22/20 12:09:00 PM,C,46
9/22/20 12:39:00 PM,C,46.5
9/22/20 1:09:00 PM,C,42.5
9/22/20 1:39:00 PM,C,53
9/22/20 2:09:00 PM,C,53.5
9/22/20 2:39:00 PM,C,49
9/22/20 3:09:00 PM,C,43
9/22/20 3:39:00 PM,C,43
9/22/20 4:09:00 PM,C,41.5
9/22/20 4:39:00 PM,C,40
9/22/20 5:09:00 PM,C,35.5
9/22/20 5:39:00 PM,C,31.5
9/22/20 6:09:00 PM,C,30.5
9/22/20 6:39:00 PM,C,29.5
9/22/20 7:09:00 PM,C,29
9/22/20 7:39:00 PM,C,29
9/22/20 8:09:00 PM,C,28.5
9/22/20 8:39:00 PM,C,28.5
9/22/20 9:09:00 PM,C,27.5
9/22/20 9:39:00 PM,C,27.5
9/22/20 10:09:00 PM,C,27.5
9/22/20 10:39:00 PM,C,27
9/22/20 11:09:00 PM,C,27
9/22/20 11:39:00 PM,C,27
9/23/20 12:09:00 AM,C,26.5
9/23/20 12:39:00 AM,C,26
9/23/20 1:09:00 AM,C,26
9/23/20 1:39:00 AM,C,26
9/23/20 2:09:00 AM,C,26.5
9/23/20 2:39:00 AM,C,26
9/23/20 3:09:00 AM,C,26
9/23/20 3:39:00 AM,C,25.5
9/23/20 4:09:00 AM,C,25.5
9/23/20 4:39:00 AM,C,26
9/23/20 5:09:00 AM,C,26
9/23/20 5:39:00 AM,C,26
9/23/20 6:09:00 AM,C,26.5
9/23/20 6:39:00 AM,C,26.5
9/23/20 7:09:00 AM,C,28
9/23/20 7:39:00 AM,C,33.5
9/23/20 8:09:00 AM,C,34
9/23/20 8:39:00 AM,C,35
9/23/20 9:09:00 AM,C,40.5
9/23/20 9:39:00 AM,C,44.5
9/23/20 10:09:00 AM,C,45.5
9/23/20 10:39:00 AM,C,48.5
9/23/20 11:09:00 AM,C,54
9/23/20 11:39:00 AM,C,52
9/23/20 12:09:00 PM,C,48.5
9/23/20 12:39:00 PM,C,60
9/23/20 1:09:00 PM,C,63
9/23/20 1:39:00 PM,C,63
9/23/20 2:09:00 PM,C,55
9/23/20 2:39:00 PM,C,50.5
9/23/20 3:09:00 PM,C,45.5
9/23/20 3:39:00 PM,C,40.5
9/23/20 4:09:00 PM,C,36
9/23/20 4:39:00 PM,C,33.5
9/23/20 5:09:00 PM,C,32
9/23/20 5:39:00 PM,C,31.5
9/23/20 6:09:00 PM,C,30.5
9/23/20 6:39:00 PM,C,30
9/23/20 7:09:00 PM,C,29
9/23/20 7:39:00 PM,C,28.5
9/23/20 8:09:00 PM,C,28.5
9/23/20 8:39:00 PM,C,28
9/23/20 9:09:00 PM,C,28
9/23/20 9:39:00 PM,C,27.5
9/23/20 10:09:00 PM,C,27.5
9/23/20 10:39:00 PM,C,27
9/23/20 11:09:00 PM,C,27
9/23/20 11:39:00 PM,C,26.5
9/24/20 12:09:00 AM,C,26.5
9/24/20 12:39:00 AM,C,26.5
9/24/20 1:09:00 AM,C,26.5
9/24/20 1:39:00 AM,C,26
9/24/20 2:09:00 AM,C,26
9/24/20 2:39:00 AM,C,26.5
9/24/20 3:09:00 AM,C,26
9/24/20 3:39:00 AM,C,26.5
9/24/20 4:09:00 AM,C,26
9/24/20 4:39:00 AM,C,26
9/24/20 5:09:00 AM,C,26
9/24/20 5:39:00 AM,C,26
9/24/20 6:09:00 AM,C,26
