1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0900000041421721
Is Mission Active?  true
Mission Start:  Mon Sep 21 08:28:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1201
Total Samples:  26936
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/21/20 8:28:00 AM,C,35.5
9/21/20 8:58:00 AM,C,46.5
9/21/20 9:28:00 AM,C,52.5
9/21/20 9:58:00 AM,C,57.5
9/21/20 10:28:00 AM,C,65
9/21/20 10:58:00 AM,C,67.5
9/21/20 11:28:00 AM,C,70.5
9/21/20 11:58:00 AM,C,70.5
9/21/20 12:28:00 PM,C,68.5
9/21/20 12:58:00 PM,C,67
9/21/20 1:28:00 PM,C,68.5
9/21/20 1:58:00 PM,C,65.5
9/21/20 2:28:00 PM,C,67.5
9/21/20 2:58:00 PM,C,64
9/21/20 3:28:00 PM,C,60.5
9/21/20 3:58:00 PM,C,44
9/21/20 4:28:00 PM,C,49.5
9/21/20 4:58:00 PM,C,40
9/21/20 5:28:00 PM,C,33
9/21/20 5:58:00 PM,C,30.5
9/21/20 6:28:00 PM,C,28.5
9/21/20 6:58:00 PM,C,27.5
9/21/20 7:28:00 PM,C,27
9/21/20 7:58:00 PM,C,26.5
9/21/20 8:28:00 PM,C,26.5
9/21/20 8:58:00 PM,C,26
9/21/20 9:28:00 PM,C,25.5
9/21/20 9:58:00 PM,C,25.5
9/21/20 10:28:00 PM,C,25
9/21/20 10:58:00 PM,C,25
9/21/20 11:28:00 PM,C,25
9/21/20 11:58:00 PM,C,25
9/22/20 12:28:00 AM,C,25
9/22/20 12:58:00 AM,C,25
9/22/20 1:28:00 AM,C,24.5
9/22/20 1:58:00 AM,C,25.5
9/22/20 2:28:00 AM,C,25
9/22/20 2:58:00 AM,C,25
9/22/20 3:28:00 AM,C,25
9/22/20 3:58:00 AM,C,24
9/22/20 4:28:00 AM,C,24.5
9/22/20 4:58:00 AM,C,24.5
9/22/20 5:28:00 AM,C,24.5
9/22/20 5:58:00 AM,C,24
9/22/20 6:28:00 AM,C,25
9/22/20 6:58:00 AM,C,29
9/22/20 7:28:00 AM,C,30.5
9/22/20 7:58:00 AM,C,35.5
9/22/20 8:28:00 AM,C,35.5
9/22/20 8:58:00 AM,C,46.5
9/22/20 9:28:00 AM,C,52.5
9/22/20 9:58:00 AM,C,40.5
9/22/20 10:28:00 AM,C,46
9/22/20 10:58:00 AM,C,54
9/22/20 11:28:00 AM,C,54.5
9/22/20 11:58:00 AM,C,63
9/22/20 12:28:00 PM,C,64
9/22/20 12:58:00 PM,C,71
9/22/20 1:28:00 PM,C,54.5
9/22/20 1:58:00 PM,C,67.5
9/22/20 2:28:00 PM,C,64.5
9/22/20 2:58:00 PM,C,61.5
9/22/20 3:28:00 PM,C,58
9/22/20 3:58:00 PM,C,48
9/22/20 4:28:00 PM,C,52
9/22/20 4:58:00 PM,C,43
9/22/20 5:28:00 PM,C,34.5
9/22/20 5:58:00 PM,C,31.5
9/22/20 6:28:00 PM,C,29.5
9/22/20 6:58:00 PM,C,28.5
9/22/20 7:28:00 PM,C,28
9/22/20 7:58:00 PM,C,27.5
9/22/20 8:28:00 PM,C,27.5
9/22/20 8:58:00 PM,C,27.5
9/22/20 9:28:00 PM,C,27
9/22/20 9:58:00 PM,C,26.5
9/22/20 10:28:00 PM,C,26.5
9/22/20 10:58:00 PM,C,26
9/22/20 11:28:00 PM,C,26
9/22/20 11:58:00 PM,C,25.5
9/23/20 12:28:00 AM,C,25
9/23/20 12:58:00 AM,C,24.5
9/23/20 1:28:00 AM,C,25
9/23/20 1:58:00 AM,C,25
9/23/20 2:28:00 AM,C,25
9/23/20 2:58:00 AM,C,25
9/23/20 3:28:00 AM,C,24.5
9/23/20 3:58:00 AM,C,24.5
9/23/20 4:28:00 AM,C,24.5
9/23/20 4:58:00 AM,C,25.5
9/23/20 5:28:00 AM,C,25.5
9/23/20 5:58:00 AM,C,25
9/23/20 6:28:00 AM,C,25
9/23/20 6:58:00 AM,C,26.5
9/23/20 7:28:00 AM,C,31
9/23/20 7:58:00 AM,C,35
9/23/20 8:28:00 AM,C,33
9/23/20 8:58:00 AM,C,41.5
9/23/20 9:28:00 AM,C,53
9/23/20 9:58:00 AM,C,48.5
9/23/20 10:28:00 AM,C,54.5
9/23/20 10:58:00 AM,C,61
9/23/20 11:28:00 AM,C,70.5
9/23/20 11:58:00 AM,C,48.5
9/23/20 12:28:00 PM,C,60
9/23/20 12:58:00 PM,C,75.5
9/23/20 1:28:00 PM,C,71
9/23/20 1:58:00 PM,C,61.5
9/23/20 2:28:00 PM,C,67
9/23/20 2:58:00 PM,C,52
9/23/20 3:28:00 PM,C,46
9/23/20 3:58:00 PM,C,39
9/23/20 4:28:00 PM,C,35
9/23/20 4:58:00 PM,C,34
9/23/20 5:28:00 PM,C,33
9/23/20 5:58:00 PM,C,31.5
9/23/20 6:28:00 PM,C,30
9/23/20 6:58:00 PM,C,29.5
9/23/20 7:28:00 PM,C,28.5
9/23/20 7:58:00 PM,C,28
9/23/20 8:28:00 PM,C,27.5
9/23/20 8:58:00 PM,C,27
9/23/20 9:28:00 PM,C,27
9/23/20 9:58:00 PM,C,26.5
9/23/20 10:28:00 PM,C,26.5
9/23/20 10:58:00 PM,C,26
9/23/20 11:28:00 PM,C,26
9/23/20 11:58:00 PM,C,26
9/24/20 12:28:00 AM,C,26
9/24/20 12:58:00 AM,C,25.5
9/24/20 1:28:00 AM,C,25.5
9/24/20 1:58:00 AM,C,25.5
9/24/20 2:28:00 AM,C,25.5
9/24/20 2:58:00 AM,C,25.5
9/24/20 3:28:00 AM,C,25
9/24/20 3:58:00 AM,C,25.5
9/24/20 4:28:00 AM,C,25
