1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: AE00000041A21B21
Is Mission Active?  true
Mission Start:  Mon Sep 21 09:36:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1201
Total Samples:  26971
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/21/20 9:36:00 AM,C,42.5
9/21/20 10:06:00 AM,C,56
9/21/20 10:36:00 AM,C,56
9/21/20 11:06:00 AM,C,54
9/21/20 11:36:00 AM,C,54.5
9/21/20 12:06:00 PM,C,52.5
9/21/20 12:36:00 PM,C,51.5
9/21/20 1:06:00 PM,C,52
9/21/20 1:36:00 PM,C,52
9/21/20 2:06:00 PM,C,54
9/21/20 2:36:00 PM,C,55
9/21/20 3:06:00 PM,C,53.5
9/21/20 3:36:00 PM,C,54.5
9/21/20 4:06:00 PM,C,41.5
9/21/20 4:36:00 PM,C,44.5
9/21/20 5:06:00 PM,C,37
9/21/20 5:36:00 PM,C,32
9/21/20 6:06:00 PM,C,29.5
9/21/20 6:36:00 PM,C,28
9/21/20 7:06:00 PM,C,27
9/21/20 7:36:00 PM,C,26
9/21/20 8:06:00 PM,C,26
9/21/20 8:36:00 PM,C,26
9/21/20 9:06:00 PM,C,26
9/21/20 9:36:00 PM,C,25.5
9/21/20 10:06:00 PM,C,26
9/21/20 10:36:00 PM,C,25.5
9/21/20 11:06:00 PM,C,25.5
9/21/20 11:36:00 PM,C,26
9/22/20 12:06:00 AM,C,26
9/22/20 12:36:00 AM,C,26
9/22/20 1:06:00 AM,C,26
9/22/20 1:36:00 AM,C,25.5
9/22/20 2:06:00 AM,C,26
9/22/20 2:36:00 AM,C,26
9/22/20 3:06:00 AM,C,25.5
9/22/20 3:36:00 AM,C,25
9/22/20 4:06:00 AM,C,25
9/22/20 4:36:00 AM,C,25.5
9/22/20 5:06:00 AM,C,25.5
9/22/20 5:36:00 AM,C,25
9/22/20 6:06:00 AM,C,25
9/22/20 6:36:00 AM,C,25.5
9/22/20 7:06:00 AM,C,28.5
9/22/20 7:36:00 AM,C,31
9/22/20 8:06:00 AM,C,37
9/22/20 8:36:00 AM,C,33
9/22/20 9:06:00 AM,C,42
9/22/20 9:36:00 AM,C,51.5
9/22/20 10:06:00 AM,C,37
9/22/20 10:36:00 AM,C,41
9/22/20 11:06:00 AM,C,45.5
9/22/20 11:36:00 AM,C,50
9/22/20 12:06:00 PM,C,61
9/22/20 12:36:00 PM,C,64
9/22/20 1:06:00 PM,C,66.5
9/22/20 1:36:00 PM,C,51.5
9/22/20 2:06:00 PM,C,55.5
9/22/20 2:36:00 PM,C,50.5
9/22/20 3:06:00 PM,C,54
9/22/20 3:36:00 PM,C,53.5
9/22/20 4:06:00 PM,C,48.5
9/22/20 4:36:00 PM,C,50.5
9/22/20 5:06:00 PM,C,41.5
9/22/20 5:36:00 PM,C,38
9/22/20 6:06:00 PM,C,31.5
9/22/20 6:36:00 PM,C,29.5
9/22/20 7:06:00 PM,C,28
9/22/20 7:36:00 PM,C,27.5
9/22/20 8:06:00 PM,C,27
9/22/20 8:36:00 PM,C,27
9/22/20 9:06:00 PM,C,27
9/22/20 9:36:00 PM,C,27
9/22/20 10:06:00 PM,C,27
9/22/20 10:36:00 PM,C,26.5
9/22/20 11:06:00 PM,C,26.5
9/22/20 11:36:00 PM,C,26
9/23/20 12:06:00 AM,C,26
9/23/20 12:36:00 AM,C,25.5
9/23/20 1:06:00 AM,C,25
9/23/20 1:36:00 AM,C,25.5
9/23/20 2:06:00 AM,C,25.5
9/23/20 2:36:00 AM,C,25
9/23/20 3:06:00 AM,C,25
9/23/20 3:36:00 AM,C,25
9/23/20 4:06:00 AM,C,25.5
9/23/20 4:36:00 AM,C,25.5
9/23/20 5:06:00 AM,C,26
9/23/20 5:36:00 AM,C,26
9/23/20 6:06:00 AM,C,26
9/23/20 6:36:00 AM,C,25.5
9/23/20 7:06:00 AM,C,27
9/23/20 7:36:00 AM,C,33
9/23/20 8:06:00 AM,C,37
9/23/20 8:36:00 AM,C,37
9/23/20 9:06:00 AM,C,42
9/23/20 9:36:00 AM,C,53
9/23/20 10:06:00 AM,C,47
9/23/20 10:36:00 AM,C,53
9/23/20 11:06:00 AM,C,58.5
9/23/20 11:36:00 AM,C,65
9/23/20 12:06:00 PM,C,37.5
9/23/20 12:36:00 PM,C,49
9/23/20 1:06:00 PM,C,64.5
9/23/20 1:36:00 PM,C,61.5
9/23/20 2:06:00 PM,C,54.5
9/23/20 2:36:00 PM,C,58.5
9/23/20 3:06:00 PM,C,46.5
9/23/20 3:36:00 PM,C,41.5
9/23/20 4:06:00 PM,C,37
9/23/20 4:36:00 PM,C,33.5
9/23/20 5:06:00 PM,C,33
9/23/20 5:36:00 PM,C,32
9/23/20 6:06:00 PM,C,31
9/23/20 6:36:00 PM,C,29.5
9/23/20 7:06:00 PM,C,29
9/23/20 7:36:00 PM,C,28
9/23/20 8:06:00 PM,C,27.5
9/23/20 8:36:00 PM,C,27.5
9/23/20 9:06:00 PM,C,27
9/23/20 9:36:00 PM,C,27
9/23/20 10:06:00 PM,C,26.5
9/23/20 10:36:00 PM,C,26.5
9/23/20 11:06:00 PM,C,26.5
9/23/20 11:36:00 PM,C,26
9/24/20 12:06:00 AM,C,26
9/24/20 12:36:00 AM,C,26.5
9/24/20 1:06:00 AM,C,26
9/24/20 1:36:00 AM,C,26
9/24/20 2:06:00 AM,C,25.5
9/24/20 2:36:00 AM,C,26
9/24/20 3:06:00 AM,C,25.5
9/24/20 3:36:00 AM,C,26
9/24/20 4:06:00 AM,C,26
9/24/20 4:36:00 AM,C,25.5
9/24/20 5:06:00 AM,C,25.5
9/24/20 5:36:00 AM,C,26
9/24/20 6:06:00 AM,C,25.5
9/24/20 6:36:00 AM,C,25.5
9/24/20 7:06:00 AM,C,26
9/24/20 7:36:00 AM,C,27
9/24/20 8:06:00 AM,C,29.5
9/24/20 8:36:00 AM,C,31
9/24/20 9:06:00 AM,C,36.5
9/24/20 9:36:00 AM,C,40
9/24/20 10:06:00 AM,C,42.5
9/24/20 10:36:00 AM,C,54.5
9/24/20 11:06:00 AM,C,60.5
9/24/20 11:36:00 AM,C,62
9/24/20 12:06:00 PM,C,54
9/24/20 12:36:00 PM,C,61
9/24/20 1:06:00 PM,C,60
9/24/20 1:36:00 PM,C,68
9/24/20 2:06:00 PM,C,59
9/24/20 2:36:00 PM,C,62
9/24/20 3:06:00 PM,C,54.5
9/24/20 3:36:00 PM,C,55.5
9/24/20 4:06:00 PM,C,46.5
9/24/20 4:36:00 PM,C,38
9/24/20 5:06:00 PM,C,34
9/24/20 5:36:00 PM,C,32
9/24/20 6:06:00 PM,C,30.5
9/24/20 6:36:00 PM,C,28.5
9/24/20 7:06:00 PM,C,27.5
9/24/20 7:36:00 PM,C,27
9/24/20 8:06:00 PM,C,26.5
9/24/20 8:36:00 PM,C,26
9/24/20 9:06:00 PM,C,26.5
9/24/20 9:36:00 PM,C,26.5
9/24/20 10:06:00 PM,C,26.5
